<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	0.99652	1.00644	0.99548	1.00269	65850	0	9
2013.06.04	1.00269	1.00337	0.99570	0.99767	66235	0	9
2013.06.05	0.99768	0.99830	0.98439	0.98480	72140	0	9
2013.06.06	0.98479	0.98691	0.97720	0.98084	67161	0	39
2013.06.07	0.97987	0.98264	0.96343	0.96780	66139	0	39
2013.06.10	0.96184	0.96556	0.95957	0.96385	49920	4000000	25
2013.06.11	0.96386	0.96450	0.95453	0.96315	65908	0	39
2013.06.12	0.96314	0.97295	0.96158	0.96727	58697	0	39
2013.06.13	0.96726	0.98070	0.96291	0.97717	65965	0	11
2013.06.14	0.97713	0.97986	0.97215	0.97215	63766	1505500000	9
2013.06.17	0.97179	0.97854	0.96988	0.97341	53906	0	9
2013.06.18	0.97343	0.97489	0.96395	0.96747	59760	0	9
2013.06.19	0.96747	0.97306	0.95126	0.95404	67178	0	9
2013.06.20	0.95402	0.95681	0.94818	0.95445	88585	0	9
2013.06.21	0.95442	0.96723	0.95437	0.96249	75808	1924200000	9
2013.06.24	0.96858	0.97582	0.96327	0.97382	86859	0	9
2013.06.25	0.97382	0.97510	0.96771	0.97317	78824	0	9
2013.06.26	0.97311	0.97835	0.97021	0.97190	76373	0	9
2013.06.27	0.97191	0.97560	0.96982	0.97230	55735	0	39
2013.06.28	0.97229	0.97247	0.95885	0.96118	60550	0	39
2013.07.01	0.96180	0.97139	0.96102	0.97053	60392	0	9
2013.07.02	0.97053	0.97102	0.96229	0.96420	69179	0	9
2013.07.03	0.96420	0.96754	0.95089	0.95714	71317	0	9
2013.07.04	0.95717	0.96506	0.95401	0.96292	59854	0	9
2013.07.05	0.96292	0.96726	0.95703	0.95715	60687	2050500000	9
2013.07.08	0.95650	0.96596	0.95630	0.96332	52132	0	9
2013.07.09	0.96330	0.96870	0.96035	0.96459	63767	0	9
2013.07.10	0.96457	0.96947	0.95614	0.96049	80262	0	9
2013.07.11	0.96049	0.96583	0.94808	0.95106	87650	0	9
2013.07.12	0.95105	0.95195	0.93540	0.93930	63769	1981200000	2
2013.07.15	0.94393	0.94973	0.94112	0.94870	56378	0	1
2013.07.16	0.94872	0.96202	0.94864	0.95967	64643	0	1
2013.07.17	0.95969	0.96404	0.95580	0.96091	64265	0	1
2013.07.18	0.96090	0.96151	0.95044	0.95267	59853	0	1
2013.07.19	0.95262	0.95762	0.95014	0.95024	55192	1870500000	2
2013.07.22	0.95468	0.95954	0.95104	0.95679	51821	0	1
2013.07.23	0.95680	0.95868	0.95144	0.95572	58762	0	1
2013.07.24	0.95572	0.95939	0.94193	0.94236	70282	0	2
2013.07.25	0.94236	0.95301	0.94215	0.95010	64924	0	2
2013.07.26	0.95011	0.95443	0.95000	0.95145	53883	1582900000	1
2013.07.29	0.95024	0.95305	0.94224	0.94412	50606	0	1
2013.07.30	0.94412	0.94472	0.93078	0.93426	61500	0	1
2013.07.31	0.93427	0.93429	0.91701	0.92056	66856	0	1
2013.08.01	0.92059	0.92563	0.91939	0.92488	59335	157000000	1
2013.08.02	0.92488	0.92897	0.92053	0.92456	59010	2459700000	1
2013.08.05	0.92501	0.92716	0.92034	0.92305	49713	0	1
2013.08.06	0.92306	0.93351	0.92230	0.93217	52754	0	4
2013.08.07	0.93215	0.94021	0.92947	0.93848	56728	0	1
2013.08.08	0.93848	0.94654	0.93575	0.94063	60543	0	1
2013.08.09	0.94061	0.94869	0.93824	0.94587	51064	2052000000	1
2013.08.12	0.94389	0.94809	0.93967	0.93978	49096	0	2
2013.08.13	0.93984	0.94381	0.93820	0.94121	55748	0	1
2013.08.14	0.94122	0.94564	0.93997	0.94485	53979	0	2
2013.08.15	0.94481	0.94752	0.93769	0.94079	65486	0	2
2013.08.16	0.94081	0.95354	0.94077	0.94882	54714	1331500000	1
2013.08.19	0.95031	0.95268	0.94134	0.94294	54359	0	2
2013.08.20	0.94293	0.94511	0.93534	0.94155	63768	52000000	3
2013.08.21	0.94154	0.94571	0.93850	0.94024	70076	0	2
2013.08.22	0.94021	0.95070	0.93725	0.94814	63779	738700000	1
2013.08.23	0.94814	0.95208	0.94647	0.94656	56257	1769500000	1
2013.08.26	0.94816	0.95261	0.94609	0.94615	42087	0	1
2013.08.27	0.94614	0.94617	0.93604	0.93832	58683	0	2
2013.08.28	0.93829	0.94042	0.93295	0.93874	59959	0	2
2013.08.29	0.93870	0.94134	0.93687	0.94060	53742	0	3
2013.08.30	0.94062	0.94299	0.93579	0.93696	49042	1722100000	1
2013.09.02	0.94158	0.95038	0.94147	0.94941	40571	0	2
2013.09.03	0.94941	0.95589	0.94721	0.95374	49456	0	1
2013.09.04	0.95374	0.96409	0.95259	0.96244	48331	0	1
2013.09.05	0.96246	0.96295	0.95719	0.95753	42074	0	1
2013.09.06	0.95753	0.95984	0.95419	0.95437	37255	2334000000	2
2013.09.09	0.95706	0.95820	0.95403	0.95731	37364	0	1
2013.09.10	0.95731	0.96459	0.95724	0.96278	46784	41000000	1
2013.09.11	0.96278	0.96374	0.95968	0.96224	43059	0	3
2013.09.12	0.96225	0.96414	0.95269	0.95634	44856	0	3
2013.09.13	0.95637	0.95745	0.95370	0.95648	39652	1848500000	3
2013.09.16	0.96146	0.96679	0.95989	0.96159	39408	0	4
2013.09.17	0.96164	0.96526	0.95945	0.96303	35226	0	2
2013.09.18	0.96304	0.97394	0.96181	0.97060	43677	0	1
2013.09.19	0.97062	0.97245	0.96598	0.96958	44607	0	3
2013.09.20	0.96958	0.97183	0.96187	0.96187	39436	2269591000	1
2013.09.23	0.96803	0.97253	0.96646	0.96878	35340	36100000	2
2013.09.24	0.96878	0.96897	0.96454	0.96708	33782	0	4
2013.09.25	0.96701	0.96788	0.96277	0.96628	36366	0	1
2013.09.26	0.96620	0.96949	0.96407	0.96488	34128	12700000	1
2013.09.27	0.96483	0.96648	0.95857	0.95934	33605	1615800000	4
2013.09.30	0.95882	0.96250	0.95726	0.96232	38981	0	2
2013.10.01	0.96232	0.97242	0.95938	0.97096	41671	0	1
2013.10.02	0.97096	0.97243	0.96548	0.96902	39329	0	3
2013.10.03	0.96899	0.97203	0.96740	0.97083	37755	38000000	4
2013.10.04	0.97083	0.97625	0.97040	0.97110	32503	1853600000	4
2013.10.07	0.97224	0.97363	0.96932	0.97283	30753	0	6
2013.10.08	0.97285	0.97893	0.97178	0.97871	38839	0	1
2013.10.09	0.97863	0.98329	0.97635	0.98207	38960	0	1
2013.10.10	0.98206	0.98441	0.97793	0.98413	40065	0	2
2013.10.11	0.98413	0.98567	0.97896	0.97967	39109	2030700000	6
2013.10.14	0.97908	0.98498	0.97805	0.98463	33096	0	1
2013.10.15	0.98463	0.99008	0.98386	0.98905	43400	0	1
2013.10.16	0.98905	0.98958	0.98506	0.98557	42432	0	2
2013.10.17	0.98557	0.99288	0.98374	0.99052	44736	0	2
2013.10.18	0.99047	0.99621	0.98899	0.99508	34764	1671214000	2
2013.10.21	0.99452	0.99634	0.99279	0.99491	31629	0	3
2013.10.22	0.99491	1.00003	0.99373	0.99837	34814	0	1
2013.10.23	0.99838	1.00346	0.99163	1.00093	48875	0	2
2013.10.24	1.00093	1.00295	0.99709	1.00193	43933	0	1
2013.10.25	1.00192	1.00330	0.99936	1.00087	39051	1944593000	6
2013.10.28	1.00270	1.00473	0.99428	0.99470	35840	0	3
2013.10.29	0.99466	0.99665	0.98957	0.99130	41859	0	1
2013.10.30	0.99133	0.99513	0.99003	0.99465	42086	0	1
2013.10.31	0.99469	0.99608	0.98519	0.98794	45837	0	2
2013.11.01	0.98797	0.98965	0.98289	0.98318	34441	1641058000	1
2013.11.04	0.98788	0.99200	0.98705	0.99143	27225	0	2
2013.11.05	0.99143	0.99513	0.98789	0.99283	41024	0	2
2013.11.06	0.99283	0.99663	0.98688	0.98718	34184	0	1
2013.11.07	0.98713	0.99098	0.98603	0.98654	46529	0	1
2013.11.08	0.98658	0.99045	0.98143	0.98321	42547	1488686000	1
2013.11.11	0.98291	0.98347	0.97769	0.97858	29512	0	4
2013.11.12	0.97855	0.98003	0.97341	0.97583	40864	0	2
2013.11.13	0.97581	0.98034	0.97272	0.97979	41268	0	2
2013.11.14	0.97980	0.98055	0.97350	0.97533	44257	0	4
2013.11.15	0.97534	0.98150	0.97523	0.97741	32421	1077099000	4
2013.11.18	0.97743	0.98208	0.97575	0.97779	36503	0	4
2013.11.19	0.97779	0.98769	0.97755	0.98639	39137	0	3
2013.11.20	0.98642	0.98672	0.97432	0.97525	43849	0	1
2013.11.21	0.97526	0.97598	0.96822	0.97156	47379	0	1
2013.11.22	0.97156	0.97265	0.96320	0.96354	40927	1079808000	1
2013.11.25	0.96835	0.96877	0.96361	0.96770	32589	0	1
2013.11.26	0.96773	0.96878	0.95852	0.96123	36156	0	1
2013.11.27	0.96121	0.96601	0.96025	0.96516	40139	0	1
2013.11.28	0.96512	0.96748	0.95956	0.96151	34428	0	3
2013.11.29	0.96151	0.96817	0.95940	0.96635	39271	1292309000	1
2013.12.02	0.96894	0.97350	0.96640	0.96963	44117	0	5
2013.12.03	0.96962	0.97463	0.96439	0.96573	47560	0	1
2013.12.04	0.96570	0.96658	0.96014	0.96370	52657	0	1
2013.12.05	0.96370	0.96616	0.96033	0.96418	49771	0	2
2013.12.06	0.96419	0.97035	0.95798	0.96685	44433	1660722000	2
2013.12.09	0.97007	0.97225	0.96495	0.96691	40907	0	4
2013.12.10	0.96689	0.97261	0.96559	0.96951	40664	0	1
2013.12.11	0.96952	0.97039	0.95586	0.95608	43513	0	1
2013.12.12	0.95613	0.95830	0.94881	0.95042	48547	0	2
2013.12.13	0.95044	0.95358	0.94789	0.94851	38637	1324640000	2
2013.12.16	0.94714	0.94933	0.94439	0.94681	38105	22500000	4
2013.12.17	0.94679	0.94727	0.94220	0.94563	40241	0	5
2013.12.18	0.94558	0.95078	0.94295	0.94833	49624	0	1
2013.12.19	0.94833	0.95146	0.94341	0.94573	42637	0	3
2013.12.20	0.94573	0.95438	0.94497	0.94711	39272	1647945000	7
2013.12.23	0.95028	0.95154	0.94548	0.94722	32435	0	3
2013.12.24	0.94720	0.94909	0.94568	0.94717	18981	0	1
2013.12.26	0.94511	0.94774	0.94294	0.94613	15188	0	1
2013.12.27	0.94611	0.95197	0.94406	0.94906	27417	968231000	8
2013.12.30	0.94756	0.95206	0.94700	0.94916	32625	0	2
2013.12.31	0.94919	0.95241	0.94841	0.94853	23148	0	6
2014.01.01	0.94548	0.94736	0.94536	0.94723	9391	0	14
2014.01.02	0.94723	0.95120	0.94109	0.94881	53741	0	1
2014.01.03	0.94874	0.95734	0.94814	0.95081	47284	988891000	5
2014.01.06	0.95323	0.95651	0.94971	0.95327	45300	0	5
2014.01.07	0.95327	0.96182	0.95203	0.96173	47385	0	3
2014.01.08	0.96174	0.96672	0.96130	0.96383	49948	0	1
2014.01.09	0.96385	0.96638	0.96083	0.96398	47111	0	3
2014.01.10	0.96398	0.98228	0.96351	0.97941	46679	903566000	1
2014.01.13	0.98079	0.98995	0.98079	0.98382	48497	0	1
2014.01.14	0.98376	0.98448	0.97883	0.98213	47031	0	6
2014.01.15	0.98213	0.98214	0.96493	0.96558	49495	0	2
2014.01.16	0.96558	0.96558	0.95949	0.96403	45057	0	1
2014.01.17	0.96403	0.96470	0.96120	0.96216	38257	988461000	4
2014.01.20	0.95944	0.96631	0.95919	0.96606	30167	0	2
2014.01.21	0.96606	0.97270	0.96382	0.97198	43375	0	4
2014.01.22	0.97198	0.98215	0.97074	0.98166	45723	0	1
2014.01.23	0.98167	0.98369	0.97171	0.97297	59708	0	1
2014.01.24	0.97291	0.97432	0.95907	0.96196	54693	961177000	2
2014.01.27	0.96174	0.97421	0.96014	0.97335	46358	0	1
