<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	0.92056	0.92152	0.91841	0.92079	8441	0	9
2013.06.03	04:00:00	0.92079	0.92145	0.91962	0.92112	10115	0	9
2013.06.03	08:00:00	0.92113	0.92614	0.91990	0.92557	11569	0	9
2013.06.03	12:00:00	0.92556	0.92910	0.91793	0.92242	20023	0	9
2013.06.03	16:00:00	0.92240	0.92463	0.92199	0.92451	11523	0	9
2013.06.03	20:00:00	0.92449	0.92547	0.92333	0.92408	5876	0	9
2013.06.04	00:00:00	0.92406	0.92489	0.92053	0.92172	8372	0	9
2013.06.04	04:00:00	0.92172	0.92402	0.91822	0.91847	13406	0	9
2013.06.04	08:00:00	0.91847	0.91911	0.91520	0.91548	12647	0	9
2013.06.04	12:00:00	0.91548	0.91856	0.91293	0.91417	17810	0	9
2013.06.04	16:00:00	0.91419	0.91455	0.91127	0.91342	9473	0	9
2013.06.04	20:00:00	0.91347	0.91514	0.91287	0.91418	4814	0	9
2013.06.05	00:00:00	0.91418	0.91464	0.91111	0.91363	9217	0	9
2013.06.05	04:00:00	0.91362	0.91416	0.90591	0.90754	14155	0	9
2013.06.05	08:00:00	0.90753	0.90910	0.90447	0.90623	11595	0	9
2013.06.05	12:00:00	0.90624	0.90708	0.89627	0.89809	19943	0	9
2013.06.05	16:00:00	0.89810	0.89916	0.89427	0.89869	10712	0	9
2013.06.05	20:00:00	0.89864	0.89932	0.89652	0.89655	5774	0	9
2013.06.06	00:00:00	0.89654	0.89720	0.89021	0.89053	9634	0	74
2013.06.06	04:00:00	0.89054	0.89206	0.88683	0.89191	10371	0	44
2013.06.06	08:00:00	0.89189	0.89559	0.89083	0.89474	10561	0	44
2013.06.06	12:00:00	0.89475	0.89657	0.88807	0.89026	16530	0	44
2013.06.06	16:00:00	0.89025	0.89474	0.88907	0.89321	17693	0	44
2013.06.06	20:00:00	0.89318	0.89394	0.88761	0.88778	8907	0	74
