<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	96.663	97.365	96.251	97.237	95939	0	5
2013.06.04	97.234	97.363	96.152	96.655	93355	0	5
2013.06.05	96.653	96.751	94.223	94.380	104293	0	5
2013.06.06	94.379	94.411	92.546	92.814	112779	0	1400
2013.06.07	92.827	93.095	90.526	92.599	121799	0	1400
2013.06.10	92.536	93.790	92.198	93.466	97745	0	1400
2013.06.11	93.467	93.492	89.994	90.898	122534	0	1400
2013.06.12	90.897	92.493	90.461	90.918	111546	0	1400
2013.06.13	90.917	92.296	88.937	91.862	124209	0	5
2013.06.14	91.860	91.878	89.952	89.952	100942	0	5
2013.06.17	90.235	91.553	90.068	90.366	83864	0	5
2013.06.18	90.366	90.728	89.830	90.462	86153	0	5
2013.06.19	90.462	91.178	89.245	89.618	93060	0	5
2013.06.20	89.616	90.431	89.097	89.205	122300	0	5
2013.06.21	89.204	90.533	89.146	90.214	94191	0	5
2013.06.24	90.934	91.000	89.599	90.544	107912	0	5
2013.06.25	90.545	90.969	89.569	90.765	98929	0	5
2013.06.26	90.766	91.142	90.207	90.785	93759	0	5
2013.06.27	90.782	91.637	90.588	91.398	91028	0	1400
2013.06.28	91.397	91.668	90.456	90.494	96279	0	1400
2013.07.01	90.911	92.233	90.730	92.069	73532	0	5
2013.07.02	92.069	92.182	91.301	92.082	86048	0	5
2013.07.03	92.084	92.414	90.151	90.981	95396	0	5
2013.07.04	90.992	91.841	90.527	91.726	74053	0	5
2013.07.05	91.724	92.195	91.239	91.659	72754	0	5
2013.07.08	91.771	92.346	91.382	92.056	71166	0	5
2013.07.09	92.056	93.070	91.772	92.628	79739	0	5
2013.07.10	92.624	92.916	91.075	91.483	103494	0	5
2013.07.11	91.472	92.029	90.094	90.568	107761	0	5
2013.07.12	90.564	91.023	89.690	89.721	72980	0	1
2013.07.15	90.132	91.006	89.909	90.861	68885	0	1
2013.07.16	90.858	91.891	90.848	91.643	78713	0	1
2013.07.17	91.640	92.185	91.444	91.962	78227	0	1
2013.07.18	91.958	92.398	91.588	92.311	78453	0	1
2013.07.19	92.309	92.555	91.601	92.252	73889	0	1
2013.07.22	92.545	92.545	91.865	91.931	71115	0	1
2013.07.23	91.936	92.574	91.795	92.412	76438	0	1
2013.07.24	92.409	92.733	91.635	91.687	82359	0	1
2013.07.25	91.686	91.922	91.338	91.671	87391	0	1
2013.07.26	91.671	91.921	90.569	91.002	74529	0	1
2013.07.29	90.643	90.952	89.822	90.199	78143	0	1
2013.07.30	90.194	90.301	88.682	88.904	78992	0	1
2013.07.31	88.906	88.912	87.240	87.580	88899	0	1
2013.08.01	87.585	89.011	87.481	88.865	76235	0	1
2013.08.02	88.865	89.093	87.906	88.040	73315	0	1
2013.08.05	88.085	88.121	87.474	87.554	65276	0	1
2013.08.06	87.556	88.570	87.286	87.465	76591	0	1
2013.08.07	87.462	87.530	86.405	86.952	81126	0	1
2013.08.08	86.952	88.158	86.862	88.120	84171	0	1
2013.08.09	88.120	88.767	87.783	88.482	66607	0	1
2013.08.12	88.144	89.033	88.053	88.566	68575	0	1
2013.08.13	88.565	89.646	88.510	89.271	73998	0	1
2013.08.14	89.273	89.814	89.079	89.420	70709	0	1
2013.08.15	89.420	90.070	88.620	88.647	86909	0	1
2013.08.16	88.646	89.889	88.632	89.553	67404	0	1
2013.08.19	89.824	90.124	88.836	88.957	69386	0	1
2013.08.20	88.955	89.218	87.595	88.142	79426	0	1
2013.08.21	88.142	88.460	87.540	87.698	83866	0	1
2013.08.22	87.693	89.258	87.408	89.135	79002	0	1
2013.08.23	89.136	89.408	88.896	89.032	67002	0	1
2013.08.26	89.112	89.264	88.487	88.544	53418	0	1
2013.08.27	88.541	88.558	86.535	86.642	78978	0	1
2013.08.28	86.643	87.515	86.461	87.432	75680	0	1
2013.08.29	87.431	88.001	87.368	87.737	68991	0	1
2013.08.30	87.740	87.935	87.235	87.292	60799	0	1
2013.09.02	87.921	89.712	87.896	89.586	57054	0	1
2013.09.03	89.584	90.498	89.127	90.123	68666	0	1
2013.09.04	90.123	91.565	89.988	91.434	65547	0	1
2013.09.05	91.434	91.572	91.056	91.300	64782	0	1
2013.09.06	91.298	91.463	90.641	90.949	52718	0	1
2013.09.09	91.908	92.089	91.316	92.040	58019	0	1
2013.09.10	92.035	93.566	91.982	93.259	66808	0	1
2013.09.11	93.265	93.560	92.928	93.130	65534	0	1
2013.09.12	93.129	93.258	91.725	92.230	73499	0	1
2013.09.13	92.229	92.480	91.684	91.829	61200	0	1
2013.09.16	92.304	92.811	92.169	92.344	53663	0	1
2013.09.17	92.343	92.968	92.117	92.726	52058	0	1
2013.09.18	92.724	93.369	92.421	93.210	63110	0	1
2013.09.19	93.213	94.442	93.053	93.864	71317	0	1
2013.09.20	93.865	94.096	93.255	93.266	51575	0	1
2013.09.23	93.331	93.572	92.998	92.999	48771	0	1
2013.09.24	93.001	93.381	92.240	92.633	54418	0	1
