<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	96.663	96.900	96.416	96.855	15846	0	5
2013.06.03	04:00:00	96.853	96.881	96.470	96.560	15883	0	5
2013.06.03	08:00:00	96.557	97.014	96.402	96.956	15677	0	5
2013.06.03	12:00:00	96.956	96.988	96.251	96.894	22977	0	5
2013.06.03	16:00:00	96.893	97.118	96.720	97.090	16185	0	5
2013.06.03	20:00:00	97.090	97.365	97.026	97.237	9371	0	5
2013.06.04	00:00:00	97.234	97.363	96.662	96.829	16362	0	5
2013.06.04	04:00:00	96.828	97.269	96.614	96.999	19159	0	5
2013.06.04	08:00:00	96.990	97.113	96.674	96.860	15964	0	5
2013.06.04	12:00:00	96.860	97.109	96.469	96.533	21023	0	5
2013.06.04	16:00:00	96.531	96.598	96.152	96.486	14069	0	5
2013.06.04	20:00:00	96.485	96.802	96.405	96.655	6778	0	5
2013.06.05	00:00:00	96.653	96.751	96.219	96.454	17887	0	5
2013.06.05	04:00:00	96.457	96.500	95.228	95.559	22462	0	5
2013.06.05	08:00:00	95.559	95.697	95.052	95.234	16166	0	5
2013.06.05	12:00:00	95.235	95.448	94.409	94.515	24140	0	5
2013.06.05	16:00:00	94.516	94.707	94.223	94.538	15783	0	5
2013.06.05	20:00:00	94.547	94.670	94.378	94.380	7855	0	5
2013.06.06	00:00:00	94.379	94.411	93.697	93.725	14980	0	4600
2013.06.06	04:00:00	93.727	94.045	93.434	94.016	18233	0	1400
2013.06.06	08:00:00	94.016	94.302	93.957	94.124	17570	0	1400
2013.06.06	12:00:00	94.125	94.280	93.651	93.728	24443	0	1400
2013.06.06	16:00:00	93.728	93.951	92.546	93.415	25290	0	1400
2013.06.06	20:00:00	93.416	93.443	92.814	92.814	12263	0	4600
2013.06.07	00:00:00	92.827	93.095	91.220	91.941	19344	0	4600
2013.06.07	04:00:00	91.940	92.323	90.824	92.025	26022	0	1400
2013.06.07	08:00:00	92.024	92.275	90.797	90.826	23254	0	1400
2013.06.07	12:00:00	90.830	92.602	90.526	92.334	28503	0	1400
2013.06.07	16:00:00	92.335	92.638	91.955	92.479	19489	0	1400
2013.06.07	20:00:00	92.480	92.743	92.359	92.599	5187	0	4600
2013.06.10	00:00:00	92.536	92.766	92.198	92.238	14326	0	4600
2013.06.10	04:00:00	92.237	92.895	92.237	92.604	14693	0	1400
2013.06.10	08:00:00	92.605	93.198	92.496	93.139	17878	0	1400
2013.06.10	12:00:00	93.138	93.732	93.072	93.601	22914	0	1400
2013.06.10	16:00:00	93.601	93.790	93.214	93.517	19343	0	1400
2013.06.10	20:00:00	93.518	93.685	93.273	93.466	8591	0	4600
2013.06.11	00:00:00	93.467	93.492	92.323	92.610	14621	0	4600
2013.06.11	04:00:00	92.606	92.720	92.271	92.481	20637	0	1400
2013.06.11	08:00:00	92.478	92.478	90.183	90.569	26269	0	1400
2013.06.11	12:00:00	90.567	91.126	90.420	91.042	25855	0	1400
