<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	1.20584	1.21007	1.20373	1.20537	67495	0	7
2013.06.04	1.20540	1.20794	1.20097	1.20279	68723	0	7
2013.06.05	1.20282	1.20328	1.19380	1.19591	76703	0	7
2013.06.06	1.19594	1.19824	1.19090	1.19493	89139	0	52
2013.06.07	1.19416	1.20536	1.18958	1.20194	83660	0	52
2013.06.10	1.20121	1.20224	1.19467	1.19685	65186	0	52
2013.06.11	1.19683	1.20298	1.19291	1.19755	90608	0	52
2013.06.12	1.19753	1.20103	1.18528	1.19098	82489	0	52
2013.06.13	1.19099	1.19919	1.18782	1.18984	93986	0	7
2013.06.14	1.18980	1.19270	1.18628	1.18642	62931	0	7
2013.06.17	1.18744	1.19552	1.18732	1.19493	54565	0	7
2013.06.18	1.19500	1.19550	1.18244	1.18595	65017	0	7
2013.06.19	1.18595	1.18870	1.17470	1.17898	66464	0	7
2013.06.20	1.17897	1.18992	1.17481	1.18429	88302	0	7
2013.06.21	1.18430	1.19311	1.18386	1.18778	72763	0	7
2013.06.24	1.19036	1.19692	1.18538	1.19230	86425	0	7
2013.06.25	1.19232	1.19815	1.19130	1.19670	72123	0	7
2013.06.26	1.19670	1.19852	1.18811	1.19345	70991	0	7
2013.06.27	1.19344	1.19493	1.18668	1.18977	75433	0	52
2013.06.28	1.18976	1.19042	1.17835	1.17882	75064	0	52
2013.07.01	1.18000	1.18341	1.17915	1.18065	60074	0	7
2013.07.02	1.18059	1.18252	1.17628	1.17980	65606	0	7
2013.07.03	1.17985	1.18115	1.16510	1.16950	71758	0	7
2013.07.04	1.16941	1.17235	1.16535	1.16855	63526	0	7
2013.07.05	1.16855	1.17881	1.16556	1.17462	52893	0	7
2013.07.08	1.17424	1.17464	1.16764	1.17106	49380	0	7
2013.07.09	1.17106	1.17141	1.16491	1.16942	57655	0	7
2013.07.10	1.16939	1.17467	1.16572	1.16650	70857	0	7
2013.07.11	1.16665	1.17499	1.16386	1.16860	74029	0	7
2013.07.12	1.16859	1.16980	1.15846	1.16302	49976	0	7
2013.07.15	1.16446	1.16949	1.16254	1.16528	54686	0	7
2013.07.16	1.16523	1.17375	1.16516	1.16999	58457	0	7
2013.07.17	1.16999	1.17340	1.16550	1.16810	62261	0	7
2013.07.18	1.16806	1.16861	1.15939	1.16082	51155	0	1
2013.07.19	1.16081	1.16146	1.15417	1.15547	45097	0	1
2013.07.22	1.16171	1.16399	1.15905	1.16055	48473	0	1
2013.07.23	1.16057	1.16268	1.15712	1.16145	54183	0	1
2013.07.24	1.16140	1.16415	1.14634	1.14690	65543	0	1
2013.07.25	1.14690	1.14845	1.13953	1.14583	63992	0	1
2013.07.26	1.14581	1.14940	1.14348	1.14427	48226	0	1
2013.07.29	1.14559	1.14805	1.14305	1.14610	48941	0	1
2013.07.30	1.14604	1.14678	1.13292	1.13485	58022	0	1
2013.07.31	1.13485	1.13485	1.11990	1.12417	66748	0	1
2013.08.01	1.12420	1.13557	1.12389	1.13122	60298	0	1
2013.08.02	1.13128	1.13949	1.12624	1.13395	52666	0	1
2013.08.05	1.14640	1.14800	1.13543	1.13723	53974	0	1
2013.08.06	1.13723	1.14505	1.13475	1.13775	57780	0	1
2013.08.07	1.13773	1.13780	1.12659	1.13107	56444	0	1
2013.08.08	1.13119	1.14080	1.12880	1.13915	60302	0	1
2013.08.09	1.13914	1.14452	1.13689	1.14435	45474	0	1
2013.08.12	1.14341	1.14607	1.14044	1.14182	45884	0	1
2013.08.13	1.14182	1.14508	1.13882	1.14015	53673	0	1
2013.08.14	1.14015	1.14191	1.13400	1.13570	52030	0	1
2013.08.15	1.13567	1.13908	1.13043	1.13111	62799	0	1
2013.08.16	1.13113	1.13765	1.12755	1.13265	54451	0	1
2013.08.19	1.13277	1.13570	1.12646	1.13064	51286	0	1
2013.08.20	1.13064	1.14056	1.12950	1.13828	62151	0	1
2013.08.21	1.13832	1.14605	1.13570	1.14336	66057	0	1
2013.08.22	1.14316	1.15443	1.14129	1.15030	59991	0	1
2013.08.23	1.15035	1.15902	1.15003	1.15512	48602	0	1
2013.08.26	1.15731	1.15747	1.14823	1.14896	40572	0	1
2013.08.27	1.14890	1.15365	1.14555	1.15171	55277	0	1
2013.08.28	1.15185	1.15288	1.14382	1.14451	57792	0	1
2013.08.29	1.14449	1.15138	1.14352	1.14962	50386	0	1
2013.08.30	1.14965	1.15275	1.14813	1.15004	40586	0	1
2013.09.02	1.15090	1.15442	1.14760	1.15130	43164	0	1
2013.09.03	1.15130	1.16308	1.14881	1.16053	49927	0	1
2013.09.04	1.16052	1.16590	1.15825	1.16120	48628	0	1
2013.09.05	1.16120	1.16275	1.15451	1.15620	43442	0	1
2013.09.06	1.15630	1.15647	1.14660	1.14660	36840	0	1
2013.09.09	1.15177	1.15305	1.14790	1.15122	37018	0	1
2013.09.10	1.15125	1.15517	1.15120	1.15450	44506	0	1
2013.09.11	1.15450	1.15580	1.14515	1.14547	43250	0	1
2013.09.12	1.14547	1.14787	1.13361	1.13907	47803	0	1
2013.09.13	1.13906	1.14056	1.13361	1.13582	37881	0	1
2013.09.16	1.13787	1.14327	1.13740	1.13910	42618	0	1
2013.09.17	1.13903	1.14033	1.13470	1.13691	38786	0	1
2013.09.18	1.13690	1.14007	1.13102	1.13206	46587	0	1
2013.09.19	1.13210	1.13285	1.12536	1.12610	49558	0	1
2013.09.20	1.12612	1.12869	1.12121	1.12184	37051	0	1
2013.09.23	1.12402	1.12858	1.12314	1.12669	33643	0	3
2013.09.24	1.12660	1.13863	1.12622	1.13764	35701	0	1
