<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	0.96195	0.97916	0.95981	0.97494	63790	0	5
2013.06.04	0.97494	0.97599	0.96102	0.96392	65543	0	5
2013.06.05	0.96391	0.96569	0.95111	0.95215	67867	0	5
2013.06.06	0.95214	0.96716	0.94342	0.95465	85918	0	8
2013.06.07	0.95469	0.95724	0.94275	0.94946	81421	0	8
2013.06.10	0.94165	0.94802	0.93987	0.94554	71440	0	8
2013.06.11	0.94555	0.94734	0.93257	0.94581	89540	0	8
2013.06.12	0.94579	0.95632	0.94151	0.94777	79772	0	8
2013.06.13	0.94776	0.96565	0.94280	0.96112	85734	0	5
2013.06.14	0.96111	0.96552	0.95671	0.95691	64905	0	5
2013.06.17	0.95661	0.96410	0.95091	0.95551	54169	0	5
2013.06.18	0.95552	0.95737	0.94400	0.94640	59343	0	5
2013.06.19	0.94641	0.95559	0.92607	0.92790	67164	0	5
2013.06.20	0.92789	0.93126	0.91633	0.91949	86501	0	5
2013.06.21	0.91949	0.92588	0.91822	0.92156	68949	0	5
2013.06.24	0.92426	0.92987	0.91476	0.92751	78693	0	5
2013.06.25	0.92751	0.92968	0.91964	0.92469	70226	0	5
2013.06.26	0.92469	0.93441	0.92354	0.92853	65895	0	5
2013.06.27	0.92854	0.93376	0.92613	0.92808	72247	0	8
2013.06.28	0.92807	0.92827	0.91128	0.91340	75584	0	8
2013.07.01	0.91412	0.92528	0.91347	0.92425	55930	0	5
2013.07.02	0.92422	0.92498	0.91302	0.91392	66883	0	5
2013.07.03	0.91391	0.91895	0.90367	0.91157	72717	0	5
2013.07.04	0.91160	0.91806	0.90728	0.91504	58301	0	5
2013.07.05	0.91504	0.91797	0.90480	0.90590	53712	0	5
2013.07.08	0.90425	0.91451	0.90416	0.91197	46832	0	5
2013.07.09	0.91193	0.92005	0.90829	0.91545	59945	0	5
2013.07.10	0.91544	0.92987	0.90926	0.92358	74969	0	5
2013.07.11	0.92359	0.93051	0.91191	0.91651	74727	0	5
2013.07.12	0.91650	0.91876	0.89996	0.90461	52151	0	1
2013.07.15	0.90863	0.91216	0.90354	0.90901	53220	0	1
2013.07.16	0.90899	0.92606	0.90893	0.92459	60113	0	1
2013.07.17	0.92459	0.92918	0.91910	0.92352	58984	0	1
2013.07.18	0.92352	0.92416	0.91376	0.91795	56098	0	1
2013.07.19	0.91793	0.92347	0.91549	0.91704	48322	0	1
2013.07.22	0.92200	0.92700	0.91851	0.92563	48366	0	1
2013.07.23	0.92563	0.92986	0.92224	0.92863	60871	0	1
2013.07.24	0.92862	0.93178	0.91283	0.91322	69170	0	1
2013.07.25	0.91321	0.92810	0.91312	0.92359	68296	0	1
2013.07.26	0.92360	0.92950	0.92275	0.92597	55625	0	1
2013.07.29	0.92529	0.92868	0.91773	0.92003	59454	0	1
2013.07.30	0.91999	0.92056	0.90438	0.90709	57164	0	1
2013.07.31	0.90709	0.90709	0.89256	0.89512	68001	0	1
2013.08.01	0.89515	0.89931	0.89073	0.89380	58424	0	1
2013.08.02	0.89382	0.89693	0.88702	0.89010	55665	0	1
2013.08.05	0.89038	0.89423	0.88477	0.89117	52091	0	1
2013.08.06	0.89119	0.90052	0.89064	0.89852	58317	0	1
2013.08.07	0.89853	0.90251	0.89193	0.90046	56050	0	1
2013.08.08	0.90049	0.91344	0.89720	0.91070	63438	0	1
2013.08.09	0.91069	0.92142	0.90856	0.91973	49163	0	1
2013.08.12	0.91762	0.92209	0.91111	0.91121	50390	0	1
2013.08.13	0.91127	0.91484	0.90733	0.90971	55407	0	1
2013.08.14	0.90979	0.91600	0.90812	0.91449	51747	0	1
2013.08.15	0.91449	0.91895	0.90585	0.91321	66701	0	1
2013.08.16	0.91321	0.92149	0.91312	0.91821	53628	0	1
2013.08.19	0.91966	0.92328	0.91029	0.91139	56262	0	1
2013.08.20	0.91141	0.91217	0.90268	0.90567	61682	0	1
2013.08.21	0.90567	0.90579	0.89650	0.89668	65071	0	1
2013.08.22	0.89666	0.90428	0.89319	0.90151	60013	0	1
2013.08.23	0.90150	0.90499	0.89713	0.90211	46794	0	1
2013.08.26	0.90267	0.90693	0.90030	0.90096	41681	0	1
2013.08.27	0.90096	0.90099	0.89251	0.89429	57773	0	1
2013.08.28	0.89428	0.89692	0.88924	0.89452	57956	0	1
2013.08.29	0.89452	0.89783	0.89031	0.89243	51660	0	1
2013.08.30	0.89244	0.89575	0.88920	0.88971	43326	0	1
2013.09.02	0.89365	0.90136	0.89362	0.89971	42584	0	1
2013.09.03	0.89973	0.90720	0.89722	0.90527	51700	0	1
2013.09.04	0.90526	0.91872	0.90372	0.91679	49495	0	1
2013.09.05	0.91681	0.91877	0.91155	0.91193	45909	0	1
2013.09.06	0.91193	0.92166	0.91166	0.91795	36418	0	1
2013.09.09	0.91902	0.92416	0.91671	0.92297	38097	0	1
2013.09.10	0.92294	0.93186	0.92291	0.92988	46249	0	1
2013.09.11	0.92989	0.93391	0.92762	0.93323	43448	0	1
2013.09.12	0.93323	0.93541	0.92279	0.92634	45591	0	1
2013.09.13	0.92633	0.92667	0.92233	0.92421	36615	0	1
2013.09.16	0.93230	0.93868	0.93051	0.93186	39850	0	1
2013.09.17	0.93186	0.93660	0.92850	0.93522	38137	0	1
2013.09.18	0.93522	0.95285	0.93356	0.94941	43884	0	1
2013.09.19	0.94943	0.95240	0.94270	0.94437	44923	0	1
2013.09.20	0.94439	0.94581	0.93774	0.93922	35412	0	1
2013.09.23	0.93996	0.94567	0.93815	0.94192	38361	0	1
2013.09.24	0.94192	0.94192	0.93635	0.93830	36654	0	1
2013.09.25	0.93823	0.93933	0.93381	0.93614	36569	0	1
2013.09.26	0.93613	0.94013	0.93399	0.93569	35412	0	1
2013.09.27	0.93569	0.93747	0.92975	0.93130	33415	0	1
2013.09.30	0.92978	0.93539	0.92808	0.93223	39955	0	1
2013.10.01	0.93223	0.94351	0.92884	0.93927	45285	0	1
2013.10.02	0.93929	0.94082	0.93334	0.93841	41068	0	1
2013.10.03	0.93840	0.94147	0.93667	0.94000	41154	0	1
2013.10.04	0.94002	0.94583	0.94001	0.94352	33279	0	1
2013.10.07	0.94404	0.94493	0.93879	0.94317	35451	0	1
2013.10.08	0.94318	0.94840	0.94115	0.94504	40213	0	1
2013.10.09	0.94500	0.94641	0.94129	0.94484	40439	0	1
2013.10.10	0.94483	0.94722	0.93891	0.94546	41473	0	1
2013.10.11	0.94546	0.94844	0.94444	0.94652	33303	0	1
2013.10.14	0.94460	0.95139	0.94339	0.95120	32809	0	1
2013.10.15	0.95122	0.95471	0.94986	0.95389	42548	0	1
2013.10.16	0.95390	0.95678	0.95048	0.95418	42018	0	1
2013.10.17	0.95416	0.96466	0.95270	0.96167	45191	0	1
2013.10.18	0.96163	0.96776	0.96043	0.96747	35524	0	1
2013.10.21	0.96602	0.96788	0.96424	0.96509	33677	0	1
