<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	0.96195	0.96352	0.95981	0.96255	10385	0	5
2013.06.03	04:00:00	0.96256	0.96509	0.96174	0.96350	10153	0	5
2013.06.03	08:00:00	0.96349	0.96625	0.96218	0.96609	10414	0	5
2013.06.03	12:00:00	0.96609	0.97743	0.96335	0.97689	16398	0	5
2013.06.03	16:00:00	0.97688	0.97916	0.97492	0.97599	10292	0	5
2013.06.03	20:00:00	0.97598	0.97715	0.97482	0.97494	6148	0	5
2013.06.04	00:00:00	0.97494	0.97599	0.97053	0.97119	10380	0	5
2013.06.04	04:00:00	0.97119	0.97377	0.96648	0.96716	13159	0	5
2013.06.04	08:00:00	0.96726	0.96860	0.96493	0.96684	11792	0	5
2013.06.04	12:00:00	0.96685	0.96858	0.96331	0.96384	15560	0	5
2013.06.04	16:00:00	0.96385	0.96479	0.96102	0.96453	9972	0	5
2013.06.04	20:00:00	0.96457	0.96551	0.96392	0.96392	4680	0	5
2013.06.05	00:00:00	0.96391	0.96533	0.96045	0.96448	11273	0	5
2013.06.05	04:00:00	0.96447	0.96569	0.95574	0.95818	14455	0	5
2013.06.05	08:00:00	0.95815	0.95878	0.95520	0.95730	10890	0	5
2013.06.05	12:00:00	0.95732	0.96088	0.95111	0.95321	16554	0	5
2013.06.05	16:00:00	0.95320	0.95427	0.95122	0.95375	9215	0	5
2013.06.05	20:00:00	0.95374	0.95471	0.95206	0.95215	5480	0	5
2013.06.06	00:00:00	0.95214	0.95304	0.94482	0.94518	10021	0	28
2013.06.06	04:00:00	0.94520	0.94788	0.94342	0.94783	14467	0	8
2013.06.06	08:00:00	0.94783	0.95155	0.94742	0.95025	15296	0	8
2013.06.06	12:00:00	0.95024	0.95373	0.94728	0.95291	20501	0	8
2013.06.06	16:00:00	0.95289	0.96716	0.95119	0.96092	18723	0	8
2013.06.06	20:00:00	0.96093	0.96205	0.95455	0.95465	6910	0	28
2013.06.07	00:00:00	0.95469	0.95680	0.94648	0.95242	11449	0	28
2013.06.07	04:00:00	0.95240	0.95240	0.94788	0.95036	16082	0	8
2013.06.07	08:00:00	0.95037	0.95290	0.94764	0.94990	16192	0	8
2013.06.07	12:00:00	0.94989	0.95724	0.94275	0.94833	21398	0	8
2013.06.07	16:00:00	0.94835	0.95116	0.94626	0.94932	13201	0	8
2013.06.07	20:00:00	0.94933	0.95080	0.94891	0.94946	3099	0	28
2013.06.10	00:00:00	0.94165	0.94563	0.94130	0.94170	7212	0	28
2013.06.10	04:00:00	0.94169	0.94384	0.94067	0.94144	10307	0	8
