<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	0.92366	0.92964	0.91419	0.92139	52290	0	1
2013.06.04	0.92142	0.92264	0.91455	0.91619	49443	0	1
2013.06.05	0.91618	0.91747	0.90780	0.91009	54658	0	1
2013.06.06	0.91008	0.91340	0.90260	0.90481	67328	0	34
2013.06.07	0.90485	0.91821	0.90003	0.91686	63903	0	34
2013.06.10	0.91704	0.92333	0.91444	0.91550	53041	0	34
2013.06.11	0.91554	0.91623	0.90338	0.90719	61605	0	34
2013.06.12	0.90715	0.91360	0.89906	0.90166	54559	0	34
2013.06.13	0.90165	0.91056	0.89375	0.90820	60630	0	7
2013.06.14	0.90817	0.91123	0.90400	0.90495	41685	0	1
2013.06.17	0.90702	0.91107	0.90479	0.90505	33177	0	1
2013.06.18	0.90503	0.90890	0.89893	0.90010	36320	0	1
2013.06.19	0.90009	0.90757	0.89873	0.90358	43479	0	1
2013.06.20	0.90355	0.90462	0.89178	0.89222	61774	0	1
2013.06.21	0.89234	0.89599	0.88812	0.89270	44594	0	1
2013.06.24	0.89372	0.89377	0.88461	0.88794	49769	0	1
2013.06.25	0.88794	0.89447	0.88671	0.89231	46661	0	1
2013.06.26	0.89228	0.90168	0.89151	0.89961	44757	0	1
2013.06.27	0.89960	0.90703	0.89918	0.90140	51149	0	34
2013.06.28	0.90141	0.90388	0.89615	0.89712	54734	0	34
2013.07.01	0.89854	0.90438	0.89682	0.89968	33913	0	1
2013.07.02	0.89968	0.90299	0.89711	0.90156	41012	0	1
2013.07.03	0.90153	0.90333	0.89769	0.90082	43480	0	1
2013.07.04	0.90085	0.91343	0.89878	0.91040	37144	0	1
2013.07.05	0.91043	0.91308	0.90717	0.91015	41123	0	1
2013.07.08	0.91315	0.91492	0.91041	0.91292	33033	0	1
2013.07.09	0.91292	0.92562	0.91249	0.92399	41819	0	1
2013.07.10	0.92398	0.92532	0.90552	0.91079	54285	0	1
2013.07.11	0.91079	0.91756	0.90731	0.91305	59055	0	1
2013.07.12	0.91300	0.91736	0.90872	0.90948	40568	0	1
2013.07.15	0.91118	0.91426	0.90833	0.90857	40080	0	1
2013.07.16	0.90858	0.90966	0.90286	0.90584	44503	0	1
2013.07.17	0.90586	0.90674	0.89918	0.90449	46839	0	1
2013.07.18	0.90452	0.91136	0.90339	0.90994	41083	0	1
2013.07.19	0.90993	0.91059	0.90611	0.90628	37910	0	1
2013.07.22	0.90715	0.90935	0.90191	0.90528	36472	0	1
2013.07.23	0.90529	0.91160	0.90527	0.90840	38964	0	1
2013.07.24	0.90838	0.91275	0.90642	0.90892	44354	0	1
2013.07.25	0.90898	0.91121	0.90288	0.90383	40364	0	1
2013.07.26	0.90383	0.90512	0.90161	0.90236	34529	0	1
2013.07.29	0.90363	0.90801	0.90237	0.90728	37474	0	1
2013.07.30	0.90726	0.90789	0.90093	0.90224	39345	0	1
2013.07.31	0.90224	0.90489	0.89888	0.90031	48536	0	1
2013.08.01	0.90031	0.90576	0.89997	0.90502	42102	0	1
2013.08.02	0.90506	0.90658	0.89310	0.89415	43140	0	2
2013.08.05	0.89431	0.89779	0.89319	0.89526	33383	0	2
2013.08.06	0.89529	0.89678	0.89017	0.89161	35199	0	1
2013.08.07	0.89161	0.89284	0.88351	0.88386	44205	0	1
2013.08.08	0.88384	0.89181	0.88298	0.89070	40302	0	1
2013.08.09	0.89070	0.89757	0.88933	0.89584	34221	0	1
2013.08.12	0.89627	0.90116	0.89599	0.89825	31797	0	1
2013.08.13	0.89822	0.90423	0.89747	0.90144	44567	0	1
2013.08.14	0.90143	0.90745	0.90077	0.90365	43407	0	1
2013.08.15	0.90368	0.90834	0.89689	0.89815	56798	0	1
2013.08.16	0.89818	0.90089	0.89154	0.89598	43507	0	1
2013.08.19	0.89712	0.89857	0.89220	0.89343	38330	0	1
2013.08.20	0.89343	0.89369	0.88071	0.88193	50317	0	1
2013.08.21	0.88193	0.88253	0.87913	0.88053	52392	0	1
2013.08.22	0.88053	0.88512	0.87666	0.87801	49312	0	1
2013.08.23	0.87805	0.87876	0.87313	0.87740	47677	0	1
2013.08.26	0.87669	0.87955	0.87633	0.87791	29393	0	1
2013.08.27	0.87791	0.87798	0.87217	0.87410	45452	0	1
2013.08.28	0.87412	0.88083	0.87359	0.87915	46010	0	1
2013.08.29	0.87916	0.88705	0.87889	0.88352	47262	0	1
2013.08.30	0.88352	0.88552	0.88128	0.88153	41465	0	1
2013.09.02	0.88497	0.88695	0.88415	0.88565	27865	0	1
2013.09.03	0.88566	0.89091	0.88488	0.88867	37264	0	1
2013.09.04	0.88868	0.89437	0.88812	0.89130	35255	0	1
2013.09.05	0.89129	0.89993	0.89122	0.89989	34125	0	1
2013.09.06	0.89994	0.90657	0.89879	0.90063	30450	0	1
2013.09.09	0.90142	0.90355	0.89716	0.89906	29501	0	1
2013.09.10	0.89904	0.90648	0.89822	0.90283	33097	0	1
2013.09.11	0.90285	0.90455	0.89948	0.90199	34129	0	1
2013.09.12	0.90199	0.90374	0.89838	0.90160	34484	0	1
2013.09.13	0.90158	0.90375	0.89701	0.89783	30849	0	1
2013.09.16	0.89706	0.90103	0.89617	0.89813	29516	0	2
2013.09.17	0.89816	0.90250	0.89623	0.89923	27391	0	2
2013.09.18	0.89919	0.90036	0.89106	0.89237	38446	0	1
2013.09.19	0.89238	0.89430	0.88635	0.88677	38845	0	1
2013.09.20	0.88677	0.88746	0.88282	0.88307	31624	0	2
2013.09.23	0.88440	0.88686	0.88253	0.88511	28289	0	3
2013.09.24	0.88511	0.88846	0.88426	0.88602	29113	0	2
2013.09.25	0.88602	0.88672	0.88108	0.88154	28548	0	1
2013.09.26	0.88154	0.88393	0.88046	0.88260	27851	0	1
2013.09.27	0.88261	0.88295	0.87432	0.87867	26386	0	2
2013.09.30	0.87773	0.88051	0.87637	0.87700	31322	0	1
2013.10.01	0.87705	0.87919	0.87348	0.87688	35154	0	2
2013.10.02	0.87682	0.87784	0.86973	0.87343	32032	0	2
2013.10.03	0.87344	0.87461	0.86867	0.87024	32890	0	1
2013.10.04	0.87024	0.88170	0.86938	0.88087	28857	0	1
2013.10.07	0.87889	0.87941	0.87347	0.87524	28453	0	3
2013.10.08	0.87525	0.87801	0.87043	0.87086	31936	0	1
2013.10.09	0.87082	0.87930	0.87061	0.87604	36183	0	2
2013.10.10	0.87607	0.87814	0.87389	0.87505	31923	0	1
2013.10.11	0.87510	0.88119	0.87197	0.88002	31694	0	1
2013.10.14	0.87785	0.88117	0.87542	0.88026	24215	0	3
2013.10.15	0.88027	0.88582	0.87787	0.88101	38145	0	2
2013.10.16	0.88100	0.88664	0.87704	0.88504	37698	0	1
2013.10.17	0.88506	0.88546	0.87493	0.87673	40256	0	1
2013.10.18	0.87673	0.87824	0.87511	0.87617	26051	0	2
2013.10.21	0.87616	0.87838	0.87444	0.87542	26430	0	1
2013.10.22	0.87542	0.87800	0.86886	0.86953	30621	0	1
2013.10.23	0.86949	0.86994	0.85770	0.85951	38852	0	1
2013.10.24	0.85951	0.85983	0.85426	0.85637	36118	0	1
2013.10.25	0.85640	0.85893	0.85270	0.85363	33477	0	1
2013.10.28	0.85464	0.85827	0.85438	0.85747	30552	0	1
2013.10.29	0.85747	0.86137	0.85683	0.85957	35912	0	1
2013.10.30	0.85958	0.86089	0.85582	0.85849	35637	0	1
2013.10.31	0.85848	0.87053	0.85776	0.86972	42126	0	1
2013.11.01	0.86972	0.87576	0.86903	0.87487	34175	0	1
2013.11.04	0.87557	0.87774	0.87239	0.87310	22411	0	1
2013.11.05	0.87310	0.87520	0.87145	0.87384	33754	0	3
