<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	96.955	97.125	96.026	96.758	77470	0	28
2013.06.04	96.760	97.345	96.501	96.829	73283	0	28
2013.06.05	96.830	97.033	95.589	95.791	80225	0	28
2013.06.06	95.792	96.127	93.955	94.668	92868	0	28
2013.06.07	94.667	95.698	92.920	95.599	103864	0	28
2013.06.10	96.162	97.395	95.917	96.921	76858	0	28
2013.06.11	96.922	96.970	93.687	94.327	99994	0	28
2013.06.12	94.324	95.332	93.279	93.947	87093	0	28
2013.06.13	93.946	94.286	91.787	93.965	103949	0	28
2013.06.14	93.964	94.095	92.319	92.463	96103	0	28
2013.06.17	92.671	93.675	92.590	92.895	61295	0	28
2013.06.18	92.894	93.806	92.650	93.436	66247	0	28
2013.06.19	93.435	94.529	92.849	93.976	73953	0	28
2013.06.20	93.977	95.105	93.436	93.616	101045	0	28
2013.06.21	93.615	94.558	92.911	93.573	84695	0	28
2013.06.24	93.870	93.978	92.162	92.843	89295	0	28
2013.06.25	92.840	93.348	92.463	93.319	80837	0	28
2013.06.26	93.320	93.405	92.792	93.352	73463	0	28
2013.06.27	93.350	94.204	93.194	93.954	66868	0	28
2013.06.28	93.955	94.577	93.820	94.185	68229	0	28
2013.07.01	94.491	95.091	94.276	94.885	55597	0	28
2013.07.02	94.884	95.656	94.431	95.466	59473	0	28
2013.07.03	95.468	95.594	94.209	95.112	69156	0	28
2013.07.04	95.113	95.463	94.534	95.220	57435	0	28
2013.07.05	95.221	95.743	94.754	95.591	61763	0	28
2013.07.08	95.831	95.954	95.300	95.476	54561	0	28
2013.07.09	95.475	96.171	95.430	96.014	55535	0	28
2013.07.10	96.013	96.080	94.447	94.887	75434	0	28
2013.07.11	94.888	95.799	94.638	95.437	86871	0	28
2013.07.12	95.438	96.007	95.084	95.366	60988	0	28
2013.07.15	95.399	96.342	95.290	95.735	51072	0	28
2013.07.16	95.733	95.843	95.292	95.507	60122	0	28
2013.07.17	95.508	96.111	95.231	95.714	61623	0	28
2013.07.18	95.715	96.894	95.567	96.790	58786	0	28
2013.07.19	96.789	97.060	96.286	97.018	61181	0	28
2013.07.22	96.870	96.987	95.902	96.242	54747	0	28
2013.07.23	96.246	97.097	95.897	96.645	58785	0	28
2013.07.24	96.646	97.647	96.464	97.230	63220	0	28
2013.07.25	97.226	97.307	96.353	96.472	63830	0	28
2013.07.26	96.473	96.571	95.264	95.580	61096	0	28
2013.07.29	95.426	95.575	95.067	95.331	58107	0	28
2013.07.30	95.330	95.795	94.970	95.126	56085	0	28
2013.07.31	95.125	95.692	94.700	95.049	67300	0	28
2013.08.01	95.050	96.306	94.944	96.054	60429	0	28
2013.08.02	96.055	96.283	95.063	95.194	58810	0	28
2013.08.05	95.199	95.323	94.616	94.822	49438	0	28
2013.08.06	94.824	95.116	93.955	94.155	55801	0	28
2013.08.07	94.156	94.161	92.353	92.563	67314	0	28
2013.08.08	92.565	93.631	92.303	93.552	64050	0	28
2013.08.09	93.553	93.847	92.994	93.485	52611	0	28
2013.08.12	93.659	94.347	93.247	94.216	51331	0	28
2013.08.13	94.217	95.076	94.156	94.955	56804	0	28
2013.08.14	94.954	95.162	94.557	94.729	52471	0	28
2013.08.15	94.730	95.254	94.174	94.329	66850	0	28
2013.08.16	94.331	94.843	93.997	94.316	52575	0	28
2013.08.19	94.539	94.996	94.214	94.376	51254	0	28
2013.08.20	94.377	94.439	93.276	93.610	60538	0	28
2013.08.21	93.611	93.777	93.089	93.241	63330	0	28
2013.08.22	93.242	94.104	93.143	93.886	59876	0	28
2013.08.23	93.885	94.082	93.527	93.974	56857	0	28
2013.08.26	93.982	94.064	93.457	93.669	40987	0	28
2013.08.27	93.670	93.689	92.362	92.628	58728	0	28
2013.08.28	92.627	93.356	92.240	93.088	57507	0	28
2013.08.29	93.091	93.747	92.891	93.317	54697	0	28
2013.08.30	93.316	93.440	92.928	93.067	52447	0	28
2013.09.02	93.318	94.337	93.264	94.263	44003	0	28
2013.09.03	94.261	94.843	94.046	94.563	58259	0	28
2013.09.04	94.561	95.122	94.325	95.021	52425	0	28
2013.09.05	95.020	95.405	94.863	95.321	55166	0	28
2013.09.06	95.320	95.550	94.751	95.189	54199	0	28
2013.09.09	95.878	96.085	95.564	96.016	48275	0	28
2013.09.10	96.015	97.109	95.894	96.961	52708	0	28
2013.09.11	96.962	97.155	96.570	96.822	52559	0	28
2013.09.12	96.820	96.848	95.890	96.396	54795	0	28
2013.09.13	96.397	96.690	95.836	95.958	47302	0	28
2013.09.16	95.963	96.101	95.730	95.992	42535	0	28
2013.09.17	95.991	96.665	95.902	96.274	42820	0	28
2013.09.18	96.273	96.403	95.639	96.023	56376	0	28
2013.09.19	96.022	97.412	95.840	96.787	64968	0	28
2013.09.20	96.789	96.896	96.334	96.352	52175	0	26
2013.09.23	96.409	96.410	95.833	95.987	44563	0	26
2013.09.24	95.985	96.451	95.505	95.829	49411	0	26
2013.09.25	95.828	95.969	95.334	95.434	52100	0	25
2013.09.26	95.433	96.064	95.216	96.012	56350	0	25
2013.09.27	96.014	96.022	95.157	95.274	51338	0	25
2013.09.30	94.877	95.629	94.606	95.232	61031	0	25
2013.10.01	95.230	95.575	94.664	94.890	65245	0	26
2013.10.02	94.887	94.887	93.961	94.295	61915	0	25
2013.10.03	94.294	94.738	93.886	94.131	60231	0	25
2013.10.04	94.130	94.678	93.843	94.646	51546	0	26
2013.10.07	94.337	94.470	93.597	93.742	51228	0	27
2013.10.08	93.741	94.300	93.358	93.493	57645	0	27
2013.10.09	93.494	93.931	93.309	93.750	59250	0	28
2013.10.10	93.749	94.547	93.732	94.220	58002	0	27
2013.10.11	94.221	95.211	94.221	95.189	52426	0	27
2013.10.14	94.779	95.321	94.734	95.224	34236	0	27
2013.10.15	95.225	95.319	94.401	94.575	55521	0	27
2013.10.16	94.576	95.719	94.547	95.719	58199	0	27
2013.10.17	95.720	95.821	94.842	95.181	62164	0	28
2013.10.18	95.180	95.290	94.814	94.965	45838	0	27
2013.10.21	95.042	95.419	95.011	95.232	40945	0	27
2013.10.22	95.230	95.721	95.013	95.347	45830	0	27
2013.10.23	95.349	95.389	93.536	93.777	59968	0	27
2013.10.24	93.778	94.084	93.258	93.443	54143	0	27
2013.10.25	93.442	93.467	92.881	93.178	51036	0	27
2013.10.28	93.429	93.592	93.289	93.435	40643	0	27
2013.10.29	93.434	93.932	93.218	93.746	52047	0	27
2013.10.30	93.744	94.087	93.710	93.924	52718	0	28
2013.10.31	93.922	94.417	93.677	94.236	58539	0	28
2013.11.01	94.238	94.719	93.772	94.596	53392	0	27
2013.11.04	94.726	94.887	94.508	94.607	37030	0	28
2013.11.05	94.609	94.618	93.923	94.191	48487	0	28
2013.11.06	94.190	94.792	94.076	94.635	46818	0	28
2013.11.07	94.636	95.198	93.431	93.874	60697	0	28
2013.11.08	93.875	94.619	93.697	94.505	53085	0	28
2013.11.11	94.586	94.756	94.380	94.668	36065	0	28
2013.11.12	94.669	95.158	94.655	94.860	53375	0	28
