<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	104.993	105.310	104.001	105.225	88876	0	7
2013.06.04	105.222	105.917	104.902	105.721	86043	0	7
2013.06.05	105.722	105.884	104.952	105.212	94116	0	7
2013.06.06	105.213	105.720	103.727	104.586	114113	0	21
2013.06.07	104.585	104.771	102.618	104.136	124315	0	21
2013.06.10	104.816	106.020	104.539	105.825	101632	0	19
2013.06.11	105.826	105.857	103.388	103.935	121823	0	21
2013.06.12	103.937	104.899	103.579	104.151	107645	0	21
2013.06.13	104.152	104.152	101.825	103.484	125003	0	10
2013.06.14	103.477	103.477	101.852	101.958	89536	0	7
2013.06.17	102.340	103.076	102.226	102.528	70635	0	7
2013.06.18	102.530	103.974	102.477	103.856	72507	0	7
2013.06.19	103.855	104.290	103.109	103.922	78328	0	7
2013.06.20	103.918	105.716	103.568	104.727	108567	0	7
2013.06.21	104.723	105.612	104.083	104.664	80706	0	7
2013.06.24	105.012	105.296	104.095	104.686	88639	0	7
2013.06.25	104.685	104.995	103.867	104.500	81454	0	7
2013.06.26	104.502	104.550	103.185	103.733	78383	0	7
2013.06.27	103.730	104.219	103.402	104.182	88785	0	21
2013.06.28	104.181	105.155	104.134	104.846	90504	0	21
2013.07.01	105.154	105.485	104.965	105.423	60568	0	7
2013.07.02	105.423	106.089	105.130	105.909	65875	0	7
2013.07.03	105.908	106.065	104.537	105.487	78015	0	7
2013.07.04	105.492	105.571	104.365	104.606	57881	0	7
2013.07.05	104.606	105.080	104.110	104.883	64505	0	7
2013.07.08	105.045	105.116	104.545	104.651	59699	0	7
2013.07.09	104.650	105.040	103.560	103.902	66403	0	7
2013.07.10	103.894	104.682	103.107	104.560	89638	0	7
2013.07.11	104.544	104.940	103.766	104.279	97814	0	7
2013.07.12	104.285	105.170	104.138	104.697	63244	0	7
2013.07.15	104.762	105.495	104.657	105.382	58383	0	7
2013.07.16	105.382	105.690	104.928	105.387	68150	0	7
2013.07.17	105.388	106.328	105.333	105.775	69589	0	7
2013.07.18	105.770	106.530	105.707	106.462	65478	0	1
2013.07.19	106.464	106.911	106.048	106.819	63803	0	1
2013.07.22	106.825	106.825	106.004	106.106	63274	0	1
2013.07.23	106.110	106.602	105.921	106.416	64602	0	1
2013.07.24	106.420	107.185	106.314	107.018	67341	0	1
2013.07.25	107.019	107.063	106.295	106.726	75299	0	1
2013.07.26	106.728	106.796	105.557	105.768	66984	0	1
2013.07.29	105.532	105.775	104.970	105.293	64843	0	1
2013.07.30	105.296	105.721	105.235	105.424	62047	0	1
2013.07.31	105.425	106.035	105.062	105.640	79244	0	1
2013.08.01	105.640	106.485	105.485	106.154	68704	0	1
2013.08.02	106.154	106.697	106.011	106.362	64849	0	1
2013.08.05	106.450	106.629	105.631	105.920	57893	0	1
2013.08.06	105.921	106.165	105.037	105.214	67607	0	1
2013.08.07	105.210	105.317	104.315	104.808	76765	0	1
2013.08.08	104.808	105.249	104.252	105.151	72320	0	1
2013.08.09	105.150	105.335	104.210	104.222	56766	0	1
2013.08.12	104.160	105.026	104.094	104.900	57758	0	1
2013.08.13	104.900	105.670	104.833	105.190	66302	0	1
2013.08.14	105.193	105.375	104.672	104.701	62168	0	1
2013.08.15	104.701	105.383	104.445	104.889	80689	0	1
2013.08.16	104.882	105.525	104.866	105.245	61628	0	1
2013.08.19	105.340	106.035	105.154	105.574	59216	0	1
2013.08.20	105.573	106.226	104.997	106.121	72048	0	1
2013.08.21	106.120	106.399	105.777	105.900	75117	0	1
2013.08.22	105.905	107.073	105.851	107.047	72283	0	1
2013.08.23	107.046	107.205	106.857	106.908	65426	0	1
2013.08.26	107.181	107.285	106.487	106.574	48293	0	1
2013.08.27	106.574	106.708	105.552	105.622	70810	0	1
2013.08.28	105.626	106.175	105.598	105.920	66548	0	1
2013.08.29	105.916	106.059	105.481	105.559	66558	0	1
2013.08.30	105.559	105.713	105.176	105.450	57453	0	1
2013.09.02	105.497	106.628	105.460	106.515	49476	0	1
2013.09.03	106.513	106.631	106.041	106.304	57419	0	1
2013.09.04	106.305	106.661	105.981	106.557	51971	0	1
2013.09.05	106.559	106.663	105.838	105.930	56106	0	1
2013.09.06	105.931	105.941	105.077	105.620	50194	0	1
2013.09.09	106.515	107.016	105.961	106.908	49896	0	2
2013.09.10	106.908	107.520	106.667	107.263	52369	0	1
2013.09.11	107.271	107.570	107.109	107.278	54829	0	1
2013.09.12	107.278	107.355	106.495	106.955	55417	0	1
2013.09.13	106.955	107.090	106.381	106.849	46763	0	1
2013.09.16	106.995	107.067	106.568	106.896	41735	0	2
2013.09.17	106.891	107.207	106.864	107.058	41077	0	1
2013.09.18	107.058	107.651	106.640	107.599	54371	0	1
2013.09.19	107.599	109.399	107.491	109.145	59512	0	1
2013.09.20	109.149	109.376	108.923	109.021	45236	0	2
2013.09.23	108.999	109.017	108.244	108.428	40293	0	2
2013.09.24	108.431	108.925	107.999	108.078	45961	0	1
2013.09.25	108.079	108.664	107.914	108.162	44379	0	1
2013.09.26	108.158	108.880	108.034	108.659	50881	0	1
2013.09.27	108.659	109.029	108.278	108.359	45179	0	1
2013.09.30	108.018	108.829	107.722	108.639	52484	0	1
2013.10.01	108.640	108.924	107.964	108.028	58081	0	1
2013.10.02	108.028	108.179	107.421	107.919	55761	0	1
2013.10.03	107.917	108.569	107.796	108.179	56206	0	1
2013.10.04	108.177	108.318	107.269	107.439	47538	0	1
2013.10.07	107.429	107.503	106.882	107.082	49874	0	2
2013.10.08	107.082	107.493	106.998	107.444	51342	0	1
2013.10.09	107.442	107.534	106.656	107.056	55417	0	1
2013.10.10	107.057	107.869	106.963	107.828	53642	0	1
2013.10.11	107.822	108.432	107.820	107.969	44788	0	3
2013.10.14	108.024	108.399	107.748	108.229	31547	0	2
2013.10.15	108.224	108.253	107.419	107.873	54046	0	2
2013.10.16	107.873	108.257	107.654	108.224	51911	0	1
2013.10.17	108.229	108.617	107.888	108.494	55004	0	1
2013.10.18	108.494	108.704	108.179	108.326	40495	0	4
2013.10.21	108.569	108.951	108.397	108.784	37826	0	1
2013.10.22	108.784	109.738	108.705	109.640	40926	0	1
2013.10.23	109.640	109.689	108.556	109.162	52777	0	1
2013.10.24	109.153	109.488	108.937	109.129	48327	0	1
2013.10.25	109.128	109.173	108.629	109.061	45073	0	1
2013.10.28	109.293	109.329	108.734	108.802	39923	0	3
2013.10.29	108.802	109.404	108.613	109.071	47325	0	1
2013.10.30	109.071	109.695	108.970	109.454	46200	0	1
2013.10.31	109.457	109.497	108.214	108.251	53501	0	1
2013.11.01	108.249	108.355	107.673	108.039	46416	0	1
2013.11.04	108.237	108.481	107.984	108.315	30977	0	3
2013.11.05	108.318	108.327	107.549	107.807	45241	0	1
2013.11.06	107.805	108.496	107.685	108.163	39540	0	1
2013.11.07	108.160	108.295	106.791	107.093	58348	0	1
2013.11.08	107.090	107.614	106.799	107.431	45912	0	2
2013.11.11	107.408	107.991	107.273	107.924	32654	0	2
2013.11.12	107.925	108.790	107.903	108.576	52467	0	1
2013.11.13	108.575	108.727	108.137	108.609	51540	0	1
2013.11.14	108.610	109.286	108.602	109.203	56812	0	1
2013.11.15	109.207	109.662	108.965	109.474	42882	0	3
2013.11.18	109.489	109.831	109.294	109.438	45612	0	1
2013.11.19	109.434	110.263	109.182	110.065	52401	0	2
2013.11.20	110.063	110.063	108.871	109.394	54604	0	1
2013.11.21	109.392	110.889	109.344	110.725	55739	0	1
2013.11.22	110.725	111.712	110.415	111.666	42798	0	1
2013.11.25	111.748	112.129	111.217	111.432	41408	0	1
