<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	1.34615	1.35117	1.34254	1.34424	69784	0	11
2013.06.04	1.34423	1.35412	1.34369	1.35283	67154	0	11
2013.06.05	1.35291	1.35843	1.35010	1.35374	76411	0	11
2013.06.06	1.35375	1.36354	1.35155	1.35996	90492	0	29
2013.06.07	1.35997	1.36325	1.34540	1.34670	90980	0	29
2013.06.10	1.34860	1.35156	1.34346	1.35100	75677	0	29
2013.06.11	1.35101	1.36150	1.34962	1.35559	90445	0	29
2013.06.12	1.35560	1.36269	1.34820	1.36104	82925	0	29
2013.06.13	1.36106	1.36730	1.34883	1.35814	92814	0	11
2013.06.14	1.35815	1.36036	1.35165	1.35680	64586	0	11
2013.06.17	1.35678	1.36248	1.35262	1.36121	54525	0	11
2013.06.18	1.36118	1.36953	1.35794	1.36912	62694	0	11
2013.06.19	1.36912	1.37145	1.36108	1.36560	66891	0	11
2013.06.20	1.36561	1.37413	1.36177	1.37314	93170	0	11
2013.06.21	1.37313	1.38044	1.36928	1.37158	76786	0	11
2013.06.24	1.37360	1.38160	1.37328	1.37901	83197	0	11
2013.06.25	1.37901	1.38010	1.37183	1.37607	75812	0	11
2013.06.26	1.37608	1.37690	1.36034	1.36197	77249	0	11
2013.06.27	1.36196	1.36705	1.35822	1.36519	75367	0	29
2013.06.28	1.36516	1.37349	1.36513	1.36796	76233	0	29
2013.07.01	1.36865	1.37345	1.36672	1.37220	53962	0	11
2013.07.02	1.37220	1.37685	1.36749	1.36884	63313	0	11
2013.07.03	1.36884	1.37162	1.36280	1.36718	65024	0	11
2013.07.04	1.36717	1.37141	1.35168	1.35671	55008	0	11
2013.07.05	1.35670	1.36099	1.35256	1.35719	60781	0	11
2013.07.08	1.35536	1.36111	1.35427	1.35853	52818	0	11
2013.07.09	1.35853	1.36005	1.34381	1.34621	62887	0	11
2013.07.10	1.34624	1.37130	1.34301	1.36407	80210	0	11
2013.07.11	1.36407	1.36632	1.35153	1.35798	88531	0	11
2013.07.12	1.35798	1.35927	1.34999	1.35782	57556	0	11
2013.07.15	1.35683	1.36346	1.35493	1.36286	52378	0	11
2013.07.16	1.36286	1.36942	1.36222	1.36467	61621	0	11
2013.07.17	1.36466	1.37095	1.36267	1.36471	63847	0	11
2013.07.18	1.36472	1.36825	1.35875	1.36039	57107	0	1
2013.07.19	1.36040	1.36367	1.35943	1.36211	51568	0	1
2013.07.22	1.36244	1.36799	1.36088	1.36347	50683	0	1
2013.07.23	1.36348	1.36359	1.35824	1.36062	54573	0	1
2013.07.24	1.36061	1.36516	1.35719	1.36112	61394	0	1
2013.07.25	1.36112	1.36656	1.35739	1.36549	61222	0	1
2013.07.26	1.36549	1.36686	1.36223	1.36427	51014	0	1
2013.07.29	1.36432	1.36579	1.35928	1.36104	51103	0	1
2013.07.30	1.36104	1.36781	1.36004	1.36628	54626	0	1
2013.07.31	1.36627	1.36942	1.36326	1.36787	70108	0	1
2013.08.01	1.36787	1.36845	1.35993	1.36691	61089	0	1
2013.08.02	1.36692	1.38078	1.36513	1.37949	55188	0	1
2013.08.05	1.37923	1.38106	1.37267	1.37321	48272	0	1
2013.08.06	1.37317	1.38264	1.37256	1.38051	52363	0	1
2013.08.07	1.38051	1.39067	1.38007	1.39031	59681	0	1
2013.08.08	1.39029	1.39206	1.37992	1.38190	56492	0	1
2013.08.09	1.38190	1.38370	1.37092	1.37220	46871	0	1
2013.08.12	1.37196	1.37283	1.36745	1.37072	46774	0	1
2013.08.13	1.37073	1.37481	1.36858	1.37244	55870	0	1
2013.08.14	1.37245	1.37573	1.36782	1.37051	53744	0	1
2013.08.15	1.37051	1.37692	1.36647	1.37536	68456	0	1
2013.08.16	1.37536	1.38320	1.37398	1.37731	54636	0	1
2013.08.19	1.37731	1.38170	1.37513	1.37955	53723	0	1
2013.08.20	1.37955	1.39738	1.37912	1.39519	65962	0	1
2013.08.21	1.39519	1.40060	1.39447	1.39889	69893	0	1
2013.08.22	1.39890	1.40666	1.39586	1.40454	64863	0	1
2013.08.23	1.40456	1.41272	1.40358	1.40378	57931	0	1
2013.08.26	1.40615	1.40844	1.40329	1.40489	38870	0	1
2013.08.27	1.40487	1.40919	1.40217	1.40502	60269	0	1
2013.08.28	1.40502	1.40638	1.39568	1.39940	59920	0	1
2013.08.29	1.39937	1.39958	1.38884	1.39506	61320	0	1
2013.08.30	1.39505	1.39627	1.38770	1.39231	53941	0	1
2013.09.02	1.39149	1.39366	1.38861	1.39179	39070	0	1
2013.09.03	1.39175	1.39251	1.38404	1.38768	49951	0	1
2013.09.04	1.38768	1.38845	1.37977	1.38569	49077	0	2
2013.09.05	1.38567	1.38666	1.37672	1.37750	46108	0	1
2013.09.06	1.37752	1.37769	1.36477	1.37087	41710	0	1
2013.09.09	1.37168	1.37673	1.36787	1.37487	40064	0	1
2013.09.10	1.37485	1.37699	1.36711	1.37364	46783	0	1
2013.09.11	1.37365	1.37557	1.36993	1.37271	46659	0	1
2013.09.12	1.37272	1.37544	1.36900	1.37285	48246	0	1
2013.09.13	1.37287	1.37712	1.36992	1.37576	43497	0	1
2013.09.16	1.37758	1.37881	1.37319	1.37608	43011	0	1
2013.09.17	1.37605	1.37924	1.37136	1.37531	40269	0	1
2013.09.18	1.37531	1.38381	1.37342	1.38253	51729	0	1
2013.09.19	1.38251	1.38977	1.37901	1.38947	56328	0	1
2013.09.20	1.38950	1.39479	1.38892	1.39288	43597	0	2
2013.09.23	1.39372	1.39449	1.38667	1.38816	41456	0	3
2013.09.24	1.38811	1.39018	1.38322	1.38871	41605	0	2
2013.09.25	1.38869	1.39571	1.38731	1.39517	44603	0	2
2013.09.26	1.39518	1.39582	1.38990	1.39072	41520	0	3
2013.09.27	1.39070	1.39939	1.38999	1.39306	38013	0	1
2013.09.30	1.39173	1.39625	1.38940	1.39597	45570	0	1
2013.10.01	1.39598	1.39911	1.39414	1.39789	50330	0	4
2013.10.02	1.39789	1.40695	1.39668	1.40326	48415	0	1
2013.10.03	1.40326	1.40843	1.40173	1.40690	47609	0	2
2013.10.04	1.40690	1.40830	1.39441	1.39526	40235	0	1
2013.10.07	1.39735	1.40283	1.39593	1.40082	40024	0	2
2013.10.08	1.40075	1.40909	1.39904	1.40823	44313	0	1
2013.10.09	1.40831	1.40880	1.40071	1.40510	48384	0	4
2013.10.10	1.40510	1.40819	1.40240	1.40794	43781	0	2
2013.10.11	1.40795	1.41112	1.40043	1.40043	40904	0	2
2013.10.14	1.40501	1.40763	1.40197	1.40321	32466	0	4
2013.10.15	1.40322	1.40552	1.39640	1.40191	48507	0	5
2013.10.16	1.40193	1.40718	1.39428	1.39665	48662	0	2
2013.10.17	1.39665	1.40863	1.39597	1.40782	53285	0	4
2013.10.18	1.40789	1.40993	1.40617	1.40740	40328	0	3
2013.10.21	1.40847	1.40988	1.40581	1.40944	35631	0	4
2013.10.22	1.40947	1.41910	1.40688	1.41793	40963	0	1
2013.10.23	1.41792	1.43291	1.41728	1.43036	52754	0	2
2013.10.24	1.43038	1.44072	1.42957	1.43800	49992	0	1
