<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	1.34615	1.34908	1.34605	1.34873	7753	0	11
2013.06.03	04:00:00	1.34876	1.34989	1.34722	1.34939	10030	0	11
2013.06.03	08:00:00	1.34939	1.35117	1.34508	1.34555	12522	0	11
2013.06.03	12:00:00	1.34554	1.35109	1.34254	1.34760	20879	0	11
2013.06.03	16:00:00	1.34761	1.34809	1.34278	1.34333	12679	0	11
2013.06.03	20:00:00	1.34331	1.34455	1.34304	1.34424	5921	0	11
2013.06.04	00:00:00	1.34423	1.34515	1.34372	1.34434	7112	0	11
2013.06.04	04:00:00	1.34435	1.34966	1.34369	1.34918	11053	0	11
2013.06.04	08:00:00	1.34915	1.35144	1.34882	1.35076	13493	0	11
2013.06.04	12:00:00	1.35077	1.35400	1.34748	1.35293	20523	0	11
2013.06.04	16:00:00	1.35293	1.35412	1.35221	1.35310	10280	0	11
2013.06.04	20:00:00	1.35318	1.35347	1.35228	1.35283	4693	0	11
2013.06.05	00:00:00	1.35291	1.35476	1.35258	1.35322	8784	0	11
2013.06.05	04:00:00	1.35323	1.35402	1.35133	1.35303	13368	0	11
2013.06.05	08:00:00	1.35304	1.35357	1.35036	1.35122	13038	0	11
2013.06.05	12:00:00	1.35121	1.35843	1.35010	1.35401	22167	0	11
2013.06.05	16:00:00	1.35397	1.35599	1.35328	1.35426	11698	0	11
2013.06.05	20:00:00	1.35431	1.35451	1.35308	1.35374	7356	0	11
2013.06.06	00:00:00	1.35375	1.35640	1.35307	1.35627	7557	0	124
2013.06.06	04:00:00	1.35628	1.35741	1.35526	1.35585	12681	0	29
2013.06.06	08:00:00	1.35586	1.35767	1.35200	1.35374	15467	0	29
2013.06.06	12:00:00	1.35371	1.36354	1.35155	1.36119	24069	0	29
2013.06.06	16:00:00	1.36120	1.36142	1.35435	1.35880	22208	0	29
2013.06.06	20:00:00	1.35881	1.36016	1.35796	1.35996	8510	0	124
2013.06.07	00:00:00	1.35997	1.36325	1.35951	1.36082	9890	0	124
2013.06.07	04:00:00	1.36081	1.36240	1.35966	1.36114	16443	0	29
2013.06.07	08:00:00	1.36105	1.36106	1.35733	1.35826	19500	0	29
2013.06.07	12:00:00	1.35825	1.35980	1.34540	1.34939	26310	0	29
2013.06.07	16:00:00	1.34937	1.35213	1.34871	1.35000	15036	0	29
2013.06.07	20:00:00	1.35004	1.35025	1.34588	1.34670	3801	0	124
2013.06.10	00:00:00	1.34860	1.34897	1.34518	1.34687	6716	0	124
2013.06.10	04:00:00	1.34689	1.34751	1.34534	1.34610	9493	0	29
2013.06.10	08:00:00	1.34612	1.34866	1.34517	1.34836	15998	0	29
2013.06.10	12:00:00	1.34837	1.34849	1.34346	1.34390	20794	0	29
2013.06.10	16:00:00	1.34390	1.35156	1.34389	1.35090	16296	0	29
2013.06.10	20:00:00	1.35091	1.35118	1.34964	1.35100	6380	0	124
2013.06.11	00:00:00	1.35101	1.35231	1.35032	1.35178	7689	0	124
2013.06.11	04:00:00	1.35179	1.35294	1.35132	1.35250	12410	0	29
2013.06.11	08:00:00	1.35249	1.36096	1.35244	1.35865	21162	0	29
2013.06.11	12:00:00	1.35866	1.36150	1.35151	1.35220	24042	0	29
2013.06.11	16:00:00	1.35224	1.35606	1.34962	1.35570	17449	0	29
2013.06.11	20:00:00	1.35568	1.35655	1.35497	1.35559	7693	0	124
2013.06.12	00:00:00	1.35560	1.35770	1.35487	1.35770	6587	0	124
2013.06.12	04:00:00	1.35771	1.35893	1.35648	1.35754	10561	0	29
2013.06.12	08:00:00	1.35755	1.35986	1.35002	1.35244	18682	0	29
2013.06.12	12:00:00	1.35244	1.35884	1.34820	1.35786	21516	0	29
2013.06.12	16:00:00	1.35787	1.36269	1.35664	1.36079	18288	0	29
2013.06.12	20:00:00	1.36078	1.36172	1.36034	1.36104	7291	0	124
2013.06.13	00:00:00	1.36106	1.36550	1.36091	1.36375	9761	0	124
2013.06.13	04:00:00	1.36376	1.36730	1.36296	1.36502	14029	0	29
2013.06.13	08:00:00	1.36503	1.36528	1.35299	1.35337	19243	0	29
2013.06.13	12:00:00	1.35338	1.35568	1.34883	1.35204	23601	0	29
2013.06.13	16:00:00	1.35206	1.35879	1.35183	1.35845	17035	0	29
