<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	1.24356	1.24862	1.23308	1.23884	54704	0	5
2013.06.04	1.23884	1.24289	1.23769	1.23963	51996	0	5
2013.06.05	1.23963	1.24119	1.23088	1.23293	57481	0	5
2013.06.06	1.23290	1.23863	1.22713	1.23144	68270	0	18
2013.06.07	1.23144	1.23794	1.22696	1.23669	67297	0	18
2013.06.10	1.23760	1.24181	1.23532	1.23774	52563	0	18
2013.06.11	1.23773	1.23858	1.22440	1.23072	61855	0	18
2013.06.12	1.23071	1.23335	1.22545	1.22811	54097	0	18
2013.06.13	1.22812	1.23378	1.22223	1.23361	66552	0	5
2013.06.14	1.23361	1.23361	1.22768	1.22887	43637	0	5
2013.06.17	1.23076	1.23630	1.23007	1.23238	36014	0	5
2013.06.18	1.23238	1.23570	1.22916	1.23247	40080	0	5
2013.06.19	1.23247	1.23640	1.23096	1.23416	44028	0	5
2013.06.20	1.23414	1.23466	1.22420	1.22520	64837	0	5
2013.06.21	1.22527	1.22855	1.22421	1.22561	40321	0	5
2013.06.24	1.22774	1.22790	1.22184	1.22468	48127	0	5
2013.06.25	1.22468	1.22964	1.22346	1.22797	46698	0	5
2013.06.26	1.22794	1.22828	1.22398	1.22608	43705	0	5
2013.06.27	1.22607	1.23370	1.22577	1.23163	52723	0	18
2013.06.28	1.23162	1.23537	1.22829	1.22846	52786	0	18
2013.07.01	1.22992	1.23763	1.22912	1.23470	35993	0	5
2013.07.02	1.23470	1.23820	1.23270	1.23432	39539	0	5
2013.07.03	1.23433	1.23479	1.22802	1.23177	45160	0	5
2013.07.04	1.23187	1.23739	1.23062	1.23536	40452	0	5
2013.07.05	1.23534	1.23776	1.23329	1.23596	42326	0	5
2013.07.08	1.23776	1.24142	1.23721	1.24029	34439	0	5
2013.07.09	1.24030	1.24655	1.23985	1.24399	42988	0	5
2013.07.10	1.24403	1.24564	1.24062	1.24260	57609	0	5
2013.07.11	1.24260	1.24433	1.23654	1.24012	67542	0	5
2013.07.12	1.24013	1.24049	1.23474	1.23620	37823	0	5
2013.07.15	1.23652	1.24037	1.23615	1.23846	37846	0	5
2013.07.16	1.23844	1.24032	1.23552	1.23638	44127	0	5
2013.07.17	1.23640	1.23760	1.23256	1.23458	41761	0	5
2013.07.18	1.23458	1.23904	1.23432	1.23803	34692	0	1
2013.07.19	1.23804	1.23851	1.23518	1.23628	28909	0	1
2013.07.22	1.23616	1.23773	1.23209	1.23453	31018	0	1
2013.07.23	1.23452	1.23945	1.23421	1.23618	30776	0	1
2013.07.24	1.23615	1.24029	1.23557	1.23732	34360	0	1
2013.07.25	1.23734	1.23853	1.23396	1.23435	34459	0	1
2013.07.26	1.23435	1.23483	1.23132	1.23220	28482	0	1
2013.07.29	1.23308	1.23510	1.23224	1.23483	26372	0	1
2013.07.30	1.23484	1.23535	1.23221	1.23310	28032	0	1
2013.07.31	1.23310	1.23440	1.23048	1.23179	42057	0	1
2013.08.01	1.23182	1.23772	1.23100	1.23729	38862	0	1
2013.08.02	1.23731	1.23969	1.23251	1.23398	35152	0	1
2013.08.05	1.23377	1.23582	1.22888	1.22959	32406	0	1
2013.08.06	1.22956	1.23280	1.22673	1.23111	33430	0	1
2013.08.07	1.23111	1.23265	1.22836	1.22907	39133	0	1
2013.08.08	1.22903	1.23179	1.22807	1.23106	36220	0	1
2013.08.09	1.23103	1.23177	1.22939	1.22999	27001	0	1
2013.08.12	1.22991	1.23293	1.22957	1.23142	29299	0	1
2013.08.13	1.23140	1.23822	1.23134	1.23733	36053	0	1
2013.08.14	1.23733	1.24264	1.23659	1.23868	35400	0	1
2013.08.15	1.23870	1.24337	1.23372	1.23542	42745	0	1
2013.08.16	1.23541	1.23828	1.23303	1.23471	33940	0	1
2013.08.19	1.23579	1.23703	1.23137	1.23262	26378	0	1
2013.08.20	1.23263	1.23386	1.22854	1.23071	35250	0	1
2013.08.21	1.23069	1.23319	1.23002	1.23196	37755	0	1
2013.08.22	1.23196	1.23578	1.23142	1.23345	35458	0	1
2013.08.23	1.23346	1.23619	1.23188	1.23276	33510	0	1
2013.08.26	1.23291	1.23564	1.23283	1.23357	23178	0	1
2013.08.27	1.23351	1.23359	1.22809	1.22823	35519	0	1
2013.08.28	1.22823	1.23063	1.22772	1.23036	34554	0	1
2013.08.29	1.23036	1.23286	1.22952	1.23266	36071	0	1
2013.08.30	1.23268	1.23287	1.22813	1.22906	29255	0	1
2013.09.02	1.23146	1.23326	1.23070	1.23281	24626	0	1
2013.09.03	1.23279	1.23419	1.23131	1.23338	30680	0	1
2013.09.04	1.23340	1.23677	1.23300	1.23529	26988	0	1
2013.09.05	1.23528	1.24001	1.23519	1.23975	33104	0	1
2013.09.06	1.23973	1.24009	1.23257	1.23579	28832	0	1
2013.09.09	1.23666	1.23683	1.23355	1.23629	25379	0	1
2013.09.10	1.23630	1.24040	1.23611	1.24034	27697	0	1
2013.09.11	1.24030	1.24145	1.23704	1.23832	26392	0	1
2013.09.12	1.23830	1.23877	1.23522	1.23788	25589	0	1
2013.09.13	1.23789	1.23898	1.23581	1.23583	24574	0	1
2013.09.16	1.23586	1.23797	1.23471	1.23610	26969	0	1
2013.09.17	1.23610	1.23842	1.23554	1.23683	23919	0	1
2013.09.18	1.23682	1.23750	1.23284	1.23390	34313	0	1
2013.09.19	1.23390	1.23506	1.23103	1.23228	35074	0	1
2013.09.20	1.23228	1.23309	1.23026	1.23118	27156	0	1
2013.09.23	1.23264	1.23351	1.22765	1.22884	26649	0	1
2013.09.24	1.22883	1.23063	1.22853	1.23059	27518	0	1
2013.09.25	1.23057	1.23097	1.22874	1.22997	26809	0	1
2013.09.26	1.22999	1.23104	1.22741	1.22765	26731	0	1
2013.09.27	1.22765	1.22776	1.22363	1.22459	27404	0	1
2013.09.30	1.22172	1.22460	1.22147	1.22440	30290	0	1
2013.10.01	1.22442	1.22681	1.22167	1.22589	33778	0	1
2013.10.02	1.22589	1.22676	1.22229	1.22579	31914	0	1
2013.10.03	1.22579	1.22788	1.22320	1.22456	32427	0	1
2013.10.04	1.22454	1.23002	1.22363	1.22960	28087	0	1
2013.10.07	1.22850	1.22873	1.22527	1.22615	28112	0	1
2013.10.08	1.22616	1.22945	1.22616	1.22659	26135	0	1
2013.10.09	1.22659	1.23199	1.22659	1.23103	31735	0	1
2013.10.10	1.23105	1.23289	1.23016	1.23223	24267	0	1
2013.10.11	1.23226	1.23532	1.23119	1.23470	22824	0	1
2013.10.14	1.23358	1.23588	1.23219	1.23534	20585	0	1
2013.10.15	1.23533	1.23751	1.23347	1.23537	29230	0	1
2013.10.16	1.23535	1.23671	1.23369	1.23624	29975	0	1
2013.10.17	1.23623	1.23630	1.23107	1.23445	31816	0	1
2013.10.18	1.23446	1.23516	1.23364	1.23395	22424	0	1
2013.10.21	1.23426	1.23574	1.23229	1.23403	21516	0	1
2013.10.22	1.23403	1.23639	1.23122	1.23314	24125	0	1
