<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	0.85449	0.85529	0.85022	0.85305	64062	0	3
2013.06.04	0.85306	0.85586	0.85216	0.85423	61760	0	3
2013.06.05	0.85421	0.85480	0.84915	0.84962	68979	0	3
2013.06.06	0.84961	0.85203	0.84765	0.84889	78688	0	3
2013.06.07	0.84887	0.85265	0.84799	0.84918	77199	0	3
2013.06.10	0.85020	0.85175	0.84895	0.85110	66403	0	3
2013.06.11	0.85111	0.85506	0.85007	0.85096	78145	0	3
2013.06.12	0.85095	0.85133	0.84688	0.85052	68995	0	3
2013.06.13	0.85053	0.85412	0.84755	0.85056	77317	0	3
2013.06.14	0.85057	0.85344	0.84888	0.84940	57210	0	3
2013.06.17	0.84884	0.85073	0.84756	0.85015	49853	0	3
2013.06.18	0.85014	0.85843	0.84993	0.85678	57881	0	3
2013.06.19	0.85677	0.85899	0.85433	0.85831	61459	0	3
2013.06.20	0.85829	0.85903	0.85172	0.85267	82585	0	3
2013.06.21	0.85270	0.85516	0.85050	0.85070	65621	0	3
2013.06.24	0.85176	0.85420	0.84825	0.84990	70044	0	3
2013.06.25	0.84990	0.85116	0.84714	0.84851	63735	0	3
2013.06.26	0.84851	0.84989	0.84688	0.84909	63120	0	3
2013.06.27	0.84910	0.85597	0.84904	0.85411	62317	0	3
2013.06.28	0.85410	0.85899	0.85403	0.85486	62554	0	3
2013.07.01	0.85524	0.85931	0.85472	0.85872	48510	0	3
2013.07.02	0.85872	0.85937	0.85546	0.85635	53309	0	3
2013.07.03	0.85635	0.85746	0.84816	0.85205	58063	0	3
2013.07.04	0.85205	0.86327	0.85105	0.85720	54375	0	3
2013.07.05	0.85720	0.86292	0.85665	0.86130	55470	0	3
2013.07.08	0.86223	0.86273	0.86030	0.86113	47514	0	3
2013.07.09	0.86112	0.86688	0.85864	0.86053	57703	0	3
2013.07.10	0.86052	0.86937	0.85749	0.86702	69098	0	3
2013.07.11	0.86701	0.86764	0.86107	0.86252	76739	0	3
2013.07.12	0.86251	0.86540	0.86129	0.86457	49385	0	3
2013.07.15	0.86437	0.86643	0.86308	0.86503	47125	0	3
2013.07.16	0.86502	0.87069	0.86423	0.86906	58216	0	3
2013.07.17	0.86905	0.87107	0.86147	0.86234	59295	0	3
2013.07.18	0.86234	0.86459	0.86002	0.86116	52678	0	1
2013.07.19	0.86119	0.86294	0.85897	0.86018	43700	0	1
2013.07.22	0.86084	0.86117	0.85819	0.85847	44581	0	1
2013.07.23	0.85848	0.86082	0.85818	0.86002	46340	0	1
2013.07.24	0.86002	0.86285	0.85874	0.86169	48626	0	1
2013.07.25	0.86169	0.86437	0.85875	0.86300	54869	0	1
2013.07.26	0.86299	0.86379	0.86062	0.86293	44159	0	1
