<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	0.85449	0.85529	0.85428	0.85515	5734	0	3
2013.06.03	04:00:00	0.85519	0.85524	0.85307	0.85395	9664	0	3
2013.06.03	08:00:00	0.85395	0.85442	0.85197	0.85216	13248	0	3
2013.06.03	12:00:00	0.85214	0.85333	0.85022	0.85327	19263	0	3
2013.06.03	16:00:00	0.85328	0.85374	0.85276	0.85330	10674	0	3
2013.06.03	20:00:00	0.85327	0.85371	0.85284	0.85305	5479	0	3
2013.06.04	00:00:00	0.85306	0.85326	0.85216	0.85264	6170	0	3
2013.06.04	04:00:00	0.85265	0.85454	0.85223	0.85431	10339	0	3
2013.06.04	08:00:00	0.85430	0.85581	0.85415	0.85483	13269	0	3
2013.06.04	12:00:00	0.85482	0.85586	0.85335	0.85436	18005	0	3
2013.06.04	16:00:00	0.85437	0.85484	0.85402	0.85446	8863	0	3
2013.06.04	20:00:00	0.85445	0.85466	0.85391	0.85423	5114	0	3
2013.06.05	00:00:00	0.85421	0.85480	0.85404	0.85422	7132	0	3
2013.06.05	04:00:00	0.85418	0.85434	0.85274	0.85274	12899	0	3
2013.06.05	08:00:00	0.85274	0.85298	0.84968	0.85077	13730	0	3
2013.06.05	12:00:00	0.85077	0.85257	0.84986	0.85033	20232	0	3
2013.06.05	16:00:00	0.85034	0.85054	0.84915	0.84990	10316	0	3
2013.06.05	20:00:00	0.84991	0.85006	0.84945	0.84962	4670	0	3
2013.06.06	00:00:00	0.84961	0.85058	0.84948	0.85021	5294	0	30
2013.06.06	04:00:00	0.85022	0.85074	0.84928	0.84989	11541	0	3
2013.06.06	08:00:00	0.84988	0.85032	0.84849	0.84854	15011	0	3
2013.06.06	12:00:00	0.84860	0.85203	0.84790	0.84992	21477	0	3
2013.06.06	16:00:00	0.84993	0.85068	0.84765	0.84853	19211	0	3
2013.06.06	20:00:00	0.84855	0.84950	0.84845	0.84889	6154	0	30
