<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	130.585	130.982	129.517	130.360	99373	0	5
2013.06.04	130.359	131.398	129.928	131.071	95166	0	5
2013.06.05	131.071	131.401	129.597	129.773	106244	0	5
2013.06.06	129.771	130.716	127.484	128.847	116782	0	13
2013.06.07	128.847	129.174	126.155	128.896	124381	0	13
2013.06.10	129.776	131.295	129.206	131.041	106720	0	10
2013.06.11	131.041	131.130	127.103	127.968	122310	0	13
2013.06.12	127.967	129.337	127.032	127.961	108576	0	13
2013.06.13	127.962	127.965	124.965	127.679	122233	0	5
2013.06.14	127.673	127.673	125.182	125.503	99308	0	5
2013.06.17	125.974	126.922	125.813	126.367	82588	0	5
2013.06.18	126.369	128.114	126.319	128.023	85665	0	5
2013.06.19	128.023	128.763	127.058	128.277	92139	0	5
2013.06.20	128.277	129.907	127.821	128.329	124644	0	5
2013.06.21	128.326	129.696	127.789	128.415	98474	0	5
2013.06.24	128.948	129.204	127.286	128.222	104985	0	5
2013.06.25	128.221	128.668	127.293	128.350	97505	0	5
2013.06.26	128.350	128.421	126.572	127.239	95754	0	5
2013.06.27	127.239	128.394	127.041	128.360	93435	0	13
2013.06.28	128.360	129.643	128.345	128.942	94837	0	13
2013.07.01	129.359	130.272	129.079	130.180	71293	0	1
2013.07.02	130.180	131.119	129.837	130.733	78637	0	1
2013.07.03	130.733	130.799	128.645	129.955	87170	0	1
2013.07.04	129.959	130.043	128.831	129.238	65368	0	5
2013.07.05	129.238	129.881	128.580	129.765	71741	0	5
2013.07.08	130.036	130.179	129.397	129.817	69050	0	5
2013.07.09	129.815	130.561	128.706	129.275	74789	0	5
2013.07.10	129.274	130.112	128.014	129.917	99177	0	5
2013.07.11	129.913	130.428	128.644	129.335	108161	0	5
2013.07.12	129.342	129.952	128.906	129.570	71440	0	1
2013.07.15	129.561	130.705	129.393	130.522	67548	0	1
2013.07.16	130.518	130.814	130.036	130.314	80044	0	1
2013.07.17	130.316	131.357	130.289	130.606	78798	0	1
2013.07.18	130.608	131.919	130.532	131.822	76679	0	1
2013.07.19	131.825	132.234	131.214	132.188	72999	0	1
2013.07.22	132.075	132.077	130.850	131.010	72748	0	1
2013.07.23	131.012	132.017	130.765	131.562	73609	0	1
2013.07.24	131.563	132.733	131.370	132.434	73339	0	1
2013.07.25	132.433	132.461	131.454	131.739	81499	0	1
2013.07.26	131.741	131.870	130.083	130.474	73426	0	1
2013.07.29	130.145	130.445	129.586	130.030	73119	0	1
2013.07.30	130.029	130.517	129.826	130.017	70658	0	1
2013.07.31	130.017	130.787	129.335	130.140	89019	0	1
2013.08.01	130.138	131.547	129.933	131.355	79801	0	1
2013.08.02	131.353	131.957	131.071	131.333	70805	0	1
2013.08.05	131.347	131.553	130.146	130.251	64333	0	1
2013.08.06	130.251	130.729	129.296	129.538	75221	0	1
2013.08.07	129.536	129.683	128.440	128.819	83518	0	1
2013.08.08	128.817	129.585	128.215	129.461	78336	0	1
2013.08.09	129.461	129.710	128.282	128.344	62955	0	1
2013.08.12	128.122	129.343	128.024	129.185	64403	0	1
2013.08.13	129.183	130.467	129.122	130.167	72384	0	1
2013.08.14	130.172	130.659	129.668	129.700	66557	0	1
2013.08.15	129.700	130.723	129.423	129.603	83220	0	1
2013.08.16	129.603	130.429	129.575	129.979	62747	0	1
2013.08.19	130.183	131.034	129.853	130.145	64154	0	1
2013.08.20	130.142	130.793	129.286	130.610	75206	0	1
2013.08.21	130.611	131.010	130.286	130.478	74226	0	1
2013.08.22	130.480	132.075	130.415	132.051	69457	0	1
2013.08.23	132.054	132.422	131.875	132.057	60540	0	1
2013.08.26	132.149	132.309	131.363	131.479	46735	0	1
2013.08.27	131.480	131.583	129.656	129.737	74043	0	1
2013.08.28	129.735	130.551	129.714	130.335	69559	0	1
2013.08.29	130.335	130.531	129.985	130.134	70702	0	1
2013.08.30	130.138	130.337	129.303	129.696	62514	0	1
2013.09.02	129.934	131.442	129.900	131.325	54926	0	1
2013.09.03	131.318	131.476	130.645	131.127	63506	0	1
2013.09.04	131.125	131.814	130.812	131.640	56775	0	1
2013.09.05	131.640	132.147	131.029	131.344	60889	0	1
2013.09.06	131.344	131.355	129.909	130.572	55924	0	1
2013.09.09	131.727	132.226	130.981	132.182	54012	0	1
2013.09.10	132.186	133.300	131.918	133.062	58671	0	1
2013.09.11	133.071	133.367	132.773	132.860	60807	0	1
2013.09.12	132.862	132.995	131.731	132.412	61585	0	1
2013.09.13	132.408	132.643	131.659	132.085	50743	0	1
2013.09.16	132.256	132.366	131.872	132.145	49357	0	1
2013.09.17	132.145	132.641	132.109	132.428	48557	0	1
