<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	130.585	130.982	130.435	130.939	14195	0	5
2013.06.03	04:00:00	130.947	130.954	130.323	130.588	17144	0	5
2013.06.03	08:00:00	130.583	130.768	130.322	130.455	18829	0	5
2013.06.03	12:00:00	130.454	130.524	129.517	129.894	24851	0	5
2013.06.03	16:00:00	129.898	130.105	129.651	130.031	15539	0	5
2013.06.03	20:00:00	130.031	130.462	129.957	130.360	8815	0	5
2013.06.04	00:00:00	130.359	130.473	129.928	130.187	14641	0	5
2013.06.04	04:00:00	130.184	131.398	130.150	131.029	18966	0	5
2013.06.04	08:00:00	131.029	131.315	130.741	131.058	18278	0	5
2013.06.04	12:00:00	131.051	131.295	130.748	130.948	22813	0	5
2013.06.04	16:00:00	130.943	131.011	130.640	130.852	13006	0	5
2013.06.04	20:00:00	130.851	131.151	130.689	131.071	7462	0	5
2013.06.05	00:00:00	131.071	131.401	130.825	130.900	17014	0	5
2013.06.05	04:00:00	130.908	130.988	130.116	130.427	23198	0	5
2013.06.05	08:00:00	130.427	130.622	129.763	129.992	18523	0	5
2013.06.05	12:00:00	129.993	130.308	129.597	129.778	25341	0	5
2013.06.05	16:00:00	129.778	130.035	129.614	129.763	14774	0	5
2013.06.05	20:00:00	129.765	129.907	129.630	129.773	7394	0	5
2013.06.06	00:00:00	129.771	130.054	129.420	129.810	16990	0	18
2013.06.06	04:00:00	129.809	130.297	129.704	130.171	19144	0	13
2013.06.06	08:00:00	130.170	130.340	129.771	129.877	18347	0	13
2013.06.06	12:00:00	129.876	130.716	129.716	129.778	25505	0	13
2013.06.06	16:00:00	129.777	130.053	127.484	128.765	24688	0	13
2013.06.06	20:00:00	128.768	129.028	128.417	128.847	12108	0	18
2013.06.07	00:00:00	128.847	129.073	127.576	127.949	21186	0	18
2013.06.07	04:00:00	127.949	128.763	126.749	128.364	25564	0	13
2013.06.07	08:00:00	128.364	128.456	126.559	126.701	24491	0	13
2013.06.07	12:00:00	126.707	129.091	126.155	128.715	28477	0	13
2013.06.07	16:00:00	128.715	129.174	128.216	128.816	18929	0	13
2013.06.07	20:00:00	128.821	129.048	128.576	128.896	5734	0	18
2013.06.10	00:00:00	129.776	129.975	129.206	129.343	17454	0	18
2013.06.10	04:00:00	129.343	129.942	129.338	129.723	16158	0	13
2013.06.10	08:00:00	129.726	130.598	129.533	130.551	20043	0	10
2013.06.10	12:00:00	130.549	130.930	130.164	130.787	24084	0	10
2013.06.10	16:00:00	130.787	131.102	130.562	130.889	19569	0	13
2013.06.10	20:00:00	130.890	131.295	130.700	131.041	9412	0	15
2013.06.11	00:00:00	131.041	131.130	130.022	130.343	16162	0	18
2013.06.11	04:00:00	130.345	130.666	129.922	130.486	21118	0	13
2013.06.11	08:00:00	130.487	130.489	128.159	128.764	25907	0	13
2013.06.11	12:00:00	128.760	128.952	128.271	128.552	26201	0	13
2013.06.11	16:00:00	128.555	128.834	127.103	127.937	21528	0	13
2013.06.11	20:00:00	127.930	128.108	127.429	127.968	11394	0	18
2013.06.12	00:00:00	127.967	128.547	127.873	128.386	14930	0	18
2013.06.12	04:00:00	128.386	128.866	128.113	128.619	15934	0	13
2013.06.12	08:00:00	128.620	129.337	127.960	128.397	21593	0	13
2013.06.12	12:00:00	128.396	128.487	127.481	127.598	23096	0	13
2013.06.12	16:00:00	127.599	128.098	127.032	127.527	22022	0	13
2013.06.12	20:00:00	127.529	128.144	127.345	127.961	11001	0	18
2013.06.13	00:00:00	127.962	127.965	126.244	126.638	20093	0	18
2013.06.13	04:00:00	126.638	126.753	125.511	125.817	20861	0	13
2013.06.13	08:00:00	125.794	125.999	125.364	125.780	22190	0	13
2013.06.13	12:00:00	125.777	126.011	124.965	125.300	24662	0	13
2013.06.13	16:00:00	125.298	126.739	125.296	126.585	19741	0	13
2013.06.13	20:00:00	126.587	127.945	126.579	127.679	14686	0	5
2013.06.14	00:00:00	127.673	127.673	126.223	126.699	20834	0	5
2013.06.14	04:00:00	126.704	127.268	126.293	126.734	19597	0	5
2013.06.14	08:00:00	126.730	126.869	126.236	126.436	16868	0	5
2013.06.14	12:00:00	126.436	127.007	125.605	125.752	24844	0	5
2013.06.14	16:00:00	125.757	126.095	125.182	125.907	15275	0	5
2013.06.14	20:00:00	125.904	125.939	125.480	125.503	1890	0	5
2013.06.17	00:00:00	125.974	126.347	125.813	126.302	13535	0	5
2013.06.17	04:00:00	126.305	126.839	126.076	126.789	14031	0	5
2013.06.17	08:00:00	126.788	126.847	126.320	126.393	13561	0	5
2013.06.17	12:00:00	126.400	126.734	126.353	126.546	18322	0	5
2013.06.17	16:00:00	126.549	126.922	126.130	126.373	13035	0	5
2013.06.17	20:00:00	126.370	126.586	126.203	126.367	10104	0	5
2013.06.18	00:00:00	126.369	126.854	126.319	126.682	14968	0	5
2013.06.18	04:00:00	126.682	127.188	126.403	127.162	13770	0	5
2013.06.18	08:00:00	127.165	127.717	127.139	127.447	17340	0	5
2013.06.18	12:00:00	127.459	128.072	127.459	127.631	21596	0	5
2013.06.18	16:00:00	127.635	127.788	127.421	127.669	9972	0	5
2013.06.18	20:00:00	127.670	128.114	127.592	128.023	8019	0	5
2013.06.19	00:00:00	128.023	128.025	127.433	127.576	13576	0	5
2013.06.19	04:00:00	127.576	127.769	127.064	127.255	14891	0	5
2013.06.19	08:00:00	127.255	127.528	127.058	127.433	15042	0	5
2013.06.19	12:00:00	127.434	127.667	127.171	127.640	15338	0	5
2013.06.19	16:00:00	127.638	128.763	127.483	128.226	19614	0	5
2013.06.19	20:00:00	128.224	128.523	127.660	128.277	13678	0	5
2013.06.20	00:00:00	128.277	128.803	127.821	128.784	19936	0	5
2013.06.20	04:00:00	128.782	129.776	128.299	129.719	22742	0	5
2013.06.20	08:00:00	129.716	129.907	128.902	129.295	24954	0	5
2013.06.20	12:00:00	129.294	129.753	128.825	129.733	26289	0	5
2013.06.20	16:00:00	129.733	129.814	128.210	128.750	18894	0	5
2013.06.20	20:00:00	128.748	128.923	128.214	128.329	11829	0	5
2013.06.21	00:00:00	128.326	128.882	128.213	128.798	16456	0	5
2013.06.21	04:00:00	128.794	129.696	128.614	129.565	19995	0	5
2013.06.21	08:00:00	129.558	129.597	128.632	128.994	18568	0	5
2013.06.21	12:00:00	128.994	129.006	127.789	127.833	25405	0	5
2013.06.21	16:00:00	127.829	128.627	127.829	128.299	15567	0	5
2013.06.21	20:00:00	128.303	128.480	128.226	128.415	2483	0	5
2013.06.24	00:00:00	128.948	129.204	128.599	129.014	17483	0	5
2013.06.24	04:00:00	129.011	129.152	128.665	128.904	17286	0	5
2013.06.24	08:00:00	128.907	129.058	128.188	128.672	20194	0	5
2013.06.24	12:00:00	128.671	128.740	127.286	127.902	25807	0	5
2013.06.24	16:00:00	127.902	128.406	127.746	128.160	15786	0	5
2013.06.24	20:00:00	128.160	128.344	127.963	128.222	8429	0	5
2013.06.25	00:00:00	128.221	128.668	127.586	127.612	17364	0	5
2013.06.25	04:00:00	127.614	128.344	127.607	128.028	19871	0	5
2013.06.25	08:00:00	128.032	128.071	127.293	127.919	18449	0	5
2013.06.25	12:00:00	127.920	128.083	127.721	128.018	23628	0	5
2013.06.25	16:00:00	128.025	128.111	127.826	128.052	9843	0	5
2013.06.25	20:00:00	128.059	128.449	127.895	128.350	8350	0	5
2013.06.26	00:00:00	128.350	128.421	127.690	127.830	16282	0	5
