<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	1.62890	1.63670	1.61233	1.61614	73717	0	11
2013.06.04	1.61614	1.63930	1.61524	1.63109	73524	0	11
2013.06.05	1.63114	1.65148	1.62401	1.64387	82229	0	11
2013.06.06	1.64390	1.66132	1.64055	1.65669	94106	0	48
2013.06.07	1.65688	1.68070	1.65316	1.67243	93683	0	48
2013.06.10	1.68421	1.68443	1.66909	1.67756	78005	0	48
2013.06.11	1.67759	1.71077	1.67733	1.68545	99201	0	48
2013.06.12	1.68551	1.69059	1.65358	1.67588	86301	0	48
2013.06.13	1.67591	1.69096	1.64735	1.65374	93841	0	11
2013.06.14	1.65374	1.66014	1.63889	1.65491	63851	0	11
2013.06.17	1.65778	1.67384	1.64558	1.67094	57010	0	11
2013.06.18	1.67106	1.68253	1.66693	1.67826	70632	0	11
2013.06.19	1.67826	1.69423	1.66232	1.68754	70725	0	11
2013.06.20	1.68754	1.71124	1.68333	1.70374	95294	0	11
2013.06.21	1.70384	1.70543	1.68824	1.69083	76904	0	11
2013.06.24	1.68810	1.70384	1.68264	1.68852	88312	0	11
2013.06.25	1.68864	1.70073	1.68474	1.69197	82065	0	11
2013.06.26	1.69198	1.69443	1.65803	1.67227	81054	0	11
2013.06.27	1.67228	1.67629	1.65986	1.67055	83855	0	48
2013.06.28	1.67056	1.68847	1.66889	1.67824	85248	0	48
2013.07.01	1.67895	1.68443	1.66749	1.66930	59854	0	11
2013.07.02	1.66930	1.68164	1.66911	1.67487	70344	0	11
2013.07.03	1.67494	1.68244	1.66786	1.67051	78204	0	11
2013.07.04	1.67040	1.67344	1.64296	1.64634	67473	0	11
2013.07.05	1.64644	1.66882	1.64090	1.66384	63017	0	11
2013.07.08	1.66379	1.66396	1.64513	1.65147	55424	0	11
2013.07.09	1.65147	1.65510	1.62329	1.63207	68580	0	11
2013.07.10	1.63204	1.65956	1.62262	1.65653	82978	0	11
2013.07.11	1.65645	1.67975	1.64385	1.66861	87561	0	11
2013.07.12	1.66861	1.68053	1.65834	1.67682	64022	0	11
2013.07.15	1.67383	1.68170	1.66770	1.67383	62324	0	11
2013.07.16	1.67383	1.67473	1.66076	1.66369	69775	0	11
2013.07.17	1.66370	1.67613	1.65585	1.65893	73769	0	11
2013.07.18	1.65893	1.66842	1.65666	1.65768	66548	0	1
2013.07.19	1.65770	1.66233	1.64263	1.65583	57379	0	1
2013.07.22	1.65781	1.66717	1.65173	1.65376	60420	0	2
2013.07.23	1.65383	1.65944	1.64759	1.65353	60421	0	1
2013.07.24	1.65353	1.66855	1.64977	1.65653	68490	0	1
2013.07.25	1.65653	1.65665	1.63943	1.64664	74654	0	1
2013.07.26	1.64664	1.64683	1.63782	1.63782	56268	0	1
2013.07.29	1.64476	1.65581	1.64083	1.65221	56950	0	2
2013.07.30	1.65223	1.66496	1.64998	1.65963	66225	0	1
2013.07.31	1.65963	1.67689	1.65743	1.67030	76057	0	1
2013.08.01	1.67030	1.68403	1.66013	1.67193	65230	0	1
2013.08.02	1.67193	1.69861	1.67052	1.69174	63208	0	1
2013.08.05	1.70903	1.71524	1.68604	1.69158	62235	0	1
2013.08.06	1.69158	1.69474	1.68000	1.68493	63934	0	1
2013.08.07	1.68489	1.68733	1.66642	1.67562	71671	0	1
2013.08.08	1.67572	1.67973	1.66420	1.67338	64669	0	1
2013.08.09	1.67338	1.67555	1.65531	1.65903	51918	0	1
2013.08.12	1.66202	1.66723	1.65164	1.66543	59700	0	2
2013.08.13	1.66542	1.66903	1.65998	1.66235	70091	0	1
2013.08.14	1.66241	1.66593	1.64648	1.64724	64348	0	1
2013.08.15	1.64729	1.65545	1.64004	1.65357	74838	0	1
2013.08.16	1.65357	1.65733	1.63917	1.64373	64848	0	1
2013.08.19	1.64173	1.65504	1.63245	1.65408	58399	0	1
2013.08.20	1.65413	1.68925	1.65245	1.68670	75488	0	1
2013.08.21	1.68678	1.70323	1.68434	1.70106	77027	0	1
2013.08.22	1.70097	1.70815	1.69594	1.70384	75074	0	1
2013.08.23	1.70384	1.71984	1.70076	1.70918	62947	0	1
2013.08.26	1.71610	1.71746	1.69892	1.70599	45408	0	3
2013.08.27	1.70593	1.72760	1.70564	1.72443	67821	0	1
2013.08.28	1.72463	1.72569	1.70423	1.70618	71102	0	1
2013.08.29	1.70616	1.70973	1.69674	1.70510	67079	0	1
2013.08.30	1.70507	1.71153	1.69613	1.70873	55512	0	1
2013.09.02	1.70083	1.70134	1.68263	1.68773	46136	0	1
2013.09.03	1.68773	1.69337	1.68007	1.68851	58971	0	1
2013.09.04	1.68848	1.68953	1.66258	1.67184	56537	0	3
2013.09.05	1.67184	1.68043	1.65992	1.66338	52342	0	3
2013.09.06	1.66343	1.66356	1.63843	1.64621	39757	0	1
2013.09.09	1.65078	1.65646	1.64517	1.65333	46010	0	1
2013.09.10	1.65336	1.65428	1.64206	1.64722	51198	0	1
2013.09.11	1.64724	1.65143	1.63344	1.63407	54327	0	1
2013.09.12	1.63407	1.64095	1.62918	1.63517	54858	0	1
2013.09.13	1.63518	1.63899	1.62423	1.63345	46964	0	1
2013.09.16	1.63043	1.63470	1.62448	1.63003	48980	0	5
2013.09.17	1.62992	1.63387	1.61883	1.62362	44664	0	3
2013.09.18	1.62364	1.62633	1.60939	1.61250	56394	0	1
2013.09.19	1.61250	1.61937	1.60707	1.61378	62244	0	3
2013.09.20	1.61376	1.61868	1.61076	1.61491	45637	0	6
2013.09.23	1.61836	1.62101	1.60920	1.61431	45604	0	1
2013.09.24	1.61439	1.63541	1.61421	1.63351	50022	0	1
2013.09.25	1.63345	1.64362	1.63111	1.63941	49185	0	1
2013.09.26	1.63941	1.64088	1.62481	1.62908	47747	0	1
2013.09.27	1.62912	1.64175	1.62200	1.63082	44483	0	2
2013.09.30	1.63216	1.63508	1.62387	1.62937	47356	0	1
2013.10.01	1.62942	1.64108	1.62776	1.63719	54328	0	2
2013.10.02	1.63719	1.65153	1.62783	1.63485	56707	0	1
2013.10.03	1.63485	1.64625	1.63001	1.64396	52464	0	1
2013.10.04	1.64395	1.64403	1.62577	1.62971	43565	0	1
2013.10.07	1.63200	1.64249	1.62854	1.63672	43444	0	1
2013.10.08	1.63671	1.64049	1.62858	1.63551	50509	0	1
2013.10.09	1.63541	1.63994	1.62320	1.62919	53797	0	1
2013.10.10	1.62921	1.64064	1.62713	1.63458	53124	0	1
2013.10.11	1.63458	1.63561	1.62286	1.62647	45733	0	1
2013.10.14	1.62882	1.63139	1.61861	1.62071	39496	0	3
2013.10.15	1.62071	1.62099	1.60687	1.60806	53824	0	4
2013.10.16	1.60795	1.61404	1.60171	1.60413	52565	0	5
2013.10.17	1.60398	1.61641	1.60273	1.61565	58107	0	2
2013.10.18	1.61574	1.61722	1.60639	1.60882	43202	0	2
2013.10.21	1.61082	1.61955	1.60843	1.61714	40451	0	1
2013.10.22	1.61715	1.62239	1.61191	1.61821	46228	0	3
2013.10.23	1.61821	1.64665	1.61743	1.63691	61267	0	1
2013.10.24	1.63691	1.65871	1.63255	1.65512	55743	0	1
2013.10.25	1.65512	1.66828	1.65506	1.66595	49717	0	1
2013.10.28	1.66451	1.66578	1.65716	1.66508	46950	0	1
2013.10.29	1.66514	1.67122	1.66127	1.66542	56665	0	2
2013.10.30	1.66550	1.67276	1.65872	1.66381	54008	0	1
2013.10.31	1.66386	1.66467	1.64127	1.64184	61024	0	1
2013.11.01	1.64175	1.64241	1.62991	1.63051	46310	0	1
2013.11.04	1.63119	1.63291	1.62467	1.63036	30236	0	2
2013.11.05	1.63036	1.63478	1.60801	1.61121	47751	0	4
2013.11.06	1.61119	1.61527	1.60516	1.61390	40476	0	2
2013.11.07	1.61389	1.61864	1.59130	1.61016	56428	0	1
2013.11.08	1.61011	1.62251	1.60395	1.61761	48492	0	1
2013.11.11	1.61421	1.62874	1.61151	1.62491	37163	0	6
2013.11.12	1.62491	1.64324	1.62341	1.63513	53844	0	1
