<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	1.58149	1.58582	1.56683	1.56956	60154	0	52
2013.06.04	1.56957	1.59039	1.56863	1.58588	62143	0	52
2013.06.05	1.58585	1.61841	1.58508	1.61739	68790	0	52
2013.06.06	1.61741	1.63389	1.61632	1.63389	81246	0	52
2013.06.07	1.63474	1.64746	1.62902	1.63717	79631	0	52
2013.06.10	1.64855	1.64990	1.64122	1.64626	62304	0	52
2013.06.11	1.64625	1.66716	1.64619	1.65333	83843	0	52
2013.06.12	1.65334	1.66031	1.63627	1.65379	73040	0	52
2013.06.13	1.65380	1.66307	1.62586	1.62992	79633	0	52
2013.06.14	1.62991	1.64144	1.62332	1.64002	68333	0	52
2013.06.17	1.64163	1.64900	1.62763	1.64609	54305	0	52
2013.06.18	1.64608	1.65769	1.64138	1.64754	62893	0	52
2013.06.19	1.64752	1.67079	1.63847	1.66808	70140	0	52
2013.06.20	1.66809	1.68743	1.66202	1.68548	96113	0	52
2013.06.21	1.68547	1.68701	1.66737	1.67033	75715	0	52
2013.06.24	1.66562	1.67788	1.66045	1.66749	81966	0	52
2013.06.25	1.66750	1.67759	1.66057	1.66372	77247	0	52
2013.06.26	1.66370	1.66837	1.64458	1.64965	70522	0	52
2013.06.27	1.64966	1.65031	1.63423	1.64329	63315	0	52
2013.06.28	1.64330	1.66568	1.64297	1.66425	68152	0	52
2013.07.01	1.66523	1.66644	1.64511	1.64522	60332	0	52
2013.07.02	1.64526	1.66149	1.64481	1.65662	65719	0	52
2013.07.03	1.65664	1.69125	1.64954	1.67943	70818	0	52
2013.07.04	1.67936	1.68125	1.64103	1.64468	67650	0	52
2013.07.05	1.64470	1.64898	1.62540	1.63942	62118	0	52
2013.07.08	1.64223	1.64524	1.63421	1.63562	52007	0	52
2013.07.09	1.63560	1.64255	1.61598	1.62079	65250	0	52
2013.07.10	1.62077	1.64033	1.61427	1.63448	78720	0	52
2013.07.11	1.63451	1.65760	1.62643	1.65456	85427	0	52
2013.07.12	1.65461	1.67677	1.65075	1.66830	43593	0	52
2013.07.15	1.66341	1.66763	1.65254	1.66051	61151	0	52
2013.07.16	1.66049	1.66097	1.63226	1.63781	64286	0	52
2013.07.17	1.63783	1.65384	1.63468	1.64764	65125	0	52
2013.07.18	1.64765	1.66151	1.64585	1.65788	65235	0	52
2013.07.19	1.65787	1.66361	1.65330	1.66325	63399	0	52
2013.07.22	1.65996	1.66754	1.65534	1.65984	60439	0	52
2013.07.23	1.65983	1.66237	1.65276	1.65458	65198	0	52
2013.07.24	1.65459	1.67718	1.64987	1.67366	75869	0	52
2013.07.25	1.67365	1.68135	1.65974	1.66464	73090	0	52
2013.07.26	1.66462	1.66554	1.65611	1.65896	59116	0	52
2013.07.29	1.65911	1.66988	1.65802	1.66836	60578	0	52
2013.07.30	1.66837	1.69400	1.66557	1.67892	66707	0	52
2013.07.31	1.67891	1.70322	1.67887	1.69911	76240	0	52
2013.08.01	1.69909	1.70327	1.68672	1.69008	70723	0	52
2013.08.02	1.69005	1.71919	1.68918	1.71603	67979	0	52
2013.08.05	1.71593	1.72663	1.71444	1.71993	60302	0	52
2013.08.06	1.71992	1.72363	1.70601	1.70802	64018	0	52
2013.08.07	1.70803	1.73376	1.70113	1.72150	72570	0	52
2013.08.08	1.72153	1.72535	1.70288	1.70726	67757	0	52
2013.08.09	1.70727	1.70959	1.68297	1.68340	54344	0	52
2013.08.12	1.68657	1.69442	1.67988	1.69314	53519	0	52
2013.08.13	1.69315	1.70466	1.69020	1.69799	62436	0	52
2013.08.14	1.69797	1.70290	1.69354	1.69889	59756	0	52
2013.08.15	1.69891	1.71442	1.69041	1.71185	74387	0	52
2013.08.16	1.71186	1.71351	1.69597	1.70045	58417	0	52
2013.08.19	1.69994	1.71926	1.69299	1.71379	60593	0	52
2013.08.20	1.71380	1.73308	1.71366	1.72744	65592	0	52
2013.08.21	1.72751	1.74544	1.72688	1.74053	71491	0	52
2013.08.22	1.74064	1.74785	1.72337	1.72810	65954	0	52
2013.08.23	1.72809	1.73794	1.72228	1.72233	59757	0	52
2013.08.26	1.72434	1.72851	1.71994	1.72670	45214	0	52
2013.08.27	1.72669	1.73970	1.72597	1.73124	63439	0	52
2013.08.28	1.73125	1.74503	1.72963	1.73566	69452	0	52
2013.08.29	1.73565	1.74051	1.72867	1.73723	60051	0	52
2013.08.30	1.73722	1.74175	1.73231	1.73973	56321	0	52
2013.09.02	1.73816	1.73816	1.72452	1.72764	57679	0	52
2013.09.03	1.72765	1.73267	1.71231	1.71749	66052	0	52
2013.09.04	1.71752	1.72126	1.69954	1.70463	61812	0	52
2013.09.05	1.70464	1.71439	1.69945	1.70715	62556	0	52
2013.09.06	1.70716	1.71037	1.69552	1.70026	51981	0	52
2013.09.09	1.69872	1.70605	1.69833	1.70080	49931	0	52
2013.09.10	1.70082	1.70088	1.68764	1.69012	56871	0	52
2013.09.11	1.69011	1.70098	1.68786	1.69638	58218	0	52
2013.09.12	1.69637	1.71357	1.69146	1.70583	60248	0	52
2013.09.13	1.70579	1.71802	1.70386	1.71628	52335	0	52
2013.09.16	1.70668	1.71144	1.69634	1.70487	52112	0	52
2013.09.17	1.70488	1.71127	1.69765	1.69976	50760	0	52
2013.09.18	1.69975	1.70909	1.69351	1.69764	62228	0	52
2013.09.19	1.69762	1.70050	1.68716	1.69811	63907	0	52
2013.09.20	1.69812	1.70523	1.69520	1.70290	50511	0	44
2013.09.23	1.70396	1.70681	1.69567	1.70233	53504	0	44
2013.09.24	1.70239	1.70600	1.69823	1.70420	54237	0	44
2013.09.25	1.70419	1.71794	1.70284	1.71651	55083	0	44
2013.09.26	1.71650	1.71866	1.70662	1.71219	52281	0	44
2013.09.27	1.71229	1.73290	1.71041	1.73130	53491	0	44
2013.09.30	1.73850	1.74092	1.72645	1.73748	60274	0	44
2013.10.01	1.73750	1.74174	1.72041	1.72258	65681	0	44
2013.10.02	1.72259	1.73859	1.71862	1.72885	59815	0	44
2013.10.03	1.72884	1.73226	1.71739	1.71819	59079	0	44
2013.10.04	1.71818	1.71853	1.69589	1.69589	54194	0	44
2013.10.07	1.69914	1.71080	1.69731	1.70720	50450	0	52
2013.10.08	1.70727	1.70786	1.69530	1.70397	59506	0	52
2013.10.09	1.70396	1.70733	1.68343	1.68805	63900	0	52
2013.10.10	1.68806	1.69523	1.68446	1.69041	60754	0	52
2013.10.11	1.69042	1.69067	1.68086	1.68346	51368	0	52
