<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	1.58149	1.58412	1.57925	1.58153	6747	0	92
2013.06.03	04:00:00	1.58152	1.58166	1.57886	1.58063	6778	0	52
2013.06.03	08:00:00	1.58062	1.58582	1.57907	1.57971	12021	0	52
2013.06.03	12:00:00	1.57981	1.58183	1.57181	1.57472	15010	0	52
2013.06.03	16:00:00	1.57472	1.57642	1.56683	1.57048	13514	0	52
2013.06.03	20:00:00	1.57057	1.57111	1.56693	1.56956	6084	0	92
2013.06.04	00:00:00	1.56957	1.57711	1.56863	1.57640	7641	0	92
2013.06.04	04:00:00	1.57638	1.58034	1.57289	1.57940	10773	0	52
2013.06.04	08:00:00	1.57939	1.58515	1.57927	1.58070	13001	0	52
2013.06.04	12:00:00	1.58065	1.58628	1.57932	1.58511	15145	0	52
2013.06.04	16:00:00	1.58510	1.59039	1.58510	1.58802	10458	0	52
2013.06.04	20:00:00	1.58800	1.58861	1.58524	1.58588	5125	0	92
2013.06.05	00:00:00	1.58585	1.59188	1.58508	1.58836	7880	0	92
2013.06.05	04:00:00	1.58835	1.60055	1.58724	1.59861	12455	0	52
2013.06.05	08:00:00	1.59862	1.60675	1.59809	1.60619	13558	0	52
2013.06.05	12:00:00	1.60617	1.61637	1.60049	1.61551	16826	0	52
2013.06.05	16:00:00	1.61547	1.61841	1.61327	1.61655	11716	0	52
2013.06.05	20:00:00	1.61656	1.61741	1.61327	1.61739	6355	0	92
2013.06.06	00:00:00	1.61741	1.62796	1.61632	1.62792	9857	0	92
2013.06.06	04:00:00	1.62791	1.63320	1.62626	1.62871	12054	0	52
2013.06.06	08:00:00	1.62868	1.62899	1.62360	1.62512	12205	0	52
2013.06.06	12:00:00	1.62518	1.63287	1.62292	1.62818	18490	0	52
2013.06.06	16:00:00	1.62817	1.63111	1.61902	1.62354	19957	0	52
2013.06.06	20:00:00	1.62353	1.63389	1.62113	1.63389	8683	0	92
2013.06.07	00:00:00	1.63474	1.64746	1.63008	1.63687	12607	0	92
2013.06.07	04:00:00	1.63683	1.64483	1.63683	1.63938	15281	0	52
2013.06.07	08:00:00	1.63939	1.64322	1.63405	1.63958	14061	0	52
2013.06.07	12:00:00	1.63950	1.64721	1.62902	1.63803	20995	0	52
2013.06.07	16:00:00	1.63804	1.64113	1.63449	1.63817	12527	0	52
2013.06.07	20:00:00	1.63818	1.63837	1.63439	1.63717	4160	0	92
2013.06.10	00:00:00	1.64855	1.64954	1.64365	1.64896	7860	0	92
2013.06.10	04:00:00	1.64895	1.64990	1.64471	1.64773	8257	0	52
2013.06.10	08:00:00	1.64770	1.64925	1.64333	1.64735	11652	0	52
2013.06.10	12:00:00	1.64735	1.64867	1.64310	1.64393	15425	0	52
2013.06.10	16:00:00	1.64397	1.64629	1.64122	1.64407	12949	0	52
2013.06.10	20:00:00	1.64409	1.64681	1.64321	1.64626	6161	0	92
2013.06.11	00:00:00	1.64625	1.65819	1.64619	1.65204	10049	0	92
