<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	1.57494	1.57768	1.57488	1.57720	4130	0	92
2013.06.03	04:00:00	1.57716	1.57817	1.57645	1.57773	4682	0	62
2013.06.03	08:00:00	1.57774	1.58320	1.57774	1.57834	9677	0	62
2013.06.03	12:00:00	1.57836	1.58246	1.57650	1.58211	13044	0	62
2013.06.03	16:00:00	1.58209	1.58421	1.57354	1.57445	11729	0	62
2013.06.03	20:00:00	1.57446	1.57549	1.57343	1.57497	5231	0	92
2013.06.04	00:00:00	1.57500	1.57716	1.57422	1.57685	4140	0	92
2013.06.04	04:00:00	1.57684	1.57810	1.57603	1.57755	6037	0	62
2013.06.04	08:00:00	1.57758	1.58089	1.57705	1.57736	9660	0	62
2013.06.04	12:00:00	1.57735	1.58230	1.57622	1.58172	13181	0	62
2013.06.04	16:00:00	1.58171	1.58443	1.58120	1.58321	8961	0	62
2013.06.04	20:00:00	1.58320	1.58402	1.58256	1.58303	4153	0	92
2013.06.05	00:00:00	1.58304	1.58524	1.58292	1.58342	4787	0	92
2013.06.05	04:00:00	1.58340	1.58578	1.58265	1.58355	7673	0	62
2013.06.05	08:00:00	1.58357	1.58962	1.58238	1.58951	10260	0	62
2013.06.05	12:00:00	1.58955	1.59693	1.58566	1.59499	14733	0	62
2013.06.05	16:00:00	1.59498	1.59622	1.59107	1.59354	10355	0	62
2013.06.05	20:00:00	1.59355	1.59406	1.59237	1.59341	4851	0	92
2013.06.06	00:00:00	1.59339	1.59526	1.59214	1.59521	5395	0	92
2013.06.06	04:00:00	1.59520	1.59649	1.59426	1.59514	7426	0	62
2013.06.06	08:00:00	1.59518	1.59711	1.59301	1.59486	8913	0	62
2013.06.06	12:00:00	1.59467	1.60311	1.59221	1.60136	15755	0	62
2013.06.06	16:00:00	1.60133	1.60213	1.59209	1.60139	16970	0	62
2013.06.06	20:00:00	1.60137	1.60202	1.59978	1.60201	6888	0	92
2013.06.07	00:00:00	1.60207	1.60543	1.60121	1.60202	7532	0	92
2013.06.07	04:00:00	1.60204	1.60336	1.59929	1.59999	9949	0	62
2013.06.07	08:00:00	1.60000	1.60139	1.59607	1.59672	11059	0	62
2013.06.07	12:00:00	1.59670	1.59715	1.57940	1.58530	19049	0	62
2013.06.07	16:00:00	1.58525	1.58941	1.58525	1.58868	9668	0	62
2013.06.07	20:00:00	1.58866	1.58898	1.58426	1.58519	3176	0	92
2013.06.10	00:00:00	1.58613	1.58697	1.58264	1.58482	5339	0	92
2013.06.10	04:00:00	1.58483	1.58515	1.58285	1.58355	5633	0	62
2013.06.10	08:00:00	1.58357	1.58495	1.58025	1.58495	9027	0	62
2013.06.10	12:00:00	1.58496	1.58590	1.57851	1.58136	13180	0	62
2013.06.10	16:00:00	1.58137	1.58825	1.58127	1.58785	10953	0	62
2013.06.10	20:00:00	1.58790	1.58814	1.58630	1.58732	4136	0	92
2013.06.11	00:00:00	1.58731	1.58859	1.58662	1.58766	5591	0	92
2013.06.11	04:00:00	1.58765	1.58849	1.58668	1.58824	7225	0	62
2013.06.11	08:00:00	1.58825	1.59315	1.58825	1.59114	12721	0	62
2013.06.11	12:00:00	1.59118	1.59415	1.58829	1.58880	16675	0	62
2013.06.11	16:00:00	1.58886	1.59389	1.58587	1.59376	12278	0	62
2013.06.11	20:00:00	1.59375	1.59475	1.59268	1.59301	5754	0	92
2013.06.12	00:00:00	1.59300	1.59599	1.59273	1.59597	3939	0	92
2013.06.12	04:00:00	1.59598	1.59769	1.59560	1.59719	5796	0	62
2013.06.12	08:00:00	1.59722	1.59902	1.59269	1.59454	10231	0	62
2013.06.12	12:00:00	1.59452	1.59794	1.58923	1.59706	13627	0	62
2013.06.12	16:00:00	1.59705	1.60130	1.59578	1.60066	11785	0	62
2013.06.12	20:00:00	1.60064	1.60139	1.59974	1.60026	5086	0	92
2013.06.13	00:00:00	1.60027	1.60325	1.59855	1.60151	6587	0	92
2013.06.13	04:00:00	1.60152	1.60392	1.59867	1.59875	7839	0	62
2013.06.13	08:00:00	1.59876	1.59971	1.58915	1.59109	10204	0	62
2013.06.13	12:00:00	1.59106	1.59537	1.59068	1.59392	14154	0	62
2013.06.13	16:00:00	1.59385	1.59941	1.59363	1.59794	9804	0	62
2013.06.13	20:00:00	1.59790	1.59801	1.59490	1.59571	7259	0	92
2013.06.14	00:00:00	1.59568	1.59852	1.59561	1.59702	4303	0	92
2013.06.14	04:00:00	1.59693	1.59972	1.59535	1.59614	6760	0	62
2013.06.14	08:00:00	1.59616	1.59683	1.58784	1.59008	10293	0	62
2013.06.14	12:00:00	1.59016	1.59568	1.58760	1.59416	14414	0	62
2013.06.14	16:00:00	1.59421	1.59719	1.59343	1.59681	9896	0	62
2013.06.14	20:00:00	1.59684	1.59809	1.59591	1.59654	2547	0	92
2013.06.17	00:00:00	1.59797	1.59924	1.59515	1.59598	3288	0	92
2013.06.17	04:00:00	1.59597	1.59603	1.59262	1.59355	4471	0	62
2013.06.17	08:00:00	1.59357	1.59758	1.59342	1.59495	7013	0	62
2013.06.17	12:00:00	1.59497	1.60138	1.59495	1.59761	9827	0	62
2013.06.17	16:00:00	1.59763	1.60079	1.59626	1.60013	7894	0	62
2013.06.17	20:00:00	1.60006	1.60173	1.59938	1.60100	5443	0	92
2013.06.18	00:00:00	1.60103	1.60155	1.59884	1.59893	4043	0	92
2013.06.18	04:00:00	1.59894	1.59932	1.59609	1.59625	4759	0	62
2013.06.18	08:00:00	1.59629	1.60069	1.59297	1.59353	10305	0	62
2013.06.18	12:00:00	1.59357	1.59572	1.58743	1.59364	12245	0	62
2013.06.18	16:00:00	1.59363	1.59783	1.59358	1.59614	7827	0	62
2013.06.18	20:00:00	1.59617	1.59755	1.59591	1.59708	3880	0	92
2013.06.19	00:00:00	1.59709	1.59969	1.59690	1.59769	3483	0	92
2013.06.19	04:00:00	1.59770	1.60029	1.59750	1.59902	5039	0	62
2013.06.19	08:00:00	1.59900	1.59931	1.59306	1.59642	8558	0	62
2013.06.19	12:00:00	1.59643	1.59801	1.59418	1.59527	9658	0	62
2013.06.19	16:00:00	1.59528	1.59719	1.58814	1.59252	12461	0	62
2013.06.19	20:00:00	1.59251	1.59256	1.58767	1.59067	9506	0	92
2013.06.20	00:00:00	1.59064	1.59114	1.58851	1.58897	7066	0	92
2013.06.20	04:00:00	1.58898	1.59266	1.58782	1.59148	8721	0	62
2013.06.20	08:00:00	1.59147	1.60426	1.59140	1.59830	16012	0	62
2013.06.20	12:00:00	1.59827	1.60360	1.59682	1.60159	16386	0	62
2013.06.20	16:00:00	1.60157	1.60833	1.60059	1.60823	12207	0	62
2013.06.20	20:00:00	1.60822	1.61083	1.60536	1.60914	7922	0	92
2013.06.21	00:00:00	1.60913	1.61040	1.60699	1.60888	6484	0	92
2013.06.21	04:00:00	1.60893	1.61051	1.60742	1.60825	7324	0	62
2013.06.21	08:00:00	1.60826	1.60921	1.60425	1.60551	9623	0	62
2013.06.21	12:00:00	1.60552	1.61849	1.60220	1.61101	16152	0	62
2013.06.21	16:00:00	1.61102	1.61520	1.60889	1.61289	12977	0	62
2013.06.21	20:00:00	1.61285	1.61385	1.61085	1.61114	3965	0	92
2013.06.24	00:00:00	1.61241	1.61468	1.61186	1.61367	4998	0	92
2013.06.24	04:00:00	1.61366	1.61700	1.61289	1.61552	6607	0	62
2013.06.24	08:00:00	1.61551	1.61863	1.61200	1.61344	11803	0	62
2013.06.24	12:00:00	1.61343	1.62680	1.61304	1.62065	17559	0	62
2013.06.24	16:00:00	1.62070	1.62436	1.61843	1.62006	11929	0	62
2013.06.24	20:00:00	1.62011	1.62175	1.61729	1.62151	6297	0	92
2013.06.25	00:00:00	1.62152	1.62304	1.62095	1.62268	4666	0	92
2013.06.25	04:00:00	1.62270	1.62418	1.62005	1.62155	8700	0	62
2013.06.25	08:00:00	1.62153	1.62238	1.61404	1.61793	12349	0	62
2013.06.25	12:00:00	1.61794	1.62562	1.61753	1.61871	16453	0	62
2013.06.25	16:00:00	1.61875	1.62260	1.61801	1.62183	9962	0	62
2013.06.25	20:00:00	1.62184	1.62232	1.61980	1.62055	4727	0	92
2013.06.26	00:00:00	1.62054	1.62187	1.61891	1.61989	5159	0	92
2013.06.26	04:00:00	1.61988	1.62047	1.61711	1.61808	6735	0	62
2013.06.26	08:00:00	1.61806	1.61903	1.60797	1.61091	12215	0	62
2013.06.26	12:00:00	1.61094	1.61205	1.60546	1.60579	14411	0	62
2013.06.26	16:00:00	1.60577	1.60693	1.60326	1.60531	9943	0	62
2013.06.26	20:00:00	1.60529	1.60591	1.60248	1.60397	5699	0	92
2013.06.27	00:00:00	1.60399	1.60417	1.59917	1.59925	4406	0	92
2013.06.27	04:00:00	1.59922	1.60090	1.59888	1.59900	6126	0	62
2013.06.27	08:00:00	1.59902	1.60037	1.59258	1.59878	10231	0	62
2013.06.27	12:00:00	1.59870	1.60009	1.59248	1.59474	14393	0	62
2013.06.27	16:00:00	1.59478	1.59932	1.59478	1.59909	8785	0	62
2013.06.27	20:00:00	1.59910	1.59923	1.59742	1.59832	4255	0	92
2013.06.28	00:00:00	1.59831	1.60047	1.59828	1.59906	4781	0	92
2013.06.28	04:00:00	1.59907	1.60013	1.59614	1.59639	6063	0	62
2013.06.28	08:00:00	1.59642	1.60055	1.59572	1.59625	9073	0	62
2013.06.28	12:00:00	1.59630	1.60145	1.59479	1.59938	16030	0	62
2013.06.28	16:00:00	1.59939	1.60164	1.59517	1.59735	11668	0	62
2013.06.28	20:00:00	1.59736	1.59991	1.59657	1.59847	3822	0	92
2013.07.01	00:00:00	1.59830	1.60069	1.59825	1.59900	5283	0	92
2013.07.01	04:00:00	1.59895	1.59994	1.59785	1.59851	5680	0	62
2013.07.01	08:00:00	1.59852	1.60327	1.59722	1.60109	10449	0	62
2013.07.01	12:00:00	1.60106	1.60337	1.59782	1.59871	10858	0	62
2013.07.01	16:00:00	1.59870	1.60105	1.59610	1.59657	6888	0	62
2013.07.01	20:00:00	1.59653	1.59738	1.59575	1.59678	4237	0	92
2013.07.02	00:00:00	1.59675	1.59942	1.59648	1.59903	3609	0	92
2013.07.02	04:00:00	1.59902	1.60084	1.59801	1.60011	6372	0	62
2013.07.02	08:00:00	1.60013	1.60177	1.59669	1.59865	9782	0	62
2013.07.02	12:00:00	1.59866	1.60405	1.59704	1.60008	14158	0	62
2013.07.02	16:00:00	1.60003	1.60063	1.59525	1.59695	9015	0	62
2013.07.02	20:00:00	1.59696	1.59872	1.59680	1.59806	4424	0	92
2013.07.03	00:00:00	1.59807	1.59844	1.59576	1.59665	4541	0	92
2013.07.03	04:00:00	1.59664	1.59912	1.59626	1.59703	5781	0	62
2013.07.03	08:00:00	1.59704	1.60802	1.59634	1.60727	12741	0	62
2013.07.03	12:00:00	1.60742	1.61135	1.60680	1.60698	13522	0	62
2013.07.03	16:00:00	1.60704	1.61022	1.60469	1.60644	8880	0	62
2013.07.03	20:00:00	1.60645	1.60645	1.60379	1.60388	4610	0	92
2013.07.04	00:00:00	1.60387	1.60470	1.60282	1.60384	4499	0	92
2013.07.04	04:00:00	1.60383	1.60476	1.60198	1.60449	6147	0	62
2013.07.04	08:00:00	1.60449	1.60646	1.60205	1.60509	9062	0	62
2013.07.04	12:00:00	1.60554	1.60691	1.57944	1.58363	16981	0	62
2013.07.04	16:00:00	1.58347	1.58646	1.58219	1.58432	9017	0	62
2013.07.04	20:00:00	1.58434	1.58664	1.58079	1.58212	4895	0	92
2013.07.05	00:00:00	1.58218	1.58477	1.58160	1.58401	5135	0	92
2013.07.05	04:00:00	1.58402	1.58538	1.58227	1.58329	5004	0	62
2013.07.05	08:00:00	1.58333	1.58536	1.57656	1.57930	11939	0	62
2013.07.05	12:00:00	1.57929	1.57962	1.56952	1.57569	18371	0	62
2013.07.05	16:00:00	1.57570	1.57920	1.57472	1.57600	7943	0	62
2013.07.05	20:00:00	1.57601	1.57641	1.57260	1.57432	3124	0	92
2013.07.08	00:00:00	1.57294	1.57373	1.57146	1.57287	4000	0	92
2013.07.08	04:00:00	1.57288	1.57483	1.57249	1.57397	5016	0	62
2013.07.08	08:00:00	1.57400	1.57465	1.57164	1.57433	7843	0	62
2013.07.08	12:00:00	1.57434	1.57791	1.57199	1.57709	10769	0	62
2013.07.08	16:00:00	1.57712	1.58103	1.57644	1.57776	7373	0	62
2013.07.08	20:00:00	1.57780	1.57970	1.57769	1.57838	4474	0	92
2013.07.09	00:00:00	1.57834	1.57854	1.57618	1.57630	4435	0	92
2013.07.09	04:00:00	1.57628	1.57870	1.57628	1.57704	6038	0	62
2013.07.09	08:00:00	1.57705	1.57830	1.56597	1.56760	12017	0	62
2013.07.09	12:00:00	1.56759	1.56920	1.56155	1.56179	12476	0	62
2013.07.09	16:00:00	1.56187	1.56587	1.56065	1.56500	8627	0	62
2013.07.09	20:00:00	1.56497	1.56625	1.56367	1.56449	4541	0	92
2013.07.10	00:00:00	1.56451	1.56525	1.56295	1.56497	3843	0	92
2013.07.10	04:00:00	1.56499	1.56689	1.56407	1.56505	6649	0	62
2013.07.10	08:00:00	1.56504	1.56751	1.56405	1.56567	9690	0	62
2013.07.10	12:00:00	1.56565	1.57079	1.56472	1.57075	11525	0	62
2013.07.10	16:00:00	1.57079	1.57111	1.56348	1.56727	12092	0	62
2013.07.10	20:00:00	1.56726	1.57915	1.56639	1.57567	14914	0	92
2013.07.11	00:00:00	1.57568	1.57599	1.56937	1.57220	11084	0	92
2013.07.11	04:00:00	1.57219	1.57493	1.56233	1.56424	13819	0	62
2013.07.11	08:00:00	1.56431	1.57285	1.56319	1.57192	12091	0	62
2013.07.11	12:00:00	1.57191	1.57614	1.57000	1.57215	15832	0	62
2013.07.11	16:00:00	1.57211	1.57614	1.56924	1.57569	7936	0	62
2013.07.11	20:00:00	1.57568	1.57895	1.57280	1.57414	5656	0	92
2013.07.12	00:00:00	1.57410	1.57509	1.57287	1.57303	3426	0	92
2013.07.12	04:00:00	1.57301	1.57362	1.56947	1.57031	2649	0	62
2013.07.12	08:00:00	1.57035	1.57063	1.56638	1.56814	6003	0	62
2013.07.12	12:00:00	1.56811	1.57246	1.56550	1.57051	11432	0	62
2013.07.12	16:00:00	1.57048	1.57185	1.56874	1.56918	6761	0	62
2013.07.12	20:00:00	1.56912	1.57090	1.56867	1.56944	1797	0	92
2013.07.15	00:00:00	1.56952	1.57056	1.56897	1.56973	5310	0	92
2013.07.15	04:00:00	1.56974	1.57041	1.56855	1.56963	5406	0	62
2013.07.15	08:00:00	1.56964	1.57083	1.56541	1.56900	9548	0	62
2013.07.15	12:00:00	1.56901	1.57244	1.56683	1.57198	13123	0	62
2013.07.15	16:00:00	1.57194	1.57346	1.57022	1.57328	7061	0	62
2013.07.15	20:00:00	1.57329	1.57530	1.57245	1.57521	4306	0	92
2013.07.16	00:00:00	1.57529	1.57690	1.57463	1.57664	4343	0	92
