<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	1.45520	1.46654	1.44591	1.45214	72805	0	10
2013.06.04	1.45214	1.45542	1.44645	1.45102	71512	0	10
2013.06.05	1.45101	1.45799	1.44704	1.45071	79115	0	10
2013.06.06	1.45072	1.45669	1.44574	1.45020	84766	0	39
2013.06.07	1.45024	1.45623	1.44032	1.45485	85513	0	39
2013.06.10	1.45518	1.46037	1.45205	1.45384	71153	0	39
2013.06.11	1.45382	1.45444	1.43878	1.44574	85414	0	39
2013.06.12	1.44571	1.45440	1.43934	1.44350	73894	0	39
2013.06.13	1.44349	1.45063	1.43091	1.45027	84297	0	10
2013.06.14	1.45027	1.45096	1.44260	1.44584	64482	0	10
2013.06.17	1.44972	1.45588	1.44820	1.44934	52570	0	10
2013.06.18	1.44936	1.45148	1.43392	1.43839	60392	0	10
2013.06.19	1.43835	1.44334	1.43507	1.43767	64545	0	10
2013.06.20	1.43771	1.44633	1.43213	1.43679	88623	0	10
2013.06.21	1.43689	1.44205	1.43384	1.43931	68761	0	10
2013.06.24	1.44133	1.44210	1.43348	1.44079	73533	0	10
2013.06.25	1.44079	1.45116	1.43884	1.44714	68900	0	10
2013.06.26	1.44714	1.44793	1.44247	1.44358	68845	0	10
2013.06.27	1.44357	1.44594	1.43901	1.44142	66466	0	39
2013.06.28	1.44144	1.44448	1.43373	1.43658	68282	0	39
2013.07.01	1.43800	1.44637	1.43468	1.43769	54007	0	10
2013.07.02	1.43770	1.44325	1.43728	1.44124	58966	0	10
2013.07.03	1.44113	1.45055	1.43769	1.44553	67727	0	10
2013.07.04	1.44558	1.44876	1.42814	1.44100	61181	0	10
2013.07.05	1.44100	1.44189	1.42999	1.43436	63275	0	10
2013.07.08	1.43541	1.44133	1.43501	1.44026	54012	0	10
2013.07.09	1.44026	1.44922	1.43590	1.44558	69400	0	10
2013.07.10	1.44554	1.44892	1.42765	1.43305	85921	0	10
2013.07.11	1.43306	1.43917	1.42702	1.43763	90705	0	10
2013.07.12	1.43764	1.43926	1.42750	1.42879	58652	0	1
2013.07.15	1.43034	1.43686	1.42864	1.43154	54908	0	1
2013.07.16	1.43156	1.43470	1.42077	1.42264	65584	0	1
2013.07.17	1.42264	1.43275	1.41942	1.43164	64988	0	1
2013.07.18	1.43163	1.43952	1.42944	1.43754	56613	0	1
2013.07.19	1.43754	1.43962	1.43374	1.43554	49038	0	1
2013.07.22	1.43601	1.44141	1.43409	1.43799	50153	0	1
2013.07.23	1.43799	1.44287	1.43585	1.43714	52803	0	1
2013.07.24	1.43715	1.44039	1.43482	1.43581	56800	0	1
2013.07.25	1.43582	1.44047	1.42880	1.43019	63072	0	2
2013.07.26	1.43014	1.43240	1.42629	1.42704	50529	0	1
2013.07.29	1.42856	1.43091	1.42635	1.42820	48258	0	1
2013.07.30	1.42826	1.42884	1.41544	1.41673	50092	0	1
2013.07.31	1.41671	1.41694	1.40456	1.40531	66335	0	1
2013.08.01	1.40529	1.41893	1.40445	1.41570	59599	0	1
2013.08.02	1.41574	1.42261	1.41574	1.42014	55925	0	1
2013.08.05	1.42038	1.43070	1.41911	1.42409	51097	0	1
2013.08.06	1.42409	1.42782	1.41909	1.41939	54004	0	1
2013.08.07	1.41939	1.43415	1.41140	1.42760	64685	0	1
2013.08.08	1.42756	1.43200	1.42505	1.42924	54709	0	1
2013.08.09	1.42924	1.43166	1.42744	1.42879	42985	0	1
2013.08.12	1.43061	1.43645	1.42994	1.43185	42991	0	1
2013.08.13	1.43180	1.44864	1.43139	1.44095	55156	0	1
2013.08.14	1.44092	1.45376	1.44044	1.44891	55925	0	1
2013.08.15	1.44891	1.45909	1.44601	1.44720	70732	0	1
2013.08.16	1.44724	1.45100	1.44191	1.44749	52865	0	1
2013.08.19	1.44866	1.45144	1.44504	1.44634	49679	0	1
2013.08.20	1.44635	1.44706	1.43501	1.43629	57105	0	1
2013.08.21	1.43631	1.44736	1.43524	1.44199	61358	0	1
2013.08.22	1.44195	1.44642	1.43827	1.44017	55534	0	1
2013.08.23	1.44025	1.44545	1.43284	1.43377	52778	0	1
2013.08.26	1.43487	1.43924	1.43462	1.43677	34676	0	1
2013.08.27	1.43679	1.43679	1.42499	1.42567	56231	0	1
2013.08.28	1.42567	1.43380	1.42003	1.43260	56242	0	1
