<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	1.45520	1.45656	1.45407	1.45557	6755	0	10
2013.06.03	04:00:00	1.45556	1.45882	1.45427	1.45882	11303	0	10
2013.06.03	08:00:00	1.45890	1.46283	1.45707	1.46134	14079	0	10
2013.06.03	12:00:00	1.46132	1.46654	1.44591	1.44915	22089	0	10
2013.06.03	16:00:00	1.44912	1.45207	1.44712	1.45090	12792	0	10
2013.06.03	20:00:00	1.45089	1.45261	1.45038	1.45214	5787	0	10
2013.06.04	00:00:00	1.45214	1.45389	1.45133	1.45337	7862	0	10
2013.06.04	04:00:00	1.45337	1.45542	1.45204	1.45238	12788	0	10
2013.06.04	08:00:00	1.45239	1.45377	1.44645	1.44896	14560	0	10
2013.06.04	12:00:00	1.44897	1.45445	1.44775	1.45136	20447	0	10
2013.06.04	16:00:00	1.45137	1.45198	1.44886	1.44966	10331	0	10
2013.06.04	20:00:00	1.44966	1.45139	1.44898	1.45102	5524	0	10
2013.06.05	00:00:00	1.45101	1.45260	1.45041	1.45144	8999	0	10
2013.06.05	04:00:00	1.45144	1.45300	1.44942	1.45265	14262	0	10
2013.06.05	08:00:00	1.45264	1.45799	1.45230	1.45393	15092	0	10
2013.06.05	12:00:00	1.45396	1.45556	1.44871	1.45017	22931	0	10
2013.06.05	16:00:00	1.45017	1.45238	1.44704	1.45118	12421	0	10
2013.06.05	20:00:00	1.45111	1.45179	1.45046	1.45071	5410	0	10
2013.06.06	00:00:00	1.45072	1.45182	1.44977	1.45109	7177	0	80
2013.06.06	04:00:00	1.45108	1.45387	1.44858	1.45306	11817	0	39
2013.06.06	08:00:00	1.45304	1.45528	1.45031	1.45464	14217	0	39
2013.06.06	12:00:00	1.45464	1.45669	1.44850	1.45103	21885	0	39
2013.06.06	16:00:00	1.45100	1.45471	1.44574	1.45077	20163	0	39
2013.06.06	20:00:00	1.45075	1.45089	1.44854	1.45020	9507	0	80
2013.06.07	00:00:00	1.45024	1.45078	1.44470	1.44643	10954	0	80
2013.06.07	04:00:00	1.44641	1.44855	1.44409	1.44756	15214	0	39
2013.06.07	08:00:00	1.44759	1.44876	1.44215	1.44317	18147	0	39
2013.06.07	12:00:00	1.44314	1.45399	1.44032	1.45258	24243	0	39
2013.06.07	16:00:00	1.45258	1.45587	1.45188	1.45433	13145	0	39
2013.06.07	20:00:00	1.45435	1.45623	1.45392	1.45485	3810	0	80
2013.06.10	00:00:00	1.45518	1.45624	1.45266	1.45394	7158	0	80
2013.06.10	04:00:00	1.45393	1.45635	1.45377	1.45589	9202	0	39
2013.06.10	08:00:00	1.45592	1.45872	1.45336	1.45625	14523	0	39
2013.06.10	12:00:00	1.45629	1.46037	1.45461	1.45792	19329	0	39
2013.06.10	16:00:00	1.45792	1.45859	1.45205	1.45328	14985	0	39
2013.06.10	20:00:00	1.45330	1.45438	1.45291	1.45384	5956	0	80
2013.06.11	00:00:00	1.45382	1.45444	1.45261	1.45283	7493	0	80
2013.06.11	04:00:00	1.45282	1.45430	1.45110	1.45318	12125	0	39
2013.06.11	08:00:00	1.45304	1.45361	1.44041	1.44272	19216	0	39
2013.06.11	12:00:00	1.44271	1.44758	1.43878	1.44620	22594	0	39
2013.06.11	16:00:00	1.44620	1.44739	1.44260	1.44565	16169	0	39
2013.06.11	20:00:00	1.44566	1.44733	1.44537	1.44574	7817	0	80
2013.06.12	00:00:00	1.44571	1.44761	1.44550	1.44663	5776	0	80
2013.06.12	04:00:00	1.44664	1.45147	1.44430	1.45079	9509	0	39
2013.06.12	08:00:00	1.45077	1.45440	1.44827	1.45273	15864	0	39
2013.06.12	12:00:00	1.45273	1.45323	1.44232	1.44325	19033	0	39
2013.06.12	16:00:00	1.44324	1.44639	1.43934	1.44499	16830	0	39
2013.06.12	20:00:00	1.44504	1.44514	1.44246	1.44350	6882	0	80
2013.06.13	00:00:00	1.44349	1.44370	1.43804	1.43889	9263	0	80
2013.06.13	04:00:00	1.43888	1.43996	1.43091	1.43381	11688	0	39
2013.06.13	08:00:00	1.43373	1.44442	1.43371	1.44318	16780	0	39
2013.06.13	12:00:00	1.44318	1.45005	1.44219	1.44804	21864	0	39
2013.06.13	16:00:00	1.44804	1.44983	1.44574	1.44643	16095	0	39
2013.06.13	20:00:00	1.44642	1.45063	1.44578	1.45027	8607	0	10
2013.06.14	00:00:00	1.45027	1.45039	1.44788	1.45024	6830	0	10
2013.06.14	04:00:00	1.45024	1.45096	1.44610	1.44865	10126	0	10
2013.06.14	08:00:00	1.44867	1.44867	1.44260	1.44629	13583	0	10
2013.06.14	12:00:00	1.44630	1.44892	1.44294	1.44660	21559	0	10
2013.06.14	16:00:00	1.44654	1.44874	1.44549	1.44697	10661	0	10
2013.06.14	20:00:00	1.44693	1.44749	1.44508	1.44584	1723	0	10
2013.06.17	00:00:00	1.44972	1.45113	1.44928	1.45071	5176	0	10
2013.06.17	04:00:00	1.45071	1.45176	1.44838	1.44838	7469	0	10
2013.06.17	08:00:00	1.44841	1.45232	1.44820	1.45127	10348	0	10
2013.06.17	12:00:00	1.45124	1.45588	1.45073	1.45390	15584	0	10
2013.06.17	16:00:00	1.45393	1.45467	1.44975	1.45082	9368	0	10
2013.06.17	20:00:00	1.45084	1.45099	1.44904	1.44934	4625	0	10
