<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	152.801	153.224	152.601	153.099	15107	0	11
2013.06.03	04:00:00	153.101	153.238	152.672	152.921	17673	0	11
2013.06.03	08:00:00	152.920	153.242	152.709	153.080	19397	0	11
2013.06.03	12:00:00	153.080	153.182	151.949	152.217	25791	0	11
2013.06.03	16:00:00	152.222	152.483	151.938	152.370	17896	0	11
2013.06.03	20:00:00	152.370	152.937	152.291	152.802	9710	0	11
2013.06.04	00:00:00	152.802	152.937	152.387	152.675	16102	0	11
2013.06.04	04:00:00	152.672	153.803	152.609	153.366	19603	0	11
2013.06.04	08:00:00	153.362	153.732	152.794	153.300	18217	0	11
2013.06.04	12:00:00	153.295	153.532	153.040	153.257	23682	0	11
2013.06.04	16:00:00	153.254	153.367	152.881	153.123	15125	0	11
2013.06.04	20:00:00	153.127	153.505	152.996	153.427	8128	0	11
2013.06.05	00:00:00	153.427	153.747	153.131	153.228	17433	0	11
2013.06.05	04:00:00	153.236	153.318	152.392	152.943	23531	0	11
2013.06.05	08:00:00	152.943	153.483	152.552	152.784	19222	0	11
2013.06.05	12:00:00	152.784	153.106	152.418	152.609	27021	0	11
2013.06.05	16:00:00	152.609	153.005	152.448	152.664	17136	0	11
2013.06.05	20:00:00	152.663	152.837	152.497	152.693	7560	0	11
2013.06.06	00:00:00	152.692	152.946	152.229	152.622	14638	0	80
2013.06.06	04:00:00	152.621	153.165	152.500	153.143	18431	0	39
2013.06.06	08:00:00	153.145	153.355	152.916	152.996	16250	0	39
2013.06.06	12:00:00	152.991	153.566	152.625	152.673	25103	0	39
2013.06.06	16:00:00	152.670	153.057	150.297	151.702	26406	0	39
2013.06.06	20:00:00	151.691	151.932	151.189	151.731	13545	0	80
2013.06.07	00:00:00	151.732	152.006	150.267	150.578	20208	0	80
2013.06.07	04:00:00	150.579	151.483	149.167	150.891	26723	0	39
2013.06.07	08:00:00	150.886	151.033	148.776	148.902	24812	0	39
2013.06.07	12:00:00	148.897	151.686	148.161	151.263	29727	0	39
2013.06.07	16:00:00	151.265	151.804	150.720	151.536	20590	0	39
2013.06.07	20:00:00	151.537	151.797	151.301	151.698	5481	0	80
2013.06.10	00:00:00	152.591	152.833	151.981	152.137	15904	0	80
2013.06.10	04:00:00	152.141	152.858	152.135	152.603	15826	0	37
2013.06.10	08:00:00	152.602	153.450	152.410	153.450	18275	0	34
2013.06.10	12:00:00	153.450	154.157	153.068	153.892	23620	0	39
2013.06.10	16:00:00	153.890	154.183	153.462	153.793	19840	0	39
2013.06.10	20:00:00	153.797	154.188	153.539	153.909	8499	0	72
2013.06.11	00:00:00	153.908	153.962	152.680	153.035	14859	0	76
2013.06.11	04:00:00	153.038	153.393	152.500	153.229	21947	0	39
2013.06.11	08:00:00	153.230	153.258	150.086	150.791	26204	0	39
2013.06.11	12:00:00	150.795	151.274	150.464	151.044	26702	0	39
2013.06.11	16:00:00	151.045	151.295	149.344	150.349	23847	0	39
2013.06.11	20:00:00	150.341	150.528	149.763	150.323	12217	0	80
2013.06.12	00:00:00	150.324	151.068	150.223	150.866	14366	0	80
2013.06.12	04:00:00	150.867	151.477	150.527	151.321	16536	0	39
2013.06.12	08:00:00	151.321	152.009	150.856	151.379	20871	0	39
2013.06.12	12:00:00	151.380	151.421	149.901	150.067	23037	0	39
2013.06.12	16:00:00	150.070	150.692	149.293	149.953	23831	0	39
2013.06.12	20:00:00	149.952	150.675	149.710	150.397	10618	0	80
2013.06.13	00:00:00	150.398	150.401	148.177	148.664	20034	0	80
2013.06.13	04:00:00	148.661	148.806	147.112	147.356	22797	0	39
2013.06.13	08:00:00	147.342	148.073	147.091	147.870	22095	0	39
2013.06.13	12:00:00	147.869	148.438	147.199	147.713	25697	0	39
2013.06.13	16:00:00	147.712	148.936	147.685	148.853	22385	0	39
2013.06.13	20:00:00	148.856	150.392	148.802	150.099	15302	0	11
2013.06.14	00:00:00	150.097	150.097	148.369	149.006	21693	0	11
2013.06.14	04:00:00	149.009	149.701	148.493	148.878	20636	0	11
2013.06.14	08:00:00	148.874	149.041	148.249	148.448	19450	0	11
2013.06.14	12:00:00	148.448	149.346	147.717	147.974	27296	0	11
2013.06.14	16:00:00	147.977	148.405	147.409	148.164	17883	0	11
2013.06.14	20:00:00	148.163	148.205	147.638	147.651	2136	0	11
2013.06.17	00:00:00	148.389	148.905	148.201	148.862	14094	0	11
2013.06.17	04:00:00	148.863	149.407	148.526	149.272	14344	0	11
2013.06.17	08:00:00	149.270	149.370	148.786	148.967	15262	0	11
2013.06.17	12:00:00	148.976	149.445	148.890	149.009	20864	0	11
2013.06.17	16:00:00	149.012	149.418	148.349	148.623	15294	0	11
2013.06.17	20:00:00	148.623	148.889	148.407	148.622	9677	0	11
2013.06.18	00:00:00	148.622	149.221	148.570	148.976	14740	0	11
2013.06.18	04:00:00	148.973	149.250	148.570	149.250	13958	0	11
2013.06.18	08:00:00	149.251	149.584	148.608	148.951	19371	0	11
2013.06.18	12:00:00	148.955	149.307	148.613	148.733	23638	0	11
2013.06.18	16:00:00	148.734	149.133	148.727	149.102	12706	0	11
2013.06.18	20:00:00	149.103	149.508	149.024	149.403	9070	0	11
2013.06.19	00:00:00	149.407	149.407	148.710	148.966	13916	0	11
2013.06.19	04:00:00	148.965	149.167	148.473	148.746	16230	0	11
2013.06.19	08:00:00	148.746	148.921	148.266	148.833	16499	0	11
2013.06.19	12:00:00	148.837	149.117	148.726	149.082	17490	0	11
2013.06.19	16:00:00	149.080	150.306	148.904	149.567	20687	0	11
2013.06.19	20:00:00	149.567	149.709	148.582	149.433	15121	0	11
2013.06.20	00:00:00	149.432	149.992	148.868	149.960	20089	0	11
2013.06.20	04:00:00	149.960	151.575	149.441	151.508	22822	0	11
2013.06.20	08:00:00	151.508	151.860	150.942	151.282	25825	0	11
2013.06.20	12:00:00	151.283	151.877	150.920	151.855	28002	0	11
2013.06.20	16:00:00	151.854	151.923	150.322	150.872	20736	0	11
2013.06.20	20:00:00	150.872	151.177	150.310	150.493	12874	0	11
2013.06.21	00:00:00	150.487	151.052	150.324	150.922	16925	0	11
2013.06.21	04:00:00	150.917	151.922	150.671	151.723	20630	0	11
2013.06.21	08:00:00	151.727	151.752	150.650	150.937	20589	0	11
2013.06.21	12:00:00	150.942	151.002	149.749	149.863	26882	0	11
2013.06.21	16:00:00	149.862	151.021	149.857	150.771	17707	0	11
2013.06.21	20:00:00	150.777	150.953	150.670	150.869	2160	0	11
2013.06.24	00:00:00	151.381	151.737	151.034	151.500	18133	0	11
2013.06.24	04:00:00	151.495	151.593	150.854	151.162	18074	0	11
2013.06.24	08:00:00	151.160	151.240	150.119	150.981	21933	0	11
2013.06.24	12:00:00	150.981	151.060	149.712	150.488	27702	0	11
2013.06.24	16:00:00	150.492	151.093	150.308	150.785	18457	0	11
2013.06.24	20:00:00	150.784	150.969	150.547	150.849	8505	0	11
2013.06.25	00:00:00	150.851	151.455	150.129	150.189	17602	0	11
2013.06.25	04:00:00	150.191	150.846	150.183	150.435	20618	0	11
2013.06.25	08:00:00	150.438	150.710	149.668	150.526	21142	0	11
2013.06.25	12:00:00	150.526	151.048	150.372	150.892	24757	0	11
2013.06.25	16:00:00	150.893	150.962	150.562	150.875	11126	0	11
2013.06.25	20:00:00	150.875	151.384	150.773	151.251	8685	0	11
2013.06.26	00:00:00	151.249	151.330	150.563	150.857	17032	0	11
2013.06.26	04:00:00	150.863	150.985	150.055	150.305	18573	0	11
2013.06.26	08:00:00	150.308	150.389	149.705	150.271	19266	0	11
2013.06.26	12:00:00	150.267	150.322	149.253	149.359	23279	0	11
2013.06.26	16:00:00	149.359	149.959	149.248	149.827	13256	0	11
2013.06.26	20:00:00	149.823	149.895	149.549	149.801	7271	0	11
2013.06.27	00:00:00	149.800	149.980	149.486	149.798	10890	0	80
2013.06.27	04:00:00	149.799	150.379	149.797	150.228	13659	0	39
2013.06.27	08:00:00	150.229	150.571	149.673	149.987	17236	0	39
2013.06.27	12:00:00	149.988	150.143	149.365	149.776	21042	0	39
2013.06.27	16:00:00	149.775	150.116	149.557	150.112	14747	0	39
2013.06.27	20:00:00	150.114	150.276	149.918	150.228	7460	0	80
2013.06.28	00:00:00	150.229	151.075	150.163	150.912	13642	0	80
2013.06.28	04:00:00	150.911	151.138	150.590	150.718	16043	0	39
2013.06.28	08:00:00	150.720	151.124	150.632	150.842	17103	0	39
2013.06.28	12:00:00	150.841	151.061	150.497	150.631	22807	0	39
2013.06.28	16:00:00	150.634	151.001	150.622	150.835	15683	0	39
2013.06.28	20:00:00	150.832	150.954	150.667	150.741	4724	0	80
2013.07.01	00:00:00	151.245	151.268	150.823	151.067	13111	0	11
2013.07.01	04:00:00	151.063	151.663	151.047	151.471	14488	0	11
2013.07.01	08:00:00	151.470	151.838	151.164	151.718	15372	0	11
2013.07.01	12:00:00	151.715	152.064	151.654	151.880	18822	0	11
2013.07.01	16:00:00	151.879	151.972	151.462	151.544	9516	0	11
2013.07.01	20:00:00	151.544	151.699	151.480	151.587	5481	0	11
2013.07.02	00:00:00	151.583	151.622	151.326	151.474	11131	0	11
2013.07.02	04:00:00	151.473	152.136	151.471	151.752	14314	0	11
2013.07.02	08:00:00	151.750	151.863	151.249	151.499	15768	0	11
2013.07.02	12:00:00	151.505	152.387	151.426	152.352	21876	0	11
2013.07.02	16:00:00	152.351	152.728	152.088	152.504	13686	0	11
2013.07.02	20:00:00	152.507	152.772	152.381	152.644	6713	0	11
2013.07.03	00:00:00	152.643	152.644	152.192	152.563	14380	0	11
2013.07.03	04:00:00	152.565	152.755	151.753	151.778	16596	0	11
2013.07.03	08:00:00	151.781	152.353	151.235	151.833	21952	0	11
2013.07.03	12:00:00	151.832	152.543	151.627	152.364	22350	0	11
2013.07.03	16:00:00	152.365	153.016	152.359	152.528	10517	0	11
2013.07.03	20:00:00	152.537	152.867	152.432	152.508	7809	0	11
2013.07.04	00:00:00	152.522	152.682	152.189	152.340	12686	0	11
2013.07.04	04:00:00	152.342	152.468	151.732	152.058	13277	0	11
2013.07.04	08:00:00	152.059	152.205	150.288	150.757	15823	0	11
2013.07.04	12:00:00	150.757	150.973	150.352	150.800	20362	0	11
2013.07.04	16:00:00	150.803	150.947	150.549	150.662	6038	0	11
2013.07.04	20:00:00	150.663	151.097	150.617	150.755	8548	0	11
2013.07.05	00:00:00	150.757	151.113	150.702	150.813	11863	0	11
2013.07.05	04:00:00	150.816	151.023	150.350	150.461	13578	0	11
2013.07.05	08:00:00	150.458	150.530	149.581	149.843	18123	0	11
2013.07.05	12:00:00	149.847	150.614	149.484	150.485	26240	0	11
2013.07.05	16:00:00	150.485	150.813	150.405	150.802	9814	0	11
2013.07.05	20:00:00	150.802	150.872	150.554	150.575	2147	0	11
2013.07.08	00:00:00	150.796	150.912	150.423	150.575	12171	0	11
2013.07.08	04:00:00	150.582	150.729	150.197	150.578	14672	0	11
2013.07.08	08:00:00	150.576	151.053	150.513	150.834	15621	0	11
2013.07.08	12:00:00	150.834	151.031	150.709	150.908	18655	0	11
2013.07.08	16:00:00	150.907	151.122	150.690	151.122	9879	0	11
2013.07.08	20:00:00	151.125	151.131	150.667	150.736	7288	0	11
2013.07.09	00:00:00	150.733	151.156	150.642	150.968	14349	0	11
2013.07.09	04:00:00	150.968	151.572	150.929	151.272	15768	0	11
2013.07.09	08:00:00	151.271	151.603	150.188	150.348	18590	0	11
2013.07.09	12:00:00	150.348	150.504	149.778	149.968	20190	0	11
2013.07.09	16:00:00	149.968	150.322	149.807	150.248	10671	0	11
2013.07.09	20:00:00	150.241	150.447	150.196	150.211	6475	0	11
2013.07.10	00:00:00	150.211	150.351	150.063	150.165	11857	0	11
2013.07.10	04:00:00	150.165	150.207	149.428	149.667	18739	0	11
2013.07.10	08:00:00	149.667	149.669	148.772	149.418	17856	0	11
2013.07.10	12:00:00	149.421	149.818	149.201	149.484	20127	0	11
2013.07.10	16:00:00	149.483	150.244	149.105	149.477	17260	0	11
2013.07.10	20:00:00	149.482	150.167	149.127	149.833	21481	0	11
2013.07.11	00:00:00	149.819	150.473	148.940	149.537	22825	0	11
2013.07.11	04:00:00	149.543	149.780	149.048	149.638	23705	0	11
2013.07.11	08:00:00	149.637	150.331	149.532	150.261	18902	0	11
2013.07.11	12:00:00	150.262	150.282	149.073	149.437	23760	0	11
2013.07.11	16:00:00	149.437	150.624	149.328	150.277	15860	0	11
2013.07.11	20:00:00	150.273	150.443	149.910	149.929	8717	0	11
2013.07.12	00:00:00	149.933	150.664	149.768	150.279	13228	0	11
2013.07.12	04:00:00	150.288	150.432	149.846	149.972	13088	0	11
2013.07.12	08:00:00	149.970	150.317	149.840	150.217	14320	0	11
2013.07.12	12:00:00	150.208	150.479	149.419	150.148	21327	0	11
2013.07.12	16:00:00	150.149	150.215	149.998	150.050	9579	0	11
2013.07.12	20:00:00	150.047	150.114	149.759	149.759	2076	0	11
2013.07.15	00:00:00	149.879	150.138	149.684	150.057	6760	0	11
2013.07.15	04:00:00	150.049	150.396	149.860	150.091	8549	0	11
