<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	1.90834	1.91777	1.88953	1.89162	96766	103186750000	24
2013.06.04	1.89168	1.91844	1.89019	1.90872	89270	95052320000	19
2013.06.05	1.90866	1.94264	1.90158	1.93553	106447	113551360000	32
2013.06.06	1.93551	1.95360	1.93448	1.95299	143768	145578637000	34
2013.06.07	1.95305	1.97630	1.94497	1.97144	140415	147974170000	35
2013.06.10	1.98140	1.98253	1.96353	1.97159	96662	101880730000	12
2013.06.11	1.97153	2.00309	1.97132	1.98111	129718	135841590000	36
2013.06.12	1.98119	1.98753	1.95024	1.97108	94130	99409150000	27
2013.06.13	1.97109	1.98620	1.93666	1.94012	101075	104864330000	36
2013.06.14	1.94018	1.95238	1.92645	1.94950	77598	82026730000	34
2013.06.17	1.95159	1.96894	1.93745	1.96574	58221	61760250000	34
2013.06.18	1.96568	1.97088	1.94498	1.95579	74553	78788941000	37
2013.06.19	1.95574	1.97270	1.94057	1.96875	93992	95180580000	32
2013.06.20	1.96870	2.00528	1.95916	1.99758	135074	142691950000	45
2013.06.21	1.99751	1.99917	1.98276	1.98553	97316	102766990000	36
2013.07.01	1.96555	1.96833	1.94324	1.94341	86916	92901645000	32
2013.07.02	1.94345	1.95815	1.94309	1.95399	80990	86179729000	28
2013.07.03	1.95393	1.97517	1.94823	1.96438	106600	113688919000	29
2013.07.04	1.96438	1.96510	1.91639	1.92333	103537	109708215000	25
2013.07.05	1.92333	1.93734	1.90305	1.92812	102763	110384197000	41
2013.07.08	1.92796	1.93056	1.90922	1.91510	73358	80216580000	42
2013.07.09	1.91483	1.92230	1.88591	1.89623	96532	104512617000	35
2013.07.10	1.89623	1.91742	1.88639	1.90898	118221	126110594000	48
2013.07.11	1.90906	1.94767	1.90049	1.93383	146658	156118692000	40
2013.07.12	1.93378	1.94672	1.92441	1.93410	87560	93651917000	38
2013.07.15	1.93528	1.94555	1.92638	1.93648	80907	86685929000	45
2013.07.16	1.93652	1.93656	1.91041	1.91986	97399	105315360000	35
2013.07.17	1.91991	1.93869	1.91400	1.92469	113988	121350849000	30
2013.07.18	1.92469	1.93200	1.92243	1.92644	90255	97528937000	30
2013.07.19	1.92639	1.92723	1.91065	1.92358	74381	80253664000	39
2013.07.22	1.92846	1.93867	1.92226	1.92608	75477	80635140000	31
2013.07.23	1.92615	1.92929	1.91864	1.92240	59284	63468786000	19
2013.07.24	1.92752	1.93836	1.91665	1.92035	59989	62609596000	30
2013.07.25	1.92035	1.92321	1.89719	1.90800	72570	75992344000	30
2013.07.26	1.90794	1.91121	1.89331	1.90050	52791	55540663000	28
2013.07.29	1.90259	1.91524	1.90055	1.91130	53154	56169041000	28
2013.07.30	1.91123	1.92139	1.90198	1.90484	73666	78334947000	38
