<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	1.90834	1.91466	1.90608	1.91237	11491	12192500000	32
2013.06.03	04:00:00	1.91236	1.91255	1.90817	1.91096	10964	11619680000	33
2013.06.03	08:00:00	1.91096	1.91777	1.90689	1.90734	18246	19669170000	25
2013.06.03	12:00:00	1.90741	1.91210	1.89580	1.89615	24940	27054850000	24
2013.06.03	16:00:00	1.89609	1.90096	1.88953	1.89578	21906	23379800000	39
2013.06.03	20:00:00	1.89579	1.89655	1.88960	1.89162	9219	9270750000	49
2013.06.04	00:00:00	1.89168	1.90498	1.89019	1.90276	9897	10687800000	19
2013.06.04	04:00:00	1.90270	1.90859	1.89921	1.90531	14432	15462400000	28
2013.06.04	08:00:00	1.90536	1.91062	1.90267	1.90353	19559	20755350000	36
2013.06.04	12:00:00	1.90353	1.91396	1.90155	1.91353	23585	25361790000	43
2013.06.04	16:00:00	1.91353	1.91844	1.91254	1.91316	14226	15366880000	42
2013.06.04	20:00:00	1.91286	1.91424	1.90736	1.90872	7571	7418100000	44
2013.06.05	00:00:00	1.90866	1.91103	1.90273	1.90412	13316	14197900000	39
2013.06.05	04:00:00	1.90418	1.91635	1.90158	1.91467	18267	19503100000	40
2013.06.05	08:00:00	1.91473	1.92577	1.91334	1.92063	19415	20828380000	40
2013.06.05	12:00:00	1.92070	1.93742	1.91485	1.93463	30315	32885680000	34
2013.06.05	16:00:00	1.93463	1.94264	1.93378	1.94098	16514	17793900000	44
2013.06.05	20:00:00	1.94093	1.94113	1.92766	1.93553	8620	8342400000	32
2013.06.06	00:00:00	1.93551	1.94201	1.93448	1.94181	11518	12186989000	41
2013.06.06	04:00:00	1.94187	1.94944	1.94183	1.94243	15463	16482478000	41
2013.06.06	08:00:00	1.94236	1.94594	1.93716	1.93860	17241	18403310000	34
2013.06.06	12:00:00	1.93860	1.95328	1.93843	1.94725	29132	30734480000	40
2013.06.06	16:00:00	1.94725	1.95000	1.93479	1.94274	55178	53865880000	44
2013.06.06	20:00:00	1.94272	1.95360	1.93849	1.95299	15236	13905500000	58
2013.06.07	00:00:00	1.95305	1.96224	1.94888	1.95421	21117	22108290000	40
2013.06.07	04:00:00	1.95431	1.96002	1.95274	1.95409	20823	22009490000	35
2013.06.07	08:00:00	1.95414	1.96134	1.94849	1.95783	25320	27049060000	37
2013.06.07	12:00:00	1.95783	1.97301	1.94497	1.96546	49837	52411130000	52
2013.06.07	16:00:00	1.96549	1.97630	1.96526	1.97341	18577	19809000000	51
2013.06.07	20:00:00	1.97338	1.97387	1.96835	1.97144	4741	4587200000	66
2013.06.10	00:00:00	1.98140	1.98253	1.97439	1.98097	10265	10922080000	38
2013.06.10	04:00:00	1.98087	1.98135	1.97483	1.97686	11669	12392620000	12
2013.06.10	08:00:00	1.97686	1.97781	1.96718	1.97095	18739	19888370000	35
2013.06.10	12:00:00	1.97100	1.97507	1.96513	1.96575	28809	30780770000	44
2013.06.10	16:00:00	1.96571	1.97315	1.96353	1.97036	20161	21309090000	44
2013.06.10	20:00:00	1.97028	1.97313	1.96839	1.97159	7019	6587800000	45
2013.06.11	00:00:00	1.97153	1.98053	1.97132	1.97502	14975	15837380000	36
2013.06.11	04:00:00	1.97507	1.98022	1.97222	1.98009	15401	16244900000	44
2013.06.11	08:00:00	1.98014	2.00203	1.98014	2.00060	29528	31065310000	39
2013.06.11	12:00:00	2.00069	2.00309	1.98499	1.98569	35257	37398500000	38
2013.06.11	16:00:00	1.98569	1.98862	1.97662	1.98419	22240	23337600000	36
2013.06.11	20:00:00	1.98424	1.98864	1.97817	1.98111	12317	11957900000	40
2013.06.12	00:00:00	1.98119	1.98256	1.97488	1.98159	10620	11319900000	40
2013.06.12	04:00:00	1.98164	1.98753	1.97845	1.98297	12063	13039270000	41
2013.06.12	08:00:00	1.98297	1.98394	1.95955	1.96310	22122	23837490000	27
2013.06.12	12:00:00	1.96302	1.97432	1.95024	1.96841	23226	24884250000	44
2013.06.12	16:00:00	1.96833	1.97016	1.95968	1.96508	16373	17043870000	44
2013.06.12	20:00:00	1.96508	1.97480	1.96018	1.97108	9726	9284370000	51
2013.06.13	00:00:00	1.97109	1.98620	1.96747	1.97937	15682	16237230000	36
