<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	1.52064	1.52226	1.51955	1.52158	5748	0	5
2013.06.03	04:00:00	1.52165	1.52625	1.52120	1.52590	8699	0	5
2013.06.03	08:00:00	1.52589	1.52882	1.52459	1.52535	11956	0	5
2013.06.03	12:00:00	1.52536	1.53748	1.52363	1.53474	19230	0	5
2013.06.03	16:00:00	1.53475	1.53523	1.53137	1.53170	10744	0	5
2013.06.03	20:00:00	1.53170	1.53236	1.53129	1.53210	5161	0	5
2013.06.04	00:00:00	1.53210	1.53425	1.53114	1.53132	6347	0	5
2013.06.04	04:00:00	1.53130	1.53263	1.52891	1.52932	10353	0	5
2013.06.04	08:00:00	1.52931	1.53219	1.52823	1.53025	12869	0	5
2013.06.04	12:00:00	1.53024	1.53176	1.52732	1.53020	17530	0	5
2013.06.04	16:00:00	1.53020	1.53144	1.52855	1.53079	8360	0	5
2013.06.04	20:00:00	1.53078	1.53185	1.53010	1.53012	5226	0	5
2013.06.05	00:00:00	1.53012	1.53281	1.52917	1.53224	7397	0	5
2013.06.05	04:00:00	1.53228	1.53429	1.53052	1.53360	12167	0	5
2013.06.05	08:00:00	1.53360	1.53715	1.53308	1.53587	13323	0	5
2013.06.05	12:00:00	1.53586	1.54030	1.53344	1.53909	20327	0	5
2013.06.05	16:00:00	1.53908	1.54084	1.53898	1.54010	9886	0	5
2013.06.05	20:00:00	1.54009	1.54080	1.54004	1.54062	5127	0	5
2013.06.06	00:00:00	1.54066	1.54130	1.53811	1.53926	5601	0	13
2013.06.06	04:00:00	1.53927	1.54438	1.53909	1.54400	8614	0	8
2013.06.06	08:00:00	1.54403	1.54604	1.54281	1.54483	10192	0	8
2013.06.06	12:00:00	1.54482	1.55265	1.54347	1.55227	17076	0	8
2013.06.06	16:00:00	1.55224	1.56833	1.55095	1.56069	16716	0	8
2013.06.06	20:00:00	1.56065	1.56085	1.55802	1.55947	6661	0	13
2013.06.07	00:00:00	1.55943	1.56171	1.55864	1.56003	8541	0	13
2013.06.07	04:00:00	1.56001	1.56170	1.55820	1.55835	10427	0	8
2013.06.07	08:00:00	1.55835	1.55947	1.55561	1.55769	12829	0	8
2013.06.07	12:00:00	1.55762	1.56033	1.54881	1.55371	19319	0	8
2013.06.07	16:00:00	1.55371	1.55582	1.55240	1.55573	9850	0	8
2013.06.07	20:00:00	1.55574	1.55638	1.55449	1.55552	3029	0	13
2013.06.10	00:00:00	1.55292	1.55622	1.55239	1.55342	5608	0	13
2013.06.10	04:00:00	1.55343	1.55391	1.55147	1.55150	6697	0	8
2013.06.10	08:00:00	1.55149	1.55396	1.54969	1.55396	10396	0	8
2013.06.10	12:00:00	1.55396	1.55512	1.54947	1.55261	13933	0	8
2013.06.10	16:00:00	1.55260	1.55854	1.55234	1.55838	11318	0	8
2013.06.10	20:00:00	1.55839	1.55848	1.55677	1.55720	4702	0	13
2013.06.11	00:00:00	1.55720	1.55929	1.55564	1.55921	5935	0	13
2013.06.11	04:00:00	1.55919	1.56017	1.55774	1.55790	8781	0	8
2013.06.11	08:00:00	1.55793	1.55841	1.55339	1.55400	13600	0	8
2013.06.11	12:00:00	1.55403	1.56456	1.55207	1.55967	17537	0	8
2013.06.11	16:00:00	1.55968	1.56439	1.55694	1.56409	12403	0	8
2013.06.11	20:00:00	1.56408	1.56526	1.56331	1.56429	5711	0	13
2013.06.12	00:00:00	1.56428	1.56485	1.56376	1.56427	3748	0	13
2013.06.12	04:00:00	1.56428	1.56707	1.56330	1.56624	6115	0	8
2013.06.12	08:00:00	1.56623	1.56822	1.56490	1.56602	11228	0	8
2013.06.12	12:00:00	1.56601	1.56868	1.56430	1.56860	14048	0	8
2013.06.12	16:00:00	1.56859	1.56995	1.56665	1.56756	12142	0	8
2013.06.12	20:00:00	1.56757	1.56827	1.56703	1.56797	4847	0	13
2013.06.13	00:00:00	1.56796	1.57003	1.56685	1.56839	7709	0	13
2013.06.13	04:00:00	1.56838	1.56973	1.56582	1.56597	8409	0	8
2013.06.13	08:00:00	1.56598	1.56837	1.56442	1.56700	11218	0	8
2013.06.13	12:00:00	1.56699	1.56879	1.56472	1.56799	15066	0	8
2013.06.13	16:00:00	1.56800	1.57360	1.56696	1.56951	10641	0	8
2013.06.13	20:00:00	1.56953	1.57222	1.56853	1.57045	6444	0	5
2013.06.14	00:00:00	1.57046	1.57173	1.56963	1.56980	6143	0	5
2013.06.14	04:00:00	1.56978	1.57131	1.56469	1.56531	8739	0	5
2013.06.14	08:00:00	1.56532	1.56647	1.56160	1.56254	12750	0	5
2013.06.14	12:00:00	1.56256	1.57039	1.56209	1.56849	19211	0	5
2013.06.14	16:00:00	1.56847	1.57065	1.56773	1.57061	8595	0	5
2013.06.14	20:00:00	1.57060	1.57142	1.56956	1.57008	1693	0	5
2013.06.17	00:00:00	1.57311	1.57311	1.57006	1.57006	5095	0	5
2013.06.17	04:00:00	1.57005	1.57178	1.56904	1.57138	6229	0	5
2013.06.17	08:00:00	1.57136	1.57299	1.57038	1.57221	9471	0	5
2013.06.17	12:00:00	1.57220	1.57510	1.56960	1.57078	13712	0	5
2013.06.17	16:00:00	1.57077	1.57383	1.56804	1.57356	8707	0	5
2013.06.17	20:00:00	1.57356	1.57358	1.57123	1.57158	5595	0	5
2013.06.18	00:00:00	1.57157	1.57198	1.57005	1.57051	4971	0	5
2013.06.18	04:00:00	1.57051	1.57062	1.56626	1.56960	7658	0	5
2013.06.18	08:00:00	1.56960	1.57078	1.55996	1.56309	13907	0	5
2013.06.18	12:00:00	1.56309	1.56356	1.55650	1.56233	15980	0	5
2013.06.18	16:00:00	1.56233	1.56555	1.56178	1.56457	7687	0	5
2013.06.18	20:00:00	1.56453	1.56471	1.56240	1.56302	5218	0	5
2013.06.19	00:00:00	1.56304	1.56409	1.56176	1.56361	5054	0	5
2013.06.19	04:00:00	1.56360	1.56690	1.56300	1.56527	8021	0	5
2013.06.19	08:00:00	1.56525	1.56626	1.56035	1.56497	11026	0	5
2013.06.19	12:00:00	1.56502	1.56769	1.56459	1.56555	12304	0	5
2013.06.19	16:00:00	1.56553	1.56721	1.54655	1.54903	15301	0	5
2013.06.19	20:00:00	1.54903	1.54936	1.54495	1.54726	8932	0	5
2013.06.20	00:00:00	1.54727	1.54920	1.54316	1.54360	9304	0	5
2013.06.20	04:00:00	1.54361	1.54627	1.54260	1.54457	12803	0	5
2013.06.20	08:00:00	1.54456	1.54843	1.54144	1.54583	18124	0	5
2013.06.20	12:00:00	1.54588	1.54858	1.54446	1.54671	19919	0	5
2013.06.20	16:00:00	1.54671	1.54902	1.54597	1.54863	11923	0	5
2013.06.20	20:00:00	1.54864	1.55220	1.54833	1.55124	7008	0	5
2013.06.21	00:00:00	1.55120	1.55224	1.54897	1.55108	7513	0	5
2013.06.21	04:00:00	1.55109	1.55302	1.54723	1.54869	9782	0	5
2013.06.21	08:00:00	1.54870	1.54934	1.54432	1.54498	13521	0	5
2013.06.21	12:00:00	1.54497	1.54503	1.53680	1.53724	20111	0	5
2013.06.21	16:00:00	1.53723	1.54552	1.53721	1.54221	10990	0	5
2013.06.21	20:00:00	1.54220	1.54324	1.54144	1.54144	1998	0	5
2013.06.24	00:00:00	1.53863	1.53993	1.53695	1.53823	6382	0	5
2013.06.24	04:00:00	1.53820	1.53838	1.53465	1.53742	9856	0	5
2013.06.24	08:00:00	1.53738	1.53780	1.53435	1.53671	14143	0	5
2013.06.24	12:00:00	1.53671	1.54339	1.53553	1.54030	18930	0	5
2013.06.24	16:00:00	1.54028	1.54652	1.54026	1.54421	10334	0	5
2013.06.24	20:00:00	1.54421	1.54548	1.54260	1.54531	4602	0	5
2013.06.25	00:00:00	1.54530	1.54544	1.54287	1.54330	7033	0	5
2013.06.25	04:00:00	1.54329	1.54635	1.54248	1.54443	10768	0	5
2013.06.25	08:00:00	1.54443	1.54729	1.54280	1.54646	14292	0	5
2013.06.25	12:00:00	1.54647	1.54771	1.53972	1.54170	17394	0	5
2013.06.25	16:00:00	1.54170	1.54355	1.54088	1.54323	6242	0	5
2013.06.25	20:00:00	1.54322	1.54342	1.54028	1.54084	4710	0	5
2013.06.26	00:00:00	1.54086	1.54238	1.54019	1.54207	6199	0	5
2013.06.26	04:00:00	1.54202	1.54401	1.54055	1.54055	9311	0	5
2013.06.26	08:00:00	1.54057	1.54067	1.53499	1.53592	13402	0	5
2013.06.26	12:00:00	1.53591	1.53966	1.53142	1.53299	17134	0	5
2013.06.26	16:00:00	1.53299	1.53337	1.52975	1.53182	8121	0	5
2013.06.26	20:00:00	1.53180	1.53245	1.53094	1.53234	5188	0	5
2013.06.27	00:00:00	1.53233	1.53405	1.53116	1.53351	4179	0	13
2013.06.27	04:00:00	1.53351	1.53455	1.53248	1.53295	6210	0	8
2013.06.27	08:00:00	1.53294	1.53341	1.52632	1.52837	11369	0	8
2013.06.27	12:00:00	1.52838	1.52972	1.52016	1.52049	14627	0	8
2013.06.27	16:00:00	1.52049	1.52620	1.52049	1.52609	8146	0	8
2013.06.27	20:00:00	1.52608	1.52658	1.52539	1.52566	3968	0	13
2013.06.28	00:00:00	1.52567	1.52739	1.52411	1.52703	4552	0	13
2013.06.28	04:00:00	1.52704	1.52784	1.52456	1.52508	5976	0	8
2013.06.28	08:00:00	1.52507	1.52628	1.52298	1.52307	10208	0	8
2013.06.28	12:00:00	1.52309	1.52600	1.51654	1.51658	15343	0	8
2013.06.28	16:00:00	1.51657	1.52189	1.51656	1.52130	8543	0	8
2013.06.28	20:00:00	1.52129	1.52130	1.52007	1.52112	2625	0	13
2013.07.01	00:00:00	1.52082	1.52170	1.52026	1.52124	5309	0	5
2013.07.01	04:00:00	1.52124	1.52288	1.52014	1.52085	8211	0	5
2013.07.01	08:00:00	1.52083	1.52471	1.51832	1.52208	11514	0	5
2013.07.01	12:00:00	1.52207	1.52483	1.52131	1.52464	13051	0	5
2013.07.01	16:00:00	1.52463	1.52472	1.52052	1.52171	6845	0	5
2013.07.01	20:00:00	1.52172	1.52202	1.52071	1.52164	3826	0	5
2013.07.02	00:00:00	1.52164	1.52187	1.52011	1.52123	3898	0	5
2013.07.02	04:00:00	1.52122	1.52377	1.51933	1.52215	8306	0	5
