<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	0.82618	0.82643	0.82371	0.82598	9137	0	24
2013.06.03	04:00:00	0.82598	0.82631	0.82454	0.82497	7310	0	16
2013.06.03	08:00:00	0.82499	0.82845	0.82491	0.82668	7064	0	14
2013.06.03	12:00:00	0.82667	0.83515	0.82584	0.83314	14439	0	5
2013.06.03	16:00:00	0.83315	0.83453	0.83036	0.83075	8911	0	5
2013.06.03	20:00:00	0.83075	0.83330	0.82941	0.83157	7035	0	18
2013.06.04	00:00:00	0.83155	0.83188	0.82763	0.82821	7431	0	22
2013.06.04	04:00:00	0.82821	0.82992	0.82658	0.82802	9405	0	18
2013.06.04	08:00:00	0.82801	0.82995	0.82655	0.82939	8276	0	18
2013.06.04	12:00:00	0.82941	0.83037	0.82542	0.82682	12794	0	6
2013.06.04	16:00:00	0.82684	0.82851	0.82542	0.82828	7521	0	12
2013.06.04	20:00:00	0.82828	0.83022	0.82773	0.82926	4584	0	15
2013.06.05	00:00:00	0.82935	0.83224	0.82868	0.83200	10719	0	13
2013.06.05	04:00:00	0.83194	0.83288	0.82598	0.82834	11617	0	14
2013.06.05	08:00:00	0.82837	0.82901	0.82478	0.82763	7496	0	9
2013.06.05	12:00:00	0.82763	0.82951	0.82066	0.82175	16537	0	5
2013.06.05	16:00:00	0.82175	0.82285	0.82035	0.82282	7841	0	13
2013.06.05	20:00:00	0.82281	0.82590	0.82231	0.82285	6594	0	14
2013.06.06	00:00:00	0.82286	0.82307	0.82040	0.82101	6309	0	122
2013.06.06	04:00:00	0.82100	0.82102	0.81852	0.82089	7446	0	62
2013.06.06	08:00:00	0.82093	0.82343	0.81940	0.82138	7765	0	62
2013.06.06	12:00:00	0.82139	0.82249	0.81959	0.82212	11637	0	62
2013.06.06	16:00:00	0.82211	0.82656	0.81854	0.82364	16482	0	62
2013.06.06	20:00:00	0.82370	0.82439	0.81852	0.82018	7922	0	122
2013.06.07	00:00:00	0.82010	0.82181	0.81657	0.81934	8288	0	122
2013.06.07	04:00:00	0.81932	0.81932	0.81716	0.81852	9646	0	62
2013.06.07	08:00:00	0.81851	0.82032	0.81465	0.81531	8283	0	62
2013.06.07	12:00:00	0.81533	0.81700	0.80294	0.80669	15738	0	62
2013.06.07	16:00:00	0.80666	0.80746	0.80305	0.80467	7966	0	62
2013.06.07	20:00:00	0.80466	0.80518	0.80259	0.80302	2796	0	122
2013.06.10	00:00:00	0.80000	0.80184	0.79861	0.79956	5080	0	122
2013.06.10	04:00:00	0.79955	0.80151	0.79892	0.80078	5775	0	62
2013.06.10	08:00:00	0.80079	0.80422	0.80046	0.80387	7797	0	62
2013.06.10	12:00:00	0.80390	0.80516	0.80216	0.80421	10878	0	62
2013.06.10	16:00:00	0.80420	0.80634	0.80327	0.80541	9162	0	62
2013.06.10	20:00:00	0.80542	0.80571	0.80395	0.80465	4707	0	122
2013.06.11	00:00:00	0.80466	0.80471	0.80128	0.80335	6831	0	122
2013.06.11	04:00:00	0.80336	0.80428	0.80166	0.80191	7606	0	62
2013.06.11	08:00:00	0.80188	0.80204	0.79467	0.79506	11582	0	62
2013.06.11	12:00:00	0.79512	0.80026	0.79483	0.79981	13425	0	62
2013.06.11	16:00:00	0.79984	0.80282	0.79935	0.80279	9479	0	62
2013.06.11	20:00:00	0.80278	0.80459	0.80071	0.80360	7058	0	122
2013.06.12	00:00:00	0.80359	0.80623	0.80312	0.80494	6188	0	122
2013.06.12	04:00:00	0.80501	0.80668	0.80312	0.80527	6141	0	62
2013.06.12	08:00:00	0.80526	0.81339	0.80522	0.81199	9383	0	62
2013.06.12	12:00:00	0.81198	0.81578	0.80906	0.81109	11526	0	62
2013.06.12	16:00:00	0.81114	0.81501	0.81042	0.81381	8426	0	62
2013.06.12	20:00:00	0.81382	0.81603	0.80939	0.81146	7722	0	122
2013.06.13	00:00:00	0.81145	0.81259	0.80662	0.80860	7666	0	122
2013.06.13	04:00:00	0.80857	0.81125	0.80673	0.81024	7476	0	62
2013.06.13	08:00:00	0.81025	0.81459	0.80788	0.81282	9499	0	62
2013.06.13	12:00:00	0.81278	0.81519	0.81011	0.81472	11270	0	62
2013.06.13	16:00:00	0.81473	0.81935	0.81457	0.81827	7432	0	62
2013.06.13	20:00:00	0.81829	0.82383	0.81754	0.82112	9001	0	5
2013.06.14	00:00:00	0.82109	0.82183	0.81831	0.81948	8442	0	14
2013.06.14	04:00:00	0.81947	0.82134	0.81803	0.81858	8497	0	18
2013.06.14	08:00:00	0.81858	0.82307	0.81741	0.82218	8036	0	15
2013.06.14	12:00:00	0.82219	0.82568	0.81965	0.82035	13885	0	5
2013.06.14	16:00:00	0.82038	0.82101	0.81845	0.81940	6299	0	20
2013.06.14	20:00:00	0.81940	0.81984	0.81760	0.81783	1161	0	39
2013.06.17	00:00:00	0.81822	0.82179	0.81779	0.82096	4584	0	22
2013.06.17	04:00:00	0.82104	0.82233	0.82053	0.82133	5084	0	14
2013.06.17	08:00:00	0.82128	0.82200	0.81954	0.81997	4534	0	8
2013.06.17	12:00:00	0.82000	0.82052	0.81273	0.81338	8441	0	5
