<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	0.76321	0.76338	0.75990	0.76247	5027	0	12
2013.06.03	04:00:00	0.76241	0.76284	0.76070	0.76157	5589	0	16
2013.06.03	08:00:00	0.76158	0.76581	0.76055	0.76508	5888	0	11
2013.06.03	12:00:00	0.76513	0.76973	0.76112	0.76449	12231	0	7
2013.06.03	16:00:00	0.76446	0.76668	0.76392	0.76572	6168	0	7
2013.06.03	20:00:00	0.76572	0.76788	0.76490	0.76638	4534	0	18
2013.06.04	00:00:00	0.76641	0.76690	0.76252	0.76345	4173	0	18
2013.06.04	04:00:00	0.76348	0.76538	0.76126	0.76150	7206	0	13
2013.06.04	08:00:00	0.76146	0.76223	0.75941	0.76058	6413	0	9
2013.06.04	12:00:00	0.76061	0.76218	0.75687	0.75780	9922	0	12
2013.06.04	16:00:00	0.75783	0.75862	0.75568	0.75824	4062	0	18
2013.06.04	20:00:00	0.75818	0.76084	0.75762	0.75983	2844	0	19
2013.06.05	00:00:00	0.75979	0.76279	0.75920	0.76239	6033	0	10
2013.06.05	04:00:00	0.76236	0.76281	0.75663	0.75832	7592	0	14
2013.06.05	08:00:00	0.75834	0.75943	0.75604	0.75762	6570	0	10
2013.06.05	12:00:00	0.75763	0.75787	0.74753	0.74836	15146	0	8
2013.06.05	16:00:00	0.74841	0.74962	0.74527	0.74932	5234	0	7
2013.06.05	20:00:00	0.74932	0.75198	0.74906	0.74909	4678	0	19
2013.06.06	00:00:00	0.74907	0.74952	0.74674	0.74677	6738	0	122
2013.06.06	04:00:00	0.74678	0.74770	0.74324	0.74768	7481	0	62
2013.06.06	08:00:00	0.74771	0.74972	0.74687	0.74909	8607	0	62
2013.06.06	12:00:00	0.74911	0.74997	0.74299	0.74488	13789	0	62
2013.06.06	16:00:00	0.74487	0.74787	0.74351	0.74617	17225	0	62
2013.06.06	20:00:00	0.74619	0.74682	0.74143	0.74232	7631	0	122
2013.06.07	00:00:00	0.74226	0.74341	0.73623	0.73967	8890	0	122
2013.06.07	04:00:00	0.73966	0.74104	0.73674	0.74050	11064	0	62
2013.06.07	08:00:00	0.74048	0.74248	0.73564	0.73683	9918	0	62
2013.06.07	12:00:00	0.73686	0.74174	0.73387	0.73885	16897	0	62
2013.06.07	16:00:00	0.73881	0.73899	0.73490	0.73643	7986	0	62
2013.06.07	20:00:00	0.73646	0.73877	0.73641	0.73687	3254	0	122
2013.06.10	00:00:00	0.73399	0.73605	0.73287	0.73349	5405	0	122
2013.06.10	04:00:00	0.73348	0.73677	0.73341	0.73620	5281	0	62
2013.06.10	08:00:00	0.73622	0.73939	0.73566	0.73856	8635	0	62
2013.06.10	12:00:00	0.73857	0.74222	0.73788	0.74138	12538	0	62
