<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	80.145	80.204	79.913	80.195	10700	0	14
2013.06.03	04:00:00	80.199	80.216	79.774	79.832	11778	0	11
2013.06.03	08:00:00	79.830	80.292	79.728	80.146	12617	0	11
2013.06.03	12:00:00	80.156	80.388	79.631	80.304	18435	0	11
2013.06.03	16:00:00	80.305	80.494	80.136	80.419	11749	0	11
2013.06.03	20:00:00	80.417	80.755	80.357	80.647	8226	0	11
2013.06.04	00:00:00	80.644	80.728	80.080	80.200	10711	0	11
2013.06.04	04:00:00	80.198	80.623	80.153	80.414	14059	0	11
2013.06.04	08:00:00	80.410	80.555	80.220	80.471	11999	0	11
2013.06.04	12:00:00	80.472	80.618	79.968	80.025	16004	0	11
2013.06.04	16:00:00	80.025	80.188	79.700	80.092	9317	0	11
2013.06.04	20:00:00	80.090	80.486	80.014	80.339	5927	0	11
2013.06.05	00:00:00	80.339	80.740	80.180	80.480	12810	0	11
2013.06.05	04:00:00	80.482	80.531	79.520	79.846	16759	0	11
2013.06.05	08:00:00	79.848	79.960	79.388	79.620	12215	0	12
2013.06.05	12:00:00	79.620	79.746	78.629	78.757	19353	0	11
2013.06.05	16:00:00	78.760	78.938	78.516	78.829	10598	0	11
2013.06.05	20:00:00	78.837	79.148	78.832	78.870	7633	0	12
2013.06.06	00:00:00	78.868	78.898	78.544	78.574	12037	0	74
2013.06.06	04:00:00	78.573	78.813	78.290	78.812	14561	0	38
2013.06.06	08:00:00	78.811	79.077	78.661	78.800	12248	0	38
2013.06.06	12:00:00	78.798	78.898	78.308	78.385	19744	0	38
2013.06.06	16:00:00	78.383	78.663	77.344	78.053	23524	0	38
2013.06.06	20:00:00	78.048	78.059	77.613	77.688	12526	0	74
2013.06.07	00:00:00	77.674	77.896	76.531	77.029	17231	0	74
2013.06.07	04:00:00	77.030	77.416	76.141	77.194	24640	0	38
2013.06.07	08:00:00	77.196	77.389	75.935	76.054	19369	0	38
2013.06.07	12:00:00	76.054	77.297	75.752	76.942	25553	0	38
2013.06.07	16:00:00	76.940	77.035	76.251	76.763	16089	0	38
2013.06.07	20:00:00	76.764	77.015	76.647	76.817	4520	0	74
2013.06.10	00:00:00	76.979	77.249	76.746	76.777	12009	0	74
2013.06.10	04:00:00	76.779	77.364	76.779	77.173	11979	0	38
2013.06.10	08:00:00	77.173	77.880	77.090	77.834	13168	0	38
2013.06.10	12:00:00	77.834	78.347	77.789	78.262	18944	0	38
2013.06.10	16:00:00	78.267	78.389	77.762	78.028	16653	0	38
2013.06.10	20:00:00	78.030	78.230	77.860	78.041	7700	0	74
2013.06.11	00:00:00	78.040	78.062	77.244	77.459	12429	0	74
2013.06.11	04:00:00	77.461	77.608	77.216	77.370	16649	0	38
2013.06.11	08:00:00	77.369	77.369	75.143	75.348	20569	0	38
2013.06.11	12:00:00	75.349	76.105	75.230	76.043	22019	0	38
2013.06.11	16:00:00	76.046	76.474	75.082	75.754	19090	0	38
2013.06.11	20:00:00	75.747	76.007	75.313	75.850	12507	0	74
2013.06.12	00:00:00	75.844	76.338	75.780	76.109	12849	0	74
2013.06.12	04:00:00	76.110	76.303	75.916	76.292	14096	0	38
2013.06.12	08:00:00	76.290	77.192	76.290	77.090	16688	0	38
2013.06.12	12:00:00	77.091	77.484	75.984	76.217	19664	0	38
2013.06.12	16:00:00	76.219	76.790	75.871	76.272	19341	0	38
2013.06.12	20:00:00	76.268	76.733	76.026	76.284	11813	0	74
2013.06.13	00:00:00	76.283	76.288	74.700	75.077	17203	0	74
2013.06.13	04:00:00	75.078	75.179	74.439	74.674	20159	0	38
2013.06.13	08:00:00	74.665	75.669	74.457	75.540	18648	0	38
2013.06.13	12:00:00	75.541	75.798	74.859	75.510	21547	0	38
2013.06.13	16:00:00	75.510	76.317	75.401	76.242	17488	0	38
2013.06.13	20:00:00	76.243	77.526	76.219	77.185	13720	0	11
2013.06.14	00:00:00	77.185	77.213	76.040	76.444	17648	0	11
2013.06.14	04:00:00	76.444	76.810	76.309	76.563	14358	0	11
2013.06.14	08:00:00	76.561	76.877	76.379	76.830	11286	0	11
2013.06.14	12:00:00	76.827	77.418	75.874	76.059	18514	0	11
2013.06.14	16:00:00	76.066	76.192	75.585	76.015	11145	0	11
2013.06.14	20:00:00	76.014	76.022	75.430	75.430	1538	0	17
2013.06.17	00:00:00	75.962	76.663	75.850	76.617	9523	0	16
2013.06.17	04:00:00	76.622	76.979	76.483	76.796	9724	0	11
2013.06.17	08:00:00	76.788	76.857	76.451	76.485	8730	0	11
2013.06.17	12:00:00	76.491	76.646	75.781	75.829	12598	0	11
2013.06.17	16:00:00	75.830	76.039	75.472	75.603	9696	0	11
2013.06.17	20:00:00	75.602	75.835	75.394	75.604	7203	0	11
2013.06.18	00:00:00	75.599	75.945	75.475	75.728	12855	0	11
2013.06.18	04:00:00	75.726	75.841	75.502	75.759	10423	0	11
2013.06.18	08:00:00	75.762	76.032	75.675	75.969	10564	0	11
2013.06.18	12:00:00	75.971	76.573	75.907	76.152	14280	0	11
2013.06.18	16:00:00	76.157	76.396	76.091	76.152	7051	0	11
2013.06.18	20:00:00	76.150	76.376	76.075	76.258	7209	0	12
2013.06.19	00:00:00	76.260	76.271	75.928	76.045	10381	0	11
2013.06.19	04:00:00	76.051	76.316	75.851	75.968	10745	0	14
2013.06.19	08:00:00	75.970	76.237	75.937	76.050	9493	0	11
2013.06.19	12:00:00	76.047	76.664	76.030	76.562	10160	0	11
2013.06.19	16:00:00	76.564	76.807	75.884	76.138	16866	0	11
2013.06.19	20:00:00	76.138	76.259	75.812	75.993	12858	0	11
2013.06.20	00:00:00	75.994	76.293	75.680	76.274	15971	0	11
2013.06.20	04:00:00	76.272	76.765	75.953	76.504	17168	0	11
2013.06.20	08:00:00	76.507	76.657	75.885	76.271	19141	0	11
2013.06.20	12:00:00	76.276	76.364	75.524	75.835	19807	0	11
2013.06.20	16:00:00	75.837	76.191	75.065	75.503	13332	0	11
2013.06.20	20:00:00	75.506	75.650	75.255	75.304	9090	0	11
2013.06.21	00:00:00	75.303	75.815	75.256	75.706	12945	0	14
2013.06.21	04:00:00	75.701	76.242	75.601	76.169	14500	0	11
2013.06.21	08:00:00	76.171	76.185	75.704	75.856	12194	0	11
2013.06.21	12:00:00	75.855	75.958	75.037	75.167	17828	0	11
2013.06.21	16:00:00	75.167	76.053	75.167	75.827	11444	0	11
2013.06.21	20:00:00	75.841	75.950	75.637	75.748	1725	0	11
2013.06.24	00:00:00	76.367	76.424	76.025	76.307	14537	0	11
2013.06.24	04:00:00	76.305	76.387	75.875	75.908	12933	0	11
2013.06.24	08:00:00	75.902	75.960	75.326	75.851	14593	0	11
2013.06.24	12:00:00	75.848	75.927	75.311	75.486	20178	0	11
2013.06.24	16:00:00	75.488	76.094	75.400	75.731	12364	0	11
2013.06.24	20:00:00	75.732	75.946	75.616	75.915	8690	0	17
2013.06.25	00:00:00	75.915	76.045	75.045	75.086	16134	0	11
2013.06.25	04:00:00	75.090	75.888	75.061	75.793	17512	0	11
2013.06.25	08:00:00	75.797	75.955	75.180	75.462	14279	0	11
2013.06.25	12:00:00	75.460	75.723	75.309	75.634	17519	0	11
2013.06.25	16:00:00	75.638	75.828	75.537	75.664	7803	0	11
2013.06.25	20:00:00	75.665	76.003	75.560	75.828	8852	0	11
2013.06.26	00:00:00	75.829	76.038	75.436	75.591	14329	0	11
2013.06.26	04:00:00	75.594	75.757	75.284	75.709	14220	0	11
2013.06.26	08:00:00	75.711	76.048	75.603	75.997	13994	0	11
2013.06.26	12:00:00	75.995	76.652	75.817	76.090	17202	0	11
2013.06.26	16:00:00	76.090	76.311	75.896	76.214	9251	0	11
2013.06.26	20:00:00	76.210	76.216	75.933	76.014	7552	0	12
