<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	0.79757	0.79757	0.79425	0.79702	10263	0	5
2013.06.03	04:00:00	0.79703	0.79792	0.79578	0.79665	11339	0	5
2013.06.03	08:00:00	0.79662	0.80023	0.79630	0.79864	9055	0	5
2013.06.03	12:00:00	0.79872	0.80983	0.79698	0.80969	14377	0	5
2013.06.03	16:00:00	0.80969	0.81183	0.80769	0.80841	9573	0	5
2013.06.03	20:00:00	0.80840	0.81050	0.80757	0.80865	8747	0	5
2013.06.04	00:00:00	0.80864	0.80903	0.80389	0.80445	9241	0	5
2013.06.04	04:00:00	0.80445	0.80636	0.80117	0.80193	12484	0	5
2013.06.04	08:00:00	0.80188	0.80452	0.80019	0.80326	10159	0	5
2013.06.04	12:00:00	0.80329	0.80480	0.79849	0.79904	13571	0	5
2013.06.04	16:00:00	0.79902	0.80089	0.79675	0.80070	8988	0	5
2013.06.04	20:00:00	0.80071	0.80270	0.80057	0.80127	6233	0	5
2013.06.05	00:00:00	0.80127	0.80524	0.80036	0.80482	13105	0	5
2013.06.05	04:00:00	0.80482	0.80604	0.79820	0.80065	13882	0	5
2013.06.05	08:00:00	0.80073	0.80132	0.79716	0.80039	10377	0	5
2013.06.05	12:00:00	0.80039	0.80287	0.79293	0.79433	15902	0	5
2013.06.05	16:00:00	0.79434	0.79552	0.79277	0.79532	8856	0	5
2013.06.05	20:00:00	0.79532	0.79854	0.79499	0.79581	7308	0	5
2013.06.06	00:00:00	0.79580	0.79638	0.79242	0.79247	7777	0	36
2013.06.06	04:00:00	0.79246	0.79464	0.79018	0.79462	10805	0	21
2013.06.06	08:00:00	0.79462	0.79674	0.79361	0.79562	11596	0	21
2013.06.06	12:00:00	0.79562	0.79775	0.79243	0.79698	14855	0	21
2013.06.06	16:00:00	0.79695	0.80999	0.79590	0.80298	17853	0	21
2013.06.06	20:00:00	0.80299	0.80360	0.79782	0.79855	10311	0	36
2013.06.07	00:00:00	0.79832	0.80069	0.79452	0.79783	10149	0	36
2013.06.07	04:00:00	0.79786	0.79819	0.79575	0.79728	15220	0	21
2013.06.07	08:00:00	0.79731	0.79962	0.79410	0.79545	12786	0	21
2013.06.07	12:00:00	0.79545	0.80134	0.78612	0.79039	19033	0	21
2013.06.07	16:00:00	0.79038	0.79069	0.78578	0.78811	10629	0	21
2013.06.07	20:00:00	0.78812	0.78954	0.78759	0.78787	2923	0	36
2013.06.10	00:00:00	0.78355	0.78721	0.78352	0.78397	5587	0	36
2013.06.10	04:00:00	0.78398	0.78619	0.78343	0.78466	8945	0	21
2013.06.10	08:00:00	0.78466	0.78928	0.78414	0.78822	11439	0	21
2013.06.10	12:00:00	0.78825	0.79057	0.78611	0.78965	14955	0	21
2013.06.10	16:00:00	0.78964	0.79224	0.78865	0.79069	12231	0	21
2013.06.10	20:00:00	0.79064	0.79101	0.78920	0.78959	6581	0	36
2013.06.11	00:00:00	0.78960	0.78969	0.78556	0.78924	8134	0	36
2013.06.11	04:00:00	0.78925	0.79058	0.78658	0.78665	11879	0	21
2013.06.11	08:00:00	0.78665	0.78665	0.77615	0.77655	16016	0	21
2013.06.11	12:00:00	0.77656	0.78606	0.77596	0.78526	17655	0	21
2013.06.11	16:00:00	0.78527	0.78832	0.78453	0.78813	12445	0	21
2013.06.11	20:00:00	0.78810	0.79064	0.78597	0.78938	8985	0	36
2013.06.12	00:00:00	0.78937	0.79208	0.78862	0.78913	7525	0	36
2013.06.12	04:00:00	0.78914	0.79060	0.78640	0.78971	9436	0	21
2013.06.12	08:00:00	0.78972	0.79928	0.78959	0.79753	13606	0	21
2013.06.12	12:00:00	0.79755	0.80226	0.79431	0.79672	14379	0	21
2013.06.12	16:00:00	0.79674	0.80005	0.79578	0.79738	11106	0	21
2013.06.12	20:00:00	0.79740	0.79925	0.79310	0.79533	9039	0	36
2013.06.13	00:00:00	0.79532	0.79721	0.78946	0.79211	9980	0	36
2013.06.13	04:00:00	0.79213	0.79503	0.79017	0.79367	11874	0	21
2013.06.13	08:00:00	0.79371	0.80221	0.79190	0.80060	12766	0	21
2013.06.13	12:00:00	0.80058	0.80203	0.79661	0.80160	15650	0	21
2013.06.13	16:00:00	0.80161	0.80593	0.80122	0.80395	11092	0	21
2013.06.13	20:00:00	0.80393	0.81093	0.80329	0.80766	10524	0	5
2013.06.14	00:00:00	0.80766	0.80838	0.80467	0.80533	10547	0	5
2013.06.14	04:00:00	0.80528	0.80750	0.80408	0.80502	11471	0	5
2013.06.14	08:00:00	0.80501	0.80959	0.80381	0.80869	9774	0	5
2013.06.14	12:00:00	0.80870	0.81369	0.80547	0.80626	13661	0	5
2013.06.14	16:00:00	0.80626	0.80677	0.80414	0.80584	7687	0	5
2013.06.14	20:00:00	0.80584	0.80602	0.80381	0.80389	924	0	6
2013.06.17	00:00:00	0.80539	0.80934	0.80488	0.80815	7872	0	5
2013.06.17	04:00:00	0.80812	0.80987	0.80743	0.80846	7858	0	5
2013.06.17	08:00:00	0.80844	0.80919	0.80706	0.80727	7977	0	5
2013.06.17	12:00:00	0.80732	0.80781	0.79867	0.79941	9970	0	5
2013.06.17	16:00:00	0.79940	0.80126	0.79666	0.80050	6598	0	5
2013.06.17	20:00:00	0.80051	0.80104	0.79836	0.79947	6874	0	5
2013.06.18	00:00:00	0.79944	0.80120	0.79719	0.79834	9694	0	5
2013.06.18	04:00:00	0.79833	0.79973	0.79542	0.79679	11422	0	5
2013.06.18	08:00:00	0.79679	0.79823	0.79475	0.79723	8606	0	5
2013.06.18	12:00:00	0.79725	0.80079	0.79660	0.79997	11132	0	5
2013.06.18	16:00:00	0.79996	0.80209	0.79906	0.79908	6366	0	5
2013.06.18	20:00:00	0.79907	0.79961	0.79706	0.79786	6871	0	5
2013.06.19	00:00:00	0.79786	0.79872	0.79604	0.79825	10687	0	5
2013.06.19	04:00:00	0.79822	0.80203	0.79806	0.79945	9835	0	5
2013.06.19	08:00:00	0.79944	0.80207	0.79866	0.79967	9293	0	5
2013.06.19	12:00:00	0.79967	0.80528	0.79952	0.80404	8950	0	5
2013.06.19	16:00:00	0.80403	0.80469	0.78554	0.78867	11287	0	5
2013.06.19	20:00:00	0.78871	0.79072	0.78412	0.78688	10243	0	5
2013.06.20	00:00:00	0.78692	0.78887	0.78496	0.78516	13767	0	5
2013.06.20	04:00:00	0.78515	0.78583	0.77984	0.77996	12121	0	5
2013.06.20	08:00:00	0.77996	0.78053	0.77422	0.77935	14179	0	5
2013.06.20	12:00:00	0.77941	0.78086	0.77117	0.77247	17143	0	5
2013.06.20	16:00:00	0.77247	0.77732	0.77165	0.77502	10695	0	5
2013.06.20	20:00:00	0.77502	0.77728	0.77467	0.77629	7793	0	5
2013.06.21	00:00:00	0.77628	0.78063	0.77621	0.77807	12483	0	5
2013.06.21	04:00:00	0.77808	0.78001	0.77625	0.77747	12201	0	5
2013.06.21	08:00:00	0.77747	0.77868	0.77535	0.77646	11876	0	5
2013.06.21	12:00:00	0.77645	0.77809	0.76998	0.77109	15714	0	5
2013.06.21	16:00:00	0.77111	0.77802	0.77099	0.77575	10164	0	5
2013.06.21	20:00:00	0.77574	0.77728	0.77316	0.77337	1078	0	5
2013.06.24	00:00:00	0.77630	0.77717	0.77326	0.77484	10924	0	5
2013.06.24	04:00:00	0.77484	0.77565	0.77118	0.77202	12129	0	5
2013.06.24	08:00:00	0.77199	0.77277	0.76826	0.77203	12895	0	5
2013.06.24	12:00:00	0.77202	0.77817	0.77001	0.77262	17719	0	5
