<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	1.03594	1.03747	1.02613	1.02846	38014	0	3
2013.06.04	1.02845	1.03612	1.02764	1.03494	36627	0	3
2013.06.05	1.03501	1.03798	1.03272	1.03433	41006	0	3
2013.06.06	1.03434	1.03664	1.01978	1.02747	55165	0	3
2013.06.07	1.02751	1.02870	1.01666	1.01930	51377	0	3
2013.06.10	1.02155	1.02179	1.01682	1.01949	46049	0	3
2013.06.11	1.01950	1.02509	1.01749	1.01849	54837	0	3
2013.06.12	1.01850	1.02166	1.01549	1.02068	48392	0	3
2013.06.13	1.02067	1.02256	1.01469	1.01668	50835	0	3
2013.06.14	1.01667	1.01866	1.01369	1.01675	29770	0	3
2013.06.17	1.01599	1.02050	1.01489	1.01871	24699	0	3
2013.06.18	1.01871	1.02240	1.01766	1.02226	28032	0	3
2013.06.19	1.02226	1.02865	1.01739	1.02816	35510	0	3
2013.06.20	1.02816	1.03936	1.02708	1.03802	49822	0	3
2013.06.21	1.03804	1.04883	1.03625	1.04538	40786	0	3
2013.06.24	1.04806	1.05557	1.04702	1.04989	47020	0	3
2013.06.25	1.04988	1.05471	1.04577	1.05241	44112	0	3
2013.06.26	1.05241	1.05268	1.04575	1.04686	39796	0	3
2013.06.27	1.04687	1.05038	1.04237	1.04778	48783	0	3
2013.06.28	1.04778	1.05528	1.04534	1.05164	52262	0	3
2013.07.01	1.05218	1.05339	1.04868	1.05003	28676	0	3
2013.07.02	1.05004	1.05777	1.04969	1.05503	36475	0	3
2013.07.03	1.05504	1.05644	1.04980	1.04993	35129	0	3
2013.07.04	1.04994	1.05572	1.04721	1.05232	29256	0	3
2013.07.05	1.05233	1.06089	1.05113	1.05805	35512	0	3
2013.07.08	1.05784	1.05851	1.05463	1.05631	29391	0	3
2013.07.09	1.05631	1.05741	1.05134	1.05366	34211	0	3
2013.07.10	1.05366	1.05399	1.03759	1.03993	42652	0	3
2013.07.11	1.03992	1.04362	1.03258	1.03769	46753	0	3
2013.07.12	1.03769	1.04039	1.03594	1.03925	33029	0	1
2013.07.15	1.03883	1.04410	1.03795	1.04370	30437	0	1
2013.07.16	1.04370	1.04418	1.03633	1.03793	35459	0	1
2013.07.17	1.03794	1.04387	1.03555	1.04042	36429	0	1
2013.07.18	1.04042	1.04390	1.03726	1.03778	31332	0	1
2013.07.19	1.03779	1.03933	1.03553	1.03656	28669	0	1
2013.07.22	1.03546	1.03633	1.03215	1.03366	28463	0	1
2013.07.23	1.03365	1.03488	1.02774	1.02910	30893	0	1
2013.07.24	1.02911	1.03246	1.02625	1.03185	32807	0	1
2013.07.25	1.03182	1.03182	1.02552	1.02871	31763	0	1
2013.07.26	1.02873	1.03027	1.02619	1.02746	25563	0	1
2013.07.29	1.02697	1.02831	1.02523	1.02619	26887	0	1
2013.07.30	1.02618	1.03103	1.02585	1.02997	29264	0	1
2013.07.31	1.03002	1.03356	1.02458	1.02822	37849	0	1
2013.08.01	1.02835	1.03509	1.02649	1.03465	32303	0	1
2013.08.02	1.03464	1.04022	1.03387	1.03870	31185	0	1
2013.08.05	1.03882	1.04031	1.03565	1.03580	24841	0	1
2013.08.06	1.03567	1.03903	1.03478	1.03744	27231	0	1
2013.08.07	1.03744	1.04451	1.03739	1.04211	31157	0	1
2013.08.08	1.04211	1.04307	1.03041	1.03285	30453	0	1
2013.08.09	1.03285	1.03528	1.02751	1.02858	26735	0	1
2013.08.12	1.02861	1.03164	1.02807	1.03129	24580	0	1
2013.08.13	1.03126	1.03481	1.03034	1.03460	26906	0	1
2013.08.14	1.03461	1.03693	1.03182	1.03317	27608	0	1
2013.08.15	1.03316	1.03639	1.03000	1.03020	35363	0	1
2013.08.16	1.03024	1.03601	1.02934	1.03346	27366	0	1
2013.08.19	1.03342	1.03480	1.03156	1.03458	26289	0	1
2013.08.20	1.03459	1.04012	1.03429	1.03959	34267	0	1
2013.08.21	1.03960	1.04859	1.03957	1.04849	36888	0	1
2013.08.22	1.04850	1.05300	1.04706	1.05169	32005	0	1
2013.08.23	1.05173	1.05680	1.04944	1.04944	29582	0	1
2013.08.26	1.05043	1.05332	1.04972	1.05010	21341	0	1
2013.08.27	1.05008	1.05397	1.04719	1.04922	30317	0	1
2013.08.28	1.04929	1.05109	1.04740	1.04937	30142	0	1
2013.08.29	1.04934	1.05410	1.04797	1.05393	29510	0	1
2013.08.30	1.05392	1.05579	1.05086	1.05324	26423	0	1
2013.09.02	1.05364	1.05571	1.05161	1.05523	19223	0	1
2013.09.03	1.05523	1.05593	1.05089	1.05354	26909	0	1
2013.09.04	1.05354	1.05421	1.04753	1.04972	25575	0	1
2013.09.05	1.04972	1.05160	1.04759	1.04997	22362	0	1
2013.09.06	1.05002	1.05012	1.03817	1.04042	21910	0	1
2013.09.09	1.04136	1.04141	1.03594	1.03719	19204	0	1
2013.09.10	1.03720	1.03796	1.03303	1.03537	23859	0	1
2013.09.11	1.03536	1.03648	1.03086	1.03101	22479	0	1
2013.09.12	1.03099	1.03353	1.03056	1.03235	23585	0	1
2013.09.13	1.03234	1.03558	1.03223	1.03489	20186	0	1
2013.09.16	1.03124	1.03262	1.02822	1.03189	21370	0	1
2013.09.17	1.03188	1.03343	1.02746	1.02970	20107	0	1
2013.09.18	1.02970	1.03180	1.02013	1.02226	26481	0	1
2013.09.19	1.02226	1.02698	1.01822	1.02668	27285	0	1
2013.09.20	1.02667	1.03097	1.02628	1.03026	20739	0	1
2013.09.23	1.02987	1.03059	1.02745	1.02855	21262	0	1
2013.09.24	1.02854	1.03103	1.02693	1.03068	19544	0	1
2013.09.25	1.03066	1.03214	1.02859	1.03209	21795	0	1
2013.09.26	1.03214	1.03400	1.03026	1.03114	20230	0	1
2013.09.27	1.03110	1.03318	1.02980	1.03040	17265	0	1
2013.09.30	1.03131	1.03252	1.02750	1.03224	23134	0	1
2013.10.01	1.03220	1.03408	1.02874	1.03375	23877	0	1
2013.10.02	1.03375	1.03562	1.03231	1.03254	22883	0	1
