<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	1.03594	1.03747	1.03558	1.03644	4785	0	3
2013.06.03	04:00:00	1.03641	1.03706	1.03454	1.03559	4962	0	3
2013.06.03	08:00:00	1.03563	1.03687	1.03430	1.03513	5659	0	3
2013.06.03	12:00:00	1.03515	1.03671	1.02795	1.02899	11524	0	3
2013.06.03	16:00:00	1.02900	1.02933	1.02613	1.02773	7366	0	3
2013.06.03	20:00:00	1.02775	1.02848	1.02725	1.02846	3718	0	3
2013.06.04	00:00:00	1.02845	1.02975	1.02764	1.02955	3560	0	3
2013.06.04	04:00:00	1.02956	1.03312	1.02857	1.03262	5662	0	3
2013.06.04	08:00:00	1.03261	1.03315	1.03083	1.03254	6622	0	3
2013.06.04	12:00:00	1.03257	1.03531	1.03073	1.03481	11486	0	3
2013.06.04	16:00:00	1.03480	1.03612	1.03388	1.03442	6333	0	3
2013.06.04	20:00:00	1.03442	1.03494	1.03373	1.03494	2964	0	3
2013.06.05	00:00:00	1.03501	1.03653	1.03327	1.03383	5078	0	3
2013.06.05	04:00:00	1.03385	1.03522	1.03283	1.03454	5989	0	3
2013.06.05	08:00:00	1.03454	1.03539	1.03358	1.03404	5836	0	3
2013.06.05	12:00:00	1.03404	1.03798	1.03272	1.03451	12682	0	3
2013.06.05	16:00:00	1.03449	1.03555	1.03395	1.03454	6958	0	3
2013.06.05	20:00:00	1.03454	1.03462	1.03369	1.03433	4463	0	3
2013.06.06	00:00:00	1.03434	1.03654	1.03370	1.03643	4782	0	18
2013.06.06	04:00:00	1.03642	1.03664	1.03308	1.03314	7215	0	3
2013.06.06	08:00:00	1.03315	1.03416	1.03075	1.03250	8202	0	3
2013.06.06	12:00:00	1.03251	1.03556	1.03060	1.03168	15001	0	3
2013.06.06	16:00:00	1.03168	1.03259	1.01978	1.02617	15565	0	3
2013.06.06	20:00:00	1.02619	1.02747	1.02539	1.02747	4400	0	18
2013.06.07	00:00:00	1.02751	1.02870	1.02657	1.02706	5588	0	18
2013.06.07	04:00:00	1.02711	1.02787	1.02606	1.02680	7515	0	3
2013.06.07	08:00:00	1.02678	1.02785	1.02473	1.02515	9071	0	3
2013.06.07	12:00:00	1.02513	1.02530	1.01666	1.02077	18119	0	3
2013.06.07	16:00:00	1.02072	1.02329	1.02053	1.02133	9236	0	3
2013.06.07	20:00:00	1.02131	1.02156	1.01878	1.01930	1848	0	18
2013.06.10	00:00:00	1.02155	1.02179	1.01809	1.02033	4054	0	18
2013.06.10	04:00:00	1.02032	1.02119	1.01939	1.02075	5540	0	3
2013.06.10	08:00:00	1.02074	1.02130	1.01791	1.02001	8594	0	3
2013.06.10	12:00:00	1.02003	1.02149	1.01806	1.01861	13742	0	3
2013.06.10	16:00:00	1.01862	1.01984	1.01682	1.01907	10606	0	3
2013.06.10	20:00:00	1.01908	1.01987	1.01839	1.01949	3513	0	18
2013.06.11	00:00:00	1.01950	1.02071	1.01823	1.01839	4597	0	18
2013.06.11	04:00:00	1.01838	1.01957	1.01767	1.01955	6359	0	3
2013.06.11	08:00:00	1.01954	1.02472	1.01954	1.02399	12169	0	3
2013.06.11	12:00:00	1.02396	1.02509	1.01773	1.01873	15911	0	3
2013.06.11	16:00:00	1.01878	1.02048	1.01749	1.01907	11710	0	3
2013.06.11	20:00:00	1.01909	1.01938	1.01813	1.01849	4091	0	18
2013.06.12	00:00:00	1.01850	1.02050	1.01810	1.02046	3441	0	18
2013.06.12	04:00:00	1.02047	1.02163	1.01922	1.01986	5754	0	3
2013.06.12	08:00:00	1.01986	1.02068	1.01687	1.01832	9921	0	3
2013.06.12	12:00:00	1.01833	1.01955	1.01549	1.01822	14136	0	3
2013.06.12	16:00:00	1.01820	1.02134	1.01780	1.02125	10981	0	3
2013.06.12	20:00:00	1.02126	1.02166	1.02062	1.02068	4159	0	18
2013.06.13	00:00:00	1.02067	1.02219	1.01948	1.02122	4753	0	18
2013.06.13	04:00:00	1.02121	1.02256	1.02032	1.02097	7641	0	3
