<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	0.95702	0.96240	0.94080	0.94776	55210	0	5
2013.06.04	0.94777	0.95201	0.94529	0.94831	54319	0	5
2013.06.05	0.94831	0.94938	0.93954	0.94178	60841	0	5
2013.06.06	0.94179	0.94384	0.92246	0.93005	87645	0	3
2013.06.07	0.93007	0.93737	0.92479	0.93537	86111	0	3
2013.06.10	0.93720	0.94181	0.93177	0.93373	73851	0	3
2013.06.11	0.93373	0.93490	0.92236	0.92434	86134	0	3
2013.06.12	0.92433	0.92868	0.91728	0.92073	78383	0	3
2013.06.13	0.92073	0.92582	0.91301	0.92345	85568	0	3
2013.06.14	0.92345	0.92698	0.91958	0.92053	48272	0	5
2013.06.17	0.92160	0.92715	0.92149	0.92224	39600	0	5
2013.06.18	0.92223	0.92621	0.91752	0.92025	44098	0	5
2013.06.19	0.92025	0.93215	0.91802	0.92918	47820	0	5
2013.06.20	0.92920	0.93610	0.92508	0.92623	70708	0	5
2013.06.21	0.92630	0.93678	0.92419	0.93357	50796	0	5
2013.06.24	0.93676	0.93807	0.93101	0.93235	57465	0	5
2013.06.25	0.93235	0.94074	0.93188	0.93917	51272	0	5
2013.06.26	0.93917	0.94431	0.93723	0.94219	50619	0	5
2013.06.27	0.94222	0.94873	0.94058	0.94491	72232	0	3
2013.06.28	0.94492	0.94748	0.94110	0.94435	72432	0	3
2013.07.01	0.94550	0.95033	0.94385	0.94480	39989	0	5
2013.07.02	0.94481	0.95292	0.94464	0.95128	43421	0	5
2013.07.03	0.95130	0.95229	0.94463	0.94601	48575	0	5
2013.07.04	0.94607	0.95839	0.94607	0.95815	40308	0	5
2013.07.05	0.95816	0.96603	0.95649	0.96327	43605	0	5
2013.07.08	0.96604	0.96664	0.96251	0.96443	37971	0	5
2013.07.09	0.96442	0.97510	0.96372	0.97367	47138	0	5
2013.07.10	0.97366	0.97448	0.94044	0.94729	58130	0	5
2013.07.11	0.94728	0.95351	0.94109	0.94758	62124	0	5
2013.07.12	0.94756	0.95137	0.94379	0.94573	40048	0	1
