<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	0.95702	0.95783	0.95596	0.95663	5495	0	5
2013.06.03	04:00:00	0.95661	0.95697	0.95405	0.95604	8167	0	5
2013.06.03	08:00:00	0.95608	0.95936	0.95425	0.95801	9736	0	5
2013.06.03	12:00:00	0.95801	0.96240	0.94080	0.94423	18013	0	5
2013.06.03	16:00:00	0.94423	0.94747	0.94283	0.94726	9081	0	5
2013.06.03	20:00:00	0.94727	0.94807	0.94670	0.94776	4718	0	5
2013.06.04	00:00:00	0.94777	0.94934	0.94642	0.94907	5498	0	5
2013.06.04	04:00:00	0.94906	0.95120	0.94809	0.94966	9552	0	5
2013.06.04	08:00:00	0.94967	0.94990	0.94529	0.94687	10062	0	5
2013.06.04	12:00:00	0.94688	0.95201	0.94553	0.94847	16637	0	5
2013.06.04	16:00:00	0.94845	0.94977	0.94622	0.94701	7703	0	5
2013.06.04	20:00:00	0.94704	0.94840	0.94629	0.94831	4867	0	5
2013.06.05	00:00:00	0.94831	0.94938	0.94656	0.94729	6638	0	5
2013.06.05	04:00:00	0.94728	0.94860	0.94480	0.94715	10969	0	5
2013.06.05	08:00:00	0.94716	0.94926	0.94583	0.94664	10109	0	5
2013.06.05	12:00:00	0.94666	0.94781	0.94101	0.94219	18646	0	5
2013.06.05	16:00:00	0.94219	0.94328	0.93954	0.94228	9188	0	5
2013.06.05	20:00:00	0.94222	0.94243	0.94157	0.94178	5291	0	5
2013.06.06	00:00:00	0.94179	0.94384	0.94083	0.94282	8570	0	18
2013.06.06	04:00:00	0.94281	0.94281	0.94005	0.94111	12329	0	3
2013.06.06	08:00:00	0.94110	0.94180	0.93902	0.94173	15805	0	3
2013.06.06	12:00:00	0.94171	0.94321	0.93382	0.93485	22182	0	3
2013.06.06	16:00:00	0.93484	0.93633	0.92246	0.92972	20451	0	4
2013.06.06	20:00:00	0.92971	0.93045	0.92892	0.93005	8308	0	18
2013.06.07	00:00:00	0.93007	0.93036	0.92600	0.92731	11190	0	18
2013.06.07	04:00:00	0.92732	0.92942	0.92520	0.92894	16004	0	6
2013.06.07	08:00:00	0.92895	0.93007	0.92574	0.92649	18677	0	3
2013.06.07	12:00:00	0.92650	0.93694	0.92479	0.93497	23656	0	3
2013.06.07	16:00:00	0.93495	0.93737	0.93405	0.93498	13011	0	3
2013.06.07	20:00:00	0.93500	0.93644	0.93477	0.93537	3573	0	18
2013.06.10	00:00:00	0.93720	0.93765	0.93420	0.93608	7301	0	18
2013.06.10	04:00:00	0.93609	0.93852	0.93580	0.93842	9099	0	3
2013.06.10	08:00:00	0.93841	0.94090	0.93610	0.93717	15615	0	3
2013.06.10	12:00:00	0.93720	0.94181	0.93600	0.93903	19976	0	3
2013.06.10	16:00:00	0.93907	0.93927	0.93177	0.93270	15641	0	3
2013.06.10	20:00:00	0.93270	0.93424	0.93262	0.93373	6219	0	18
2013.06.11	00:00:00	0.93373	0.93490	0.93184	0.93192	8087	0	18
2013.06.11	04:00:00	0.93191	0.93352	0.93052	0.93280	12311	0	3
2013.06.11	08:00:00	0.93276	0.93308	0.92635	0.92846	19664	0	3
2013.06.11	12:00:00	0.92842	0.93070	0.92236	0.92729	22400	0	3
2013.06.11	16:00:00	0.92727	0.92917	0.92403	0.92442	16167	0	3
2013.06.11	20:00:00	0.92441	0.92569	0.92385	0.92434	7505	0	18
2013.06.12	00:00:00	0.92433	0.92541	0.92420	0.92492	6742	0	18
2013.06.12	04:00:00	0.92492	0.92691	0.92338	0.92631	10033	0	3
2013.06.12	08:00:00	0.92630	0.92838	0.92442	0.92766	17067	0	3
2013.06.12	12:00:00	0.92767	0.92868	0.91959	0.92010	19457	0	3
2013.06.12	16:00:00	0.92010	0.92310	0.91728	0.92194	17399	0	3
2013.06.12	20:00:00	0.92199	0.92207	0.92024	0.92073	7685	0	18
2013.06.13	00:00:00	0.92073	0.92080	0.91668	0.91755	10106	0	18
2013.06.13	04:00:00	0.91754	0.91823	0.91301	0.91561	13178	0	3
2013.06.13	08:00:00	0.91558	0.92181	0.91558	0.92105	17229	0	3
2013.06.13	12:00:00	0.92106	0.92582	0.92047	0.92352	21259	0	3
2013.06.13	16:00:00	0.92353	0.92408	0.92020	0.92171	15087	0	3
2013.06.13	20:00:00	0.92171	0.92364	0.92021	0.92345	8709	0	5
2013.06.14	00:00:00	0.92345	0.92392	0.92129	0.92384	6134	0	5
2013.06.14	04:00:00	0.92383	0.92568	0.92224	0.92547	7602	0	5
2013.06.14	08:00:00	0.92548	0.92566	0.92263	0.92561	8857	0	5
2013.06.14	12:00:00	0.92561	0.92698	0.91958	0.92224	16487	0	5
2013.06.14	16:00:00	0.92225	0.92340	0.92095	0.92126	8436	0	5
2013.06.14	20:00:00	0.92125	0.92166	0.92053	0.92053	756	0	5
2013.06.17	00:00:00	0.92160	0.92404	0.92149	0.92400	4477	0	5
2013.06.17	04:00:00	0.92400	0.92496	0.92172	0.92172	5872	0	5
2013.06.17	08:00:00	0.92173	0.92430	0.92158	0.92306	7082	0	5
2013.06.17	12:00:00	0.92305	0.92715	0.92198	0.92555	11601	0	5
2013.06.17	16:00:00	0.92554	0.92692	0.92163	0.92200	6745	0	5
2013.06.17	20:00:00	0.92199	0.92297	0.92188	0.92224	3823	0	5
2013.06.18	00:00:00	0.92223	0.92340	0.92218	0.92310	3933	0	5
2013.06.18	04:00:00	0.92310	0.92621	0.92151	0.92180	6426	0	5
2013.06.18	08:00:00	0.92181	0.92203	0.91752	0.92066	9890	0	5
2013.06.18	12:00:00	0.92067	0.92390	0.91760	0.91866	14532	0	5
2013.06.18	16:00:00	0.91865	0.92011	0.91836	0.91978	5517	0	5
2013.06.18	20:00:00	0.91974	0.92058	0.91946	0.92025	3800	0	5
2013.06.19	00:00:00	0.92025	0.92058	0.91938	0.91947	3874	0	5
2013.06.19	04:00:00	0.91948	0.92058	0.91834	0.91991	6239	0	5
2013.06.19	08:00:00	0.91991	0.92151	0.91918	0.91980	8151	0	5
2013.06.19	12:00:00	0.91979	0.92058	0.91864	0.91927	9387	0	5
2013.06.19	16:00:00	0.91930	0.93215	0.91802	0.92957	13611	0	5
2013.06.19	20:00:00	0.92963	0.93027	0.92727	0.92918	6558	0	5
2013.06.20	00:00:00	0.92920	0.92966	0.92508	0.92956	9021	0	5
2013.06.20	04:00:00	0.92955	0.93338	0.92728	0.93196	11799	0	5
2013.06.20	08:00:00	0.93198	0.93610	0.93147	0.93230	14841	0	5
2013.06.20	12:00:00	0.93234	0.93439	0.92851	0.92965	18644	0	5
2013.06.20	16:00:00	0.92962	0.92983	0.92645	0.92773	11375	0	5
2013.06.20	20:00:00	0.92771	0.92774	0.92514	0.92623	5028	0	5
2013.06.21	00:00:00	0.92630	0.92804	0.92419	0.92536	5686	0	5
2013.06.21	04:00:00	0.92534	0.92959	0.92517	0.92860	8066	0	5
2013.06.21	08:00:00	0.92862	0.92921	0.92694	0.92879	9637	0	5
2013.06.21	12:00:00	0.92879	0.93655	0.92876	0.93541	17377	0	5
2013.06.21	16:00:00	0.93543	0.93678	0.93192	0.93440	8811	0	5
2013.06.21	20:00:00	0.93439	0.93493	0.93357	0.93357	1219	0	5
2013.06.24	00:00:00	0.93676	0.93807	0.93561	0.93682	5115	0	5
2013.06.24	04:00:00	0.93683	0.93765	0.93444	0.93489	8077	0	5
2013.06.24	08:00:00	0.93489	0.93650	0.93316	0.93484	12567	0	5
2013.06.24	12:00:00	0.93485	0.93709	0.93273	0.93455	17590	0	5
2013.06.24	16:00:00	0.93456	0.93467	0.93122	0.93292	9937	0	5
2013.06.24	20:00:00	0.93297	0.93354	0.93101	0.93235	4179	0	5
2013.06.25	00:00:00	0.93235	0.93461	0.93235	0.93297	5760	0	5
2013.06.25	04:00:00	0.93296	0.93413	0.93188	0.93330	8393	0	5
2013.06.25	08:00:00	0.93323	0.93551	0.93217	0.93345	10549	0	5
2013.06.25	12:00:00	0.93340	0.94074	0.93328	0.93882	16386	0	5
2013.06.25	16:00:00	0.93879	0.93902	0.93706	0.93715	6101	0	5
2013.06.25	20:00:00	0.93713	0.93958	0.93710	0.93917	4083	0	5
2013.06.26	00:00:00	0.93917	0.93922	0.93749	0.93819	5292	0	5
2013.06.26	04:00:00	0.93827	0.93893	0.93723	0.93846	8173	0	5
2013.06.26	08:00:00	0.93846	0.94247	0.93799	0.94165	10564	0	5
2013.06.26	12:00:00	0.94164	0.94431	0.93826	0.94330	14957	0	5
2013.06.26	16:00:00	0.94329	0.94406	0.94227	0.94279	6899	0	5
2013.06.26	20:00:00	0.94280	0.94351	0.94210	0.94219	4734	0	5
2013.06.27	00:00:00	0.94222	0.94265	0.94109	0.94161	7215	0	18
2013.06.27	04:00:00	0.94161	0.94267	0.94058	0.94253	9932	0	3
2013.06.27	08:00:00	0.94253	0.94630	0.94215	0.94556	16204	0	3
2013.06.27	12:00:00	0.94555	0.94865	0.94387	0.94862	19400	0	3
2013.06.27	16:00:00	0.94863	0.94873	0.94369	0.94468	13094	0	3
2013.06.27	20:00:00	0.94469	0.94554	0.94389	0.94491	6387	0	18
2013.06.28	00:00:00	0.94492	0.94572	0.94278	0.94330	7986	0	18
2013.06.28	04:00:00	0.94332	0.94652	0.94313	0.94607	10605	0	3
2013.06.28	08:00:00	0.94610	0.94698	0.94417	0.94461	15831	0	3
2013.06.28	12:00:00	0.94460	0.94646	0.94110	0.94606	20440	0	3
2013.06.28	16:00:00	0.94611	0.94748	0.94337	0.94362	13363	0	3
2013.06.28	20:00:00	0.94366	0.94528	0.94366	0.94435	4207	0	18
