<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	100.487	100.721	98.862	99.735	71471	0	1
2013.06.04	99.736	100.413	99.333	100.272	67112	0	1
2013.06.05	100.273	100.460	98.966	99.124	77262	0	1
2013.06.06	99.125	99.461	95.909	97.312	93025	0	3
2013.06.07	97.312	97.779	94.982	97.533	107191	0	3
2013.06.10	98.273	99.278	97.709	98.851	82182	0	3
2013.06.11	98.851	98.974	95.600	96.110	102728	0	3
2013.06.12	96.110	97.013	95.138	95.933	88519	0	3
2013.06.13	95.934	95.934	93.788	95.578	102906	0	1
2013.06.14	95.577	95.577	93.992	94.055	79841	0	1
2013.06.17	94.331	95.216	94.237	94.570	61329	0	1
2013.06.18	94.573	95.763	94.534	95.586	59131	0	1
2013.06.19	95.587	97.031	94.833	96.582	66511	0	1
2013.06.20	96.583	98.286	96.205	97.017	93687	0	1
2013.06.21	97.016	98.133	96.919	97.881	69070	0	1
2013.06.24	98.388	98.700	97.222	97.622	76787	0	1
2013.06.25	97.621	98.234	96.965	98.161	69994	0	1
2013.06.26	98.161	98.169	97.238	97.774	62685	0	1
2013.06.27	97.772	98.565	97.563	98.484	66829	0	3
2013.06.28	98.484	99.443	98.459	99.121	69917	0	3
2013.07.01	99.449	99.861	99.178	99.621	45552	0	1
2013.07.02	99.621	100.853	99.508	100.759	50944	0	1
2013.07.03	100.759	100.825	99.261	99.808	59698	0	1
2013.07.04	99.814	100.333	99.493	100.243	40950	0	1
2013.07.05	100.248	101.223	99.889	101.180	48552	0	1
2013.07.08	101.490	101.491	100.769	100.940	46012	0	1
2013.07.09	100.941	101.298	100.828	101.183	46792	0	1
2013.07.10	101.181	101.190	98.248	99.055	68962	0	1
2013.07.11	99.049	99.624	98.273	98.827	72606	0	1
2013.07.12	98.832	99.693	98.675	99.169	47825	0	1
2013.07.15	99.198	100.483	99.076	99.954	41607	0	1
2013.07.16	99.952	100.029	98.893	99.114	49402	0	1
2013.07.17	99.117	99.945	99.042	99.578	52039	0	1
2013.07.18	99.578	100.653	99.465	100.561	54545	0	1
2013.07.19	100.564	100.864	99.806	100.617	54026	0	1
2013.07.22	100.379	100.379	99.235	99.317	50528	0	1
2013.07.23	99.326	100.180	99.144	99.511	49784	0	1
2013.07.24	99.512	100.453	99.420	100.400	49210	0	1
2013.07.25	100.401	100.419	98.888	99.253	56777	0	1
2013.07.26	99.253	99.361	97.961	98.224	52845	0	1
2013.07.29	97.962	98.202	97.633	98.040	51815	0	1
2013.07.30	98.050	98.462	97.758	98.010	48404	0	1
2013.07.31	98.012	98.516	97.584	97.845	60301	0	1
2013.08.01	97.845	99.570	97.654	99.424	52750	0	1
2013.08.02	99.429	99.948	98.662	98.920	50792	0	1
2013.08.05	98.928	99.149	98.189	98.245	43595	0	1
2013.08.06	98.246	98.584	97.103	97.344	54380	0	1
2013.08.07	97.343	97.531	96.322	96.564	61506	0	1
2013.08.08	96.564	96.934	95.809	96.761	59679	0	1
